account_id,amount,event_at_parsed,occurrences
ACC0005095,23748.91,2026-05-23 03:21:13,2
ACC0004472,68016.48,2026-07-12 13:37:32,2
ACC0004484,149331.1,2026-03-21 03:57:41,2
ACC0004541,134174.23,2026-02-08 05:42:26,2
ACC0004563,60787.01,2026-01-04 16:54:02,2
ACC0004592,83829.9,2026-03-30 23:18:21,2
ACC0004608,24621.12,2026-04-17 22:46:08,2
ACC0004665,61441.16,2026-03-23 13:11:16,2
ACC0004813,25143.15,2026-02-03 14:14:28,2
ACC0004033,132046.18,2026-01-17 21:21:39,2
ACC0004062,108292.58,2026-05-02 20:28:17,2
ACC0004088,97036.88,2026-03-30 07:41:18,2
ACC0004258,127017.24,2026-03-28 00:47:20,2
ACC0004261,40272.49,2026-02-18 16:15:44,2
ACC0004337,33083.82,2026-04-23 06:12:11,2
ACC0004394,89005.81,2026-01-18 15:25:54,2
ACC0004456,112180.31,2026-05-05 12:28:48,2
ACC0003470,10418.48,2026-04-29 01:57:42,2
ACC0003542,72836.14,2026-04-02 04:45:31,2
ACC0003545,33104.97,2026-04-08 19:46:08,2
ACC0003628,145161.37,2026-03-12 07:04:32,2
ACC0003670,28798.49,2026-03-18 18:40:14,2
ACC0003825,35186.17,2026-01-01 15:42:05,2
ACC0003834,117412.35,2026-04-23 02:10:52,2
ACC0003910,133757.22,2026-06-09 11:35:03,2
ACC0006247,136260.05,2026-05-12 19:00:36,2
ACC0006444,81973.46,2026-01-05 07:39:18,2
ACC0006557,79391.52,2026-02-07 11:06:45,2
ACC0006602,79097.04,2026-05-19 19:42:20,2
ACC0006712,35461.93,2026-01-22 06:37:25,2
ACC0006931,91937.43,2026-06-17 12:44:24,2
ACC0007031,124345.86,2026-05-18 01:23:57,2
ACC0007158,120410.28,2026-01-08 00:16:00,2
ACC0005769,30303.27,2026-01-13 13:09:28,2
ACC0005859,79235.39,2026-07-29 00:57:38,2
ACC0005904,45452.42,2026-06-20 01:35:53,2
ACC0006030,123597.38,2026-08-08 03:08:13,2
ACC0006048,10996.17,2026-07-17 04:20:10,2
ACC0006161,107271.84,2026-05-11 04:25:08,2
ACC0006171,125402.63,2026-07-02 22:55:34,2
ACC0006226,115776.8,2026-05-26 03:29:17,2
ACC0005492,146703.81,2026-03-19 04:42:22,2
ACC0005502,148800.09,2026-05-11 05:26:19,2
ACC0005565,148734.18,2026-06-27 18:13:13,2
ACC0005610,108499.97,2026-08-04 07:32:48,2
ACC0005668,122858.82,2026-01-18 20:32:10,2
ACC0005675,139739.08,2026-08-08 12:18:25,2
ACC0005740,77393.28,2026-05-01 20:26:56,2
ACC0005762,6421.37,2026-07-25 09:11:02,2
ACC0005126,20715.84,2026-04-18 12:31:07,2
ACC0005230,49464.59,2026-01-10 08:55:05,2
ACC0005231,105244.77,2026-02-10 08:57:31,2
ACC0005259,110100.12,2026-02-28 17:26:42,2
ACC0005324,7434.97,2026-06-22 15:37:44,2
ACC0005367,92577.36,2026-01-08 10:19:54,2
ACC0005381,2211.05,2026-07-16 17:03:44,2
ACC0005486,70884.79,2026-01-15 14:09:21,2
ACC0008968,45526.81,2026-02-15 14:48:53,2
ACC0009006,111713.03,2026-06-30 12:15:45,2
ACC0009042,117341.22,2026-04-02 05:45:28,2
ACC0009147,122806.8,2026-04-23 07:57:10,2
ACC0009151,49366.16,2026-06-13 00:31:22,2
ACC0009184,100291.48,2026-08-07 11:02:19,2
ACC0009200,91344.75,2026-07-14 00:49:14,2
ACC0009213,77479.78,2026-07-19 13:42:53,2
ACC0008507,15797.11,2026-05-05 01:35:27,2
ACC0008533,61898.19,2026-04-29 12:47:19,2
ACC0008593,35863.74,2026-04-05 11:22:52,2
ACC0008768,149407.71,2026-01-03 00:20:09,2
ACC0008810,68318.94,2026-05-02 09:52:06,2
ACC0008827,49040.56,2026-03-30 10:35:04,2
ACC0008882,58232.36,2026-07-04 19:52:19,2
ACC0008886,26788.58,2026-01-16 08:16:15,2
ACC0007889,143549.95,2026-01-18 10:46:45,2
ACC0007968,42799.04,2026-03-12 13:47:51,2
ACC0007979,149687.37,2026-04-05 14:52:41,2
ACC0008139,125917.04,2026-02-21 04:12:01,2
ACC0008240,127948.4,2026-03-31 08:17:35,2
ACC0008347,32052.17,2026-06-12 23:43:25,2
ACC0008423,70112.94,2026-02-28 13:23:36,2
ACC0008432,124469.26,2026-02-17 11:28:12,2
ACC0007567,61165.31,2026-06-19 03:20:49,2
ACC0007618,71517.32,2026-02-19 16:22:29,2
ACC0007627,149879.41,2026-06-26 10:13:33,2
ACC0007657,15279.24,2026-03-24 00:09:45,2
ACC0007683,3337.12,2026-04-18 02:57:35,2
ACC0007700,74309.82,2026-02-11 14:26:04,2
ACC0007852,122258.58,2026-06-21 14:30:00,2
ACC0007876,27627.94,2026-03-06 18:31:11,2
ACC0011043,143948.02,2026-01-08 22:12:41,2
ACC0011064,117242.09,2026-02-12 06:17:30,2
ACC0011162,56099.13,2026-04-22 09:08:26,2
ACC0011180,27289.11,2026-07-10 17:45:04,2
ACC0011193,73863.89,2026-03-10 08:07:25,2
ACC0011219,92861.23,2026-02-09 20:29:14,2
ACC0011240,79395.43,2026-05-01 03:59:10,2
ACC0011325,129921.04,2026-02-17 15:27:53,2
ACC0010452,143324.62,2026-02-03 10:33:56,2
ACC0010509,5147.92,2026-06-08 11:01:22,2
ACC0010554,65462.41,2026-02-25 20:45:38,2
ACC0010640,135581.83,2026-04-03 11:56:54,2
ACC0010653,115044.02,2026-03-26 00:44:43,2
ACC0010749,58695.32,2026-08-04 06:13:19,2
ACC0010785,79414.83,2026-05-17 20:13:06,2
ACC0010889,143434.84,2026-03-29 12:00:27,2
ACC0009755,15504.38,2026-01-07 07:09:53,2
ACC0009774,94700.2,2026-01-12 14:07:04,2
ACC0009874,16269.6,2026-07-09 19:30:25,2
ACC0010109,75456.24,2026-04-09 20:18:27,2
ACC0010137,52450.02,2026-07-02 12:13:21,2
ACC0010170,87226.44,2026-05-19 06:53:02,2
ACC0010290,32517.46,2026-04-26 03:55:41,2
ACC0010356,147713.54,2026-07-20 12:33:34,2
ACC0009278,74474.23,2026-03-16 08:05:58,2
ACC0009283,51714.6,2026-05-24 16:07:41,2
ACC0009347,127454.47,2026-02-20 12:53:13,2
ACC0009433,102269.9,2026-05-02 12:16:43,2
ACC0009507,73857.34,2026-01-03 00:59:29,2
ACC0009544,81612.49,2026-02-03 04:36:47,2
ACC0009583,29766.45,2026-05-06 21:14:31,2
ACC0009714,90768.92,2026-08-05 14:13:12,2
ACC0012464,105678.04,2026-01-20 14:39:50,2
ACC0012625,143925.0,2026-03-04 06:21:28,2
ACC0012682,132174.12,2026-03-14 03:18:24,2
ACC0012688,49729.44,2026-05-18 20:12:00,2
ACC0012718,83810.58,2026-05-13 04:09:43,2
ACC0012785,37251.28,2026-03-26 11:56:48,2
ACC0012882,48832.8,2026-01-15 14:11:51,2
ACC0012922,96434.86,2026-03-29 02:24:17,2
ACC0012131,149154.66,2026-04-27 06:21:34,2
ACC0012209,26769.34,2026-07-31 15:37:56,2
ACC0012254,31392.08,2026-05-15 02:34:39,2
ACC0012259,68047.54,2026-03-17 06:07:39,2
ACC0012268,70268.02,2026-08-01 19:14:07,2
ACC0012316,35530.17,2026-04-08 16:21:37,2
ACC0012343,113692.3,2026-01-23 23:10:49,2
ACC0012422,66725.19,2026-01-25 01:08:31,2
ACC0011675,50746.08,2026-01-30 19:24:32,2
ACC0011827,60602.11,2026-06-23 08:54:10,2
ACC0011860,52926.78,2026-06-07 04:39:42,2
ACC0011930,70217.42,2026-08-07 05:43:48,2
ACC0011964,50946.07,2026-07-12 16:36:47,2
ACC0011990,95963.7,2026-03-19 07:38:03,2
ACC0012109,32994.31,2026-05-21 20:25:40,2
ACC0012123,142081.23,2026-05-22 11:32:35,2
ACC0011326,41608.62,2026-07-23 07:57:26,2
ACC0011384,2182.27,2026-05-21 19:00:53,2
ACC0011385,96763.71,2026-06-30 19:26:13,2
ACC0011441,40930.14,2026-06-20 15:55:03,2
ACC0011512,100537.71,2026-08-07 18:52:08,2
ACC0011624,104701.16,2026-03-06 09:11:35,2
ACC0011652,41824.52,2026-03-31 18:40:33,2
ACC0011657,33706.06,2026-05-06 03:13:07,2
ACC0014896,34955.79,2026-04-27 05:29:09,2
ACC0014970,58243.63,2026-01-03 22:07:50,2
ACC0015034,14135.03,2026-06-24 06:46:15,2
ACC0015065,58368.13,2026-03-20 21:36:26,2
ACC0015070,21695.89,2026-04-17 06:45:30,2
ACC0015150,80901.36,2026-01-20 23:53:55,2
ACC0015207,31755.76,2026-05-13 23:21:21,2
ACC0015280,67332.26,2026-04-17 09:41:52,2
ACC0014043,122544.54,2026-08-01 08:37:39,2
ACC0014371,29535.32,2026-02-04 12:45:32,2
ACC0014530,112903.87,2026-07-27 11:46:29,2
ACC0014571,32926.96,2026-02-13 15:25:27,2
ACC0014579,91153.8,2026-01-19 03:09:40,2
ACC0014686,39763.28,2026-04-06 04:23:40,2
ACC0014781,116528.23,2026-08-08 03:18:36,2
ACC0014795,416.39,2026-02-02 02:36:51,2
ACC0013466,49978.75,2026-07-25 02:58:24,2
ACC0013475,41281.67,2026-01-11 19:17:35,2
ACC0013505,31509.6,2026-06-22 18:22:27,2
ACC0013579,122509.16,2026-05-09 02:47:53,2
ACC0013781,54501.07,2026-04-23 04:36:19,2
ACC0013845,55971.74,2026-03-30 20:41:47,2
ACC0013890,135636.92,2026-05-04 19:30:48,2
ACC0013925,57271.88,2026-05-20 00:08:13,2
ACC0012928,40784.36,2026-01-12 17:20:08,2
ACC0013019,145553.96,2026-03-04 14:19:19,2
ACC0013197,51177.05,2026-05-20 15:38:34,2
ACC0013316,141294.28,2026-06-03 18:57:33,2
ACC0013336,67869.11,2026-03-23 18:39:36,2
ACC0013353,94097.66,2026-02-16 03:12:37,2
ACC0013379,53212.87,2026-02-12 23:08:47,2
ACC0013400,124242.63,2026-03-03 19:53:05,2
ACC0016479,118902.9,2026-01-10 02:50:10,2
ACC0016514,107648.88,2026-04-30 16:44:46,2
ACC0016662,39227.29,2026-02-21 17:17:17,2
ACC0016799,32011.53,2026-04-05 08:02:24,2
ACC0016880,63767.07,2026-01-21 21:33:19,2
ACC0016907,55840.26,2026-02-10 21:08:19,2
ACC0016927,112607.51,2026-04-19 06:41:13,2
ACC0016933,31373.93,2026-02-26 02:36:37,2
ACC0016074,2809.81,2026-03-30 17:47:00,2
ACC0016086,113574.42,2026-04-14 20:25:22,2
ACC0016118,77350.53,2026-04-07 10:44:14,2
ACC0016191,143894.29,2026-04-21 23:50:50,2
ACC0016217,2766.27,2026-04-23 08:35:25,2
ACC0016267,133426.14,2026-01-04 05:01:36,2
ACC0016277,932.4,2026-06-28 08:38:18,2
ACC0016380,116295.06,2026-03-05 15:32:54,2
ACC0015580,116342.77,2026-01-03 20:47:39,2
ACC0015618,24363.42,2026-02-03 20:42:50,2
ACC0015718,9733.93,2026-06-22 09:02:45,2
ACC0015825,22432.38,2026-02-08 18:28:16,2
ACC0015908,51695.7,2026-01-05 07:11:29,2
ACC0015942,97423.25,2026-03-23 09:04:16,2
ACC0015954,122547.19,2026-03-19 12:00:38,2
ACC0015994,134388.58,2026-03-26 05:00:49,2
ACC0015324,87512.65,2026-06-02 11:35:06,2
ACC0015331,44426.63,2026-03-05 11:51:13,2
ACC0015389,140129.31,2026-02-24 18:20:56,2
ACC0015474,1681.66,2026-04-29 17:23:07,2
ACC0015489,99648.37,2026-01-29 18:10:40,2
ACC0015507,117822.57,2026-05-09 16:45:27,2
ACC0015547,1121.0,2026-08-05 12:19:40,2
ACC0015554,9468.63,2026-08-07 05:16:29,2
ACC0018323,27374.05,2026-07-29 13:01:55,2
ACC0018332,88210.19,2026-07-07 07:36:42,2
ACC0018427,42674.72,2026-06-29 02:00:09,2
ACC0018444,96766.12,2026-07-25 03:04:14,2
ACC0018517,22552.86,2026-07-21 17:05:48,2
ACC0018525,23028.52,2026-01-09 16:58:47,2
ACC0018650,32311.17,2026-06-11 18:37:01,2
ACC0018725,40586.52,2026-07-19 06:18:30,2
ACC0017779,42225.74,2026-01-31 08:07:54,2
ACC0017896,141590.29,2026-04-20 07:58:17,2
ACC0017904,57467.67,2026-04-05 14:52:43,2
ACC0017962,119714.2,2026-03-26 12:49:42,2
ACC0018051,87402.33,2026-01-30 20:03:36,2
ACC0018206,74512.3,2026-07-20 07:38:54,2
ACC0018274,143956.27,2026-01-10 06:48:58,2
ACC0018298,50901.65,2026-04-08 04:01:18,2
ACC0017313,63041.06,2026-01-24 17:58:31,2
ACC0017344,132663.11,2026-02-27 02:56:07,2
ACC0017346,16293.36,2026-04-21 21:09:53,2
ACC0017400,133973.27,2026-03-08 05:30:02,2
ACC0017420,89664.37,2026-04-05 02:34:29,2
ACC0017503,110724.08,2026-06-28 22:02:11,2
ACC0017569,5254.12,2026-07-03 20:45:01,2
ACC0017573,79112.73,2026-01-30 12:17:17,2
ACC0016946,47282.85,2026-03-19 01:21:03,2
ACC0017041,115519.04,2026-07-07 03:35:56,2
ACC0017042,49381.35,2026-06-30 14:50:11,2
ACC0017047,102830.42,2026-06-09 08:17:45,2
ACC0017116,135514.27,2026-05-22 11:08:15,2
ACC0017122,29681.09,2026-06-30 13:59:03,2
ACC0017214,58790.38,2026-05-19 00:55:04,2
ACC0017254,18426.33,2026-08-06 00:12:08,2
ACC0020205,83388.07,2026-06-11 00:27:41,2
ACC0020215,96799.34,2026-04-02 00:47:21,2
ACC0020221,119180.06,2026-02-26 12:30:51,2
ACC0020252,32446.99,2026-06-14 00:50:04,2
ACC0020281,81016.1,2026-07-01 09:20:08,2
ACC0020297,62886.21,2026-08-03 17:28:59,2
ACC0020351,108114.55,2026-06-14 16:01:38,2
ACC0020357,59533.73,2026-03-19 09:39:33,2
ACC0019847,96263.72,2026-01-14 05:29:26,2
ACC0019918,109608.63,2026-01-26 06:27:27,2
ACC0019930,77864.94,2026-02-09 22:54:15,2
ACC0019946,44748.15,2026-03-07 18:16:57,2
ACC0020011,83295.57,2026-01-11 16:06:01,2
ACC0020015,24437.05,2026-06-02 19:28:37,2
ACC0020066,137177.12,2026-05-05 15:00:40,2
ACC0020107,139875.93,2026-05-22 20:04:18,2
ACC0019509,22950.77,2026-04-25 14:42:51,2
ACC0019518,94767.39,2026-02-02 05:11:57,2
ACC0019603,120089.4,2026-07-09 21:38:32,2
ACC0019605,127701.0,2026-03-04 02:17:11,2
ACC0019662,142953.97,2026-08-02 18:27:12,2
ACC0019701,11998.82,2026-01-11 16:02:00,2
ACC0019778,134908.42,2026-03-14 09:00:18,2
ACC0019781,46274.71,2026-06-16 23:23:32,2
ACC0018792,119307.99,2026-07-11 00:21:33,2
ACC0018823,60823.13,2026-04-27 10:45:35,2
ACC0018908,115383.86,2026-01-07 21:59:57,2
ACC0019010,10514.54,2026-04-24 20:01:57,2
ACC0019407,38276.78,2026-02-24 08:36:41,2
ACC0019412,67288.82,2026-08-01 03:41:37,2
ACC0019487,78760.57,2026-03-26 08:08:08,2
ACC0019495,77982.73,2026-02-24 09:33:29,2
ACC0021942,11792.14,2026-08-06 18:56:06,2
ACC0021951,127930.53,2026-05-29 01:01:54,2
ACC0021963,7914.9,2026-03-28 07:12:20,2
ACC0022077,94933.75,2026-02-07 01:06:39,2
ACC0022159,87584.95,2026-01-27 00:05:37,2
ACC0022219,50487.88,2026-03-02 05:13:06,2
ACC0022257,40143.19,2026-08-07 07:05:04,2
ACC0022343,75929.0,2026-07-24 16:38:26,2
ACC0021319,37395.22,2026-01-12 03:57:56,2
ACC0021362,59429.86,2026-06-15 03:09:47,2
ACC0021397,38575.06,2026-06-26 05:51:39,2
ACC0021718,53682.44,2026-02-27 21:30:19,2
ACC0021750,85501.67,2026-01-18 23:59:17,2
ACC0021752,147752.29,2026-04-18 11:05:30,2
ACC0021815,63816.69,2026-07-21 02:00:21,2
ACC0021898,91495.24,2026-04-02 12:52:29,2
ACC0020806,115108.83,2026-06-26 21:05:13,2
ACC0020824,58590.95,2026-04-28 11:58:10,2
ACC0020891,28436.0,2026-04-06 02:06:46,2
ACC0020932,143730.68,2026-02-15 02:36:38,2
ACC0020950,86860.27,2026-07-01 05:13:10,2
ACC0021042,35883.12,2026-04-02 23:52:25,2
ACC0021219,56133.71,2026-03-22 11:14:29,2
ACC0021261,2538.79,2026-01-19 00:35:22,2
ACC0020427,28706.04,2026-08-03 08:25:27,2
ACC0020480,144761.51,2026-04-29 12:01:26,2
ACC0020509,138601.33,2026-04-08 11:12:02,2
ACC0020623,117893.56,2026-08-02 01:36:13,2
ACC0020690,52619.1,2026-01-14 21:28:04,2
ACC0020698,142415.45,2026-07-23 15:42:38,2
ACC0020721,105082.12,2026-06-04 04:06:51,2
ACC0020756,130057.52,2026-01-09 05:46:38,2
ACC0024066,29624.96,2026-01-13 23:49:26,2
ACC0024115,41320.35,2026-06-06 23:09:43,2
ACC0024136,37311.61,2026-03-03 11:22:59,2
ACC0024186,127057.56,2026-06-01 07:33:53,2
ACC0024316,148010.67,2026-02-12 15:34:03,2
ACC0024363,120941.5,2026-07-05 23:29:23,2
ACC0024561,24555.48,2026-03-10 02:19:31,2
ACC0024622,78634.84,2026-01-26 13:41:47,2
ACC0023477,100760.88,2026-02-05 21:02:29,2
ACC0023488,100497.0,2026-05-09 18:36:55,2
ACC0023568,43267.25,2026-07-17 03:12:43,2
ACC0023628,35045.91,2026-04-15 23:54:16,2
ACC0023744,146003.62,2026-02-02 09:57:27,2
ACC0023839,5570.92,2026-07-01 09:19:16,2
ACC0023848,78301.8,2026-06-06 04:04:40,2
ACC0023942,54636.51,2026-04-07 03:20:09,2
ACC0023170,126286.21,2026-02-08 16:33:39,2
ACC0023207,131230.72,2026-06-07 08:14:34,2
ACC0023216,6550.12,2026-04-13 01:33:43,2
ACC0023284,137659.68,2026-04-01 00:56:21,2
ACC0023316,61572.53,2026-06-03 16:02:41,2
ACC0023362,126199.0,2026-03-04 03:21:41,2
ACC0023368,88307.34,2026-03-22 22:58:50,2
ACC0023369,361.52,2026-02-24 23:47:59,2
ACC0022515,136737.78,2026-07-31 02:27:58,2
ACC0022601,20308.01,2026-05-06 05:01:03,2
ACC0022714,33951.89,2026-07-26 05:28:38,2
ACC0022855,10167.69,2026-04-13 02:58:46,2
ACC0022913,130801.18,2026-02-06 04:34:45,2
ACC0022917,121208.06,2026-06-18 21:21:36,2
ACC0022988,22689.74,2026-07-05 01:30:18,2
ACC0023048,60289.33,2026-02-05 06:52:49,2
ACC0026247,110389.83,2026-05-19 11:02:07,2
ACC0026281,47308.35,2026-03-18 09:02:38,2
ACC0026355,25837.88,2026-05-27 10:21:14,2
ACC0026451,118189.52,2026-04-16 06:38:04,2
ACC0026462,50970.44,2026-04-11 00:09:11,2
ACC0026554,137534.49,2026-05-07 21:51:33,2
ACC0026555,101168.63,2026-05-31 20:51:55,2
ACC0026602,104040.86,2026-05-15 05:52:38,2
ACC0025815,90886.76,2026-04-22 07:48:25,2
ACC0025954,106230.21,2026-08-06 15:46:13,2
ACC0025955,41598.89,2026-01-21 00:48:33,2
ACC0025983,103835.45,2026-05-14 12:28:39,2
ACC0026021,123585.34,2026-02-06 08:48:21,2
ACC0026054,27155.39,2026-08-04 00:36:42,2
ACC0026055,66053.37,2026-02-13 13:49:03,2
ACC0026182,139477.64,2026-04-15 00:47:46,2
ACC0025150,147479.28,2026-07-13 04:08:27,2
ACC0025303,13971.98,2026-07-23 06:36:42,2
ACC0025409,50057.83,2026-06-24 18:59:18,2
ACC0025503,147999.92,2026-03-14 07:20:13,2
ACC0025565,116128.78,2026-01-11 13:01:45,2
ACC0025574,80418.19,2026-01-31 03:38:11,2
ACC0025671,79300.39,2026-07-07 10:13:22,2
ACC0025708,13739.49,2026-02-02 11:31:12,2
ACC0024632,42209.27,2026-03-03 13:31:09,2
ACC0024674,97197.12,2026-04-23 21:23:49,2
ACC0024677,85190.16,2026-02-08 02:08:30,2
ACC0024759,130161.62,2026-02-07 12:22:14,2
ACC0024760,100942.27,2026-03-12 03:09:10,2
ACC0024787,9249.2,2026-01-12 07:47:51,2
ACC0024929,43349.98,2026-06-15 22:36:41,2
ACC0025138,135318.45,2026-05-31 11:33:47,2
ACC0029390,117790.29,2026-06-19 06:11:39,2
ACC0029415,118423.71,2026-06-15 15:13:55,2
ACC0029473,83622.18,2026-06-12 05:04:44,2
ACC0029636,140758.62,2026-01-03 10:33:38,2
ACC0029738,28451.37,2026-07-06 11:44:10,2
ACC0029827,26838.71,2026-05-22 13:38:15,2
ACC0029859,104955.3,2026-04-23 08:28:34,2
ACC0001624,85205.16,2026-05-14 07:52:59,2
ACC0029077,42786.7,2026-05-07 07:54:47,2
ACC0029175,122448.12,2026-05-13 17:10:52,2
ACC0029216,5623.78,2026-04-13 14:24:08,2
ACC0029253,141382.43,2026-03-19 07:16:34,2
ACC0029297,124998.24,2026-07-23 09:32:13,2
ACC0029341,105455.13,2026-02-20 08:41:28,2
ACC0029367,124491.27,2026-08-01 21:14:11,2
ACC0029376,71077.63,2026-01-20 10:52:13,2
ACC0028466,77126.6,2026-03-16 01:55:27,2
ACC0028497,2902.68,2026-04-16 12:01:57,2
ACC0028667,102953.23,2026-02-18 19:20:58,2
ACC0028692,75835.95,2026-04-17 09:31:13,2
ACC0028852,125404.34,2026-02-16 05:53:49,2
ACC0028871,14148.01,2026-02-18 13:46:00,2
ACC0029008,58375.35,2026-05-24 03:59:46,2
ACC0029009,115520.56,2026-06-23 08:54:17,2
ACC0028115,97993.11,2026-04-26 19:09:32,2
ACC0028188,123820.74,2026-05-17 06:25:22,2
ACC0028200,111599.94,2026-03-28 09:56:54,2
ACC0028227,33198.67,2026-07-17 15:44:36,2
ACC0028237,1562.4,2026-03-18 19:48:56,2
ACC0028379,6280.68,2026-06-09 13:21:11,2
ACC0028432,85852.47,2026-05-06 12:33:22,2
ACC0028461,62274.66,2026-03-27 15:20:05,2
ACC0003013,71054.03,2026-03-03 21:18:36,2
ACC0003021,72140.31,2026-03-23 18:49:10,2
ACC0003032,83104.27,2026-07-16 19:09:41,2
ACC0003116,2196.72,2026-04-05 07:20:45,2
ACC0003119,9915.48,2026-01-09 06:10:10,2
ACC0003210,54198.09,2026-01-10 02:49:39,2
ACC0003287,94667.07,2026-02-07 07:44:31,2
ACC0003324,147414.48,2026-06-01 14:47:12,2
ACC0002691,107253.5,2026-01-20 17:12:45,2
ACC0002717,136108.06,2026-05-15 16:17:48,2
ACC0002724,93616.19,2026-02-03 16:04:37,2
ACC0002724,145170.36,2026-01-17 23:14:10,2
ACC0002814,38544.84,2026-04-26 08:45:56,2
ACC0002853,94048.86,2026-01-22 23:45:12,2
ACC0002956,119004.01,2026-01-13 22:48:23,2
ACC0002975,67844.13,2026-07-13 22:08:13,2
ACC0002108,134436.36,2026-02-17 21:32:23,2
ACC0002142,73792.63,2026-03-13 14:55:18,2
ACC0002206,33738.3,2026-01-08 13:32:32,2
ACC0002264,74185.56,2026-03-11 17:35:57,2
ACC0002342,94735.58,2026-04-18 15:37:01,2
ACC0002400,5787.44,2026-05-29 00:48:19,2
ACC0002473,55990.16,2026-04-03 13:35:54,2
ACC0002681,70128.62,2026-07-15 02:15:50,2
ACC0001742,128977.59,2026-03-22 23:15:48,2
ACC0001820,19110.78,2026-01-31 09:14:51,2
ACC0001882,50958.73,2026-06-05 05:57:20,2
ACC0001888,82037.16,2026-07-29 08:33:02,2
ACC0001889,83298.59,2026-07-07 14:06:18,2
ACC0001901,107235.47,2026-06-28 13:50:03,2
ACC0001904,87596.64,2026-08-08 10:18:09,2
ACC0002009,22995.56,2026-05-07 03:35:34,2
