payment_id,occurrences
PAYMENT0018013,2
PAYMENT0018106,2
PAYMENT0018134,2
PAYMENT0018193,2
PAYMENT0018293,2
PAYMENT0018309,2
PAYMENT0018330,2
PAYMENT0018341,2
PAYMENT0021100,2
PAYMENT0021199,2
PAYMENT0021328,2
PAYMENT0021410,2
PAYMENT0021491,2
PAYMENT0021549,2
PAYMENT0021584,2
PAYMENT0021607,2
PAYMENT0020778,2
PAYMENT0020846,2
PAYMENT0020892,2
PAYMENT0020914,2
PAYMENT0021031,2
PAYMENT0021063,2
PAYMENT0021064,2
PAYMENT0021087,2
PAYMENT0020353,2
PAYMENT0020366,2
PAYMENT0020422,2
PAYMENT0020482,2
PAYMENT0020527,2
PAYMENT0020534,2
PAYMENT0020731,2
PAYMENT0020773,2
PAYMENT0019842,2
PAYMENT0019899,2
PAYMENT0019967,2
PAYMENT0020121,2
PAYMENT0020123,2
PAYMENT0020190,2
PAYMENT0020317,2
PAYMENT0020332,2
PAYMENT0024749,2
PAYMENT0024775,2
PAYMENT0024795,2
PAYMENT0024817,2
PAYMENT0024820,2
PAYMENT0024822,2
PAYMENT0024832,2
PAYMENT0001154,2
PAYMENT0024383,2
PAYMENT0024405,2
PAYMENT0024482,2
PAYMENT0024513,2
PAYMENT0024581,2
PAYMENT0024649,2
PAYMENT0024692,2
PAYMENT0024735,2
PAYMENT0024051,2
PAYMENT0024074,2
PAYMENT0024117,2
PAYMENT0024143,2
PAYMENT0024144,2
PAYMENT0024177,2
PAYMENT0024235,2
PAYMENT0024310,2
PAYMENT0023753,2
PAYMENT0023771,2
PAYMENT0023773,2
PAYMENT0023824,2
PAYMENT0023934,2
PAYMENT0023977,2
PAYMENT0024035,2
PAYMENT0024049,2
PAYMENT0002098,2
PAYMENT0002131,2
PAYMENT0002148,2
PAYMENT0002160,2
PAYMENT0002198,2
PAYMENT0002242,2
PAYMENT0002247,2
PAYMENT0002258,2
PAYMENT0001727,2
PAYMENT0001757,2
PAYMENT0001763,2
PAYMENT0001829,2
PAYMENT0001843,2
PAYMENT0001916,2
PAYMENT0002064,2
PAYMENT0002092,2
PAYMENT0001421,2
PAYMENT0001447,2
PAYMENT0001504,2
PAYMENT0001532,2
PAYMENT0001570,2
PAYMENT0001614,2
PAYMENT0001690,2
PAYMENT0001701,2
PAYMENT0001168,2
PAYMENT0001197,2
PAYMENT0001208,2
PAYMENT0001385,2
PAYMENT0001390,2
PAYMENT0001408,2
PAYMENT0001412,2
PAYMENT0001420,2
