payment_reference,occurrences,payment_ids,accounts,amounts,providers
TXN0000004890,2,1,1,1,1
TXN0000004891,2,2,2,2,2
TXN0000004926,2,2,2,2,2
TXN0000004969,2,2,2,2,2
TXN0000004980,3,3,3,3,2
TXN0000004984,2,2,2,2,2
TXN0000004995,2,2,2,2,2
TXN0000005013,2,2,2,2,2
TXN0000005014,2,2,2,2,2
TXN0000005023,2,1,1,1,1
TXN0000005048,2,2,2,2,2
TXN0000005057,2,2,2,2,2
TXN0000005075,2,2,2,2,2
TXN0000005120,2,2,2,2,2
TXN0000005166,2,2,2,2,2
TXN0000005172,2,2,2,2,2
TXN0000005242,2,2,2,2,2
TXN0000005258,2,2,2,2,2
TXN0000005279,2,2,2,2,2
TXN0000005280,3,3,3,3,3
TXN0000005283,2,2,2,2,2
TXN0000005338,2,2,2,2,2
TXN0000005349,2,2,2,2,2
TXN0000005373,2,2,2,2,2
TXN0000005382,2,2,2,2,2
TXN0000005391,2,2,2,2,2
TXN0000005402,3,2,2,2,2
TXN0000005404,2,2,2,2,2
TXN0000005426,2,2,2,2,2
TXN0000005431,2,2,2,2,2
TXN0000005434,2,2,2,2,2
TXN0000005440,3,3,3,3,2
TXN0000005501,2,1,1,1,1
TXN0000005522,2,2,2,2,2
TXN0000005567,2,1,1,1,1
TXN0000005591,2,2,2,2,2
TXN0000005671,2,2,2,2,2
TXN0000005688,2,2,2,2,2
TXN0000005703,3,3,3,3,3
TXN0000005755,2,2,2,2,2
TXN0000005801,2,1,1,1,1
TXN0000005830,2,2,2,2,2
TXN0000005856,2,2,2,2,2
TXN0000005860,3,3,3,3,2
TXN0000005902,2,2,2,2,2
TXN0000005910,2,2,2,2,2
TXN0000005918,2,2,2,2,2
TXN0000005925,2,1,1,1,1
TXN0000005960,2,2,2,2,2
TXN0000005970,2,2,2,2,2
TXN0000005978,2,2,2,2,2
TXN0000006007,2,2,2,2,2
TXN0000006016,3,3,3,3,3
TXN0000006036,2,2,2,2,2
TXN0000006039,2,2,2,2,2
TXN0000006045,2,1,1,1,1
TXN0000006068,2,1,1,1,1
TXN0000006075,2,2,2,2,2
TXN0000006083,2,2,2,2,2
TXN0000006114,2,2,2,2,1
TXN0000006116,2,2,2,2,2
TXN0000006131,2,2,2,2,2
TXN0000006181,2,2,2,2,2
TXN0000006183,2,2,2,2,2
TXN0000006193,2,2,2,2,2
TXN0000006198,2,2,2,2,2
TXN0000006224,3,2,2,2,2
TXN0000006259,2,2,2,2,2
TXN0000006277,2,2,2,2,2
TXN0000006311,2,1,1,1,1
TXN0000006344,2,2,2,2,2
TXN0000006373,2,2,2,2,2
TXN0000006413,2,2,2,2,1
TXN0000006415,2,2,2,2,2
TXN0000006417,2,1,1,1,1
TXN0000006457,2,2,2,2,2
TXN0000006554,2,2,2,2,2
TXN0000006568,2,2,2,2,2
TXN0000006589,2,2,2,2,2
TXN0000006637,2,1,1,1,1
TXN0000006638,2,2,2,2,2
TXN0000006650,3,3,3,3,3
TXN0000006659,2,2,2,2,2
TXN0000006661,2,2,2,2,2
TXN0000006667,2,2,2,2,2
TXN0000006668,3,3,3,3,3
TXN0000006687,3,2,2,2,2
TXN0000006712,3,2,2,2,2
TXN0000006727,2,2,2,2,2
TXN0000006748,2,1,1,1,1
TXN0000006754,2,1,1,1,1
TXN0000006792,2,2,2,2,2
TXN0000006806,2,2,2,2,2
TXN0000006833,2,1,1,1,1
TXN0000006834,3,3,3,3,3
TXN0000006862,2,2,2,2,2
TXN0000006879,2,2,2,2,2
TXN0000006905,2,2,2,2,2
TXN0000006932,2,2,2,2,2
TXN0000006936,5,4,4,4,3
TXN0000006939,2,2,2,2,2
TXN0000006999,2,2,2,2,2
TXN0000007005,2,2,2,2,2
TXN0000007015,2,2,2,2,2
TXN0000007023,2,2,2,2,2
TXN0000007034,2,2,2,2,2
TXN0000007052,2,2,2,2,2
TXN0000007061,3,2,2,2,1
TXN0000007063,2,2,2,2,2
TXN0000007070,2,2,2,2,2
TXN0000007099,2,2,2,2,2
TXN0000007107,2,2,2,2,2
TXN0000007124,2,2,2,2,2
TXN0000007140,2,2,2,2,2
TXN0000007152,2,2,2,2,2
TXN0000007155,2,2,2,2,2
TXN0000007190,3,3,3,3,3
TXN0000007226,2,2,2,2,2
TXN0000007228,2,2,2,2,2
TXN0000007238,2,2,2,2,2
TXN0000007283,2,2,2,2,2
TXN0000007313,2,1,1,1,1
TXN0000007323,3,3,3,3,2
TXN0000007359,2,2,2,2,2
TXN0000007365,2,2,2,2,2
TXN0000007411,2,2,2,2,2
TXN0000007447,2,2,2,2,2
TXN0000007455,2,2,2,2,2
TXN0000007467,2,2,2,2,2
TXN0000007475,2,2,2,2,2
TXN0000007485,2,2,2,2,2
TXN0000007489,2,2,2,2,2
TXN0000007490,2,2,2,2,2
TXN0000007492,2,2,2,2,2
TXN0000007529,2,2,2,2,2
TXN0000007550,2,1,1,1,1
TXN0000007579,2,2,2,2,2
TXN0000007595,2,2,2,2,2
TXN0000007602,2,2,2,2,2
TXN0000007605,2,2,2,2,2
TXN0000007609,2,2,2,2,2
TXN0000007638,2,2,2,2,2
TXN0000007647,2,2,2,2,2
TXN0000007674,3,3,3,3,2
TXN0000007681,3,2,2,2,2
TXN0000007689,2,2,2,2,2
TXN0000007721,2,2,2,2,2
TXN0000007724,2,2,2,2,2
TXN0000007732,2,2,2,2,2
TXN0000007743,2,2,2,2,2
TXN0000007762,2,1,1,1,1
TXN0000007784,2,2,2,2,2
TXN0000007815,2,2,2,2,2
TXN0000007853,2,2,2,2,2
TXN0000007882,2,2,2,2,2
TXN0000007905,2,2,2,2,2
TXN0000007970,2,2,2,2,2
TXN0000007977,2,2,2,2,2
TXN0000008005,2,2,2,2,1
TXN0000008020,2,2,2,2,2
TXN0000008029,2,2,2,2,2
TXN0000008034,3,3,3,3,2
TXN0000008041,2,1,1,1,1
TXN0000008082,2,2,2,2,1
TXN0000008103,2,2,2,2,2
TXN0000008131,2,2,2,2,2
TXN0000008132,2,2,2,2,2
TXN0000008218,2,2,2,2,2
TXN0000008221,2,2,2,2,2
TXN0000008223,3,2,2,2,1
TXN0000008229,2,2,2,2,2
TXN0000008246,2,2,2,2,1
TXN0000008290,2,2,2,2,2
TXN0000008296,2,2,2,2,2
TXN0000008332,2,2,2,2,2
TXN0000008336,2,2,2,2,2
TXN0000008360,2,2,2,2,2
TXN0000008370,2,2,2,2,2
TXN0000008391,2,2,2,2,2
TXN0000008394,2,2,2,2,2
TXN0000008410,3,2,2,2,2
TXN0000008482,2,2,2,2,2
TXN0000008489,2,2,2,2,2
TXN0000008515,2,2,2,2,2
TXN0000008519,2,2,2,2,2
TXN0000008542,2,2,2,2,2
TXN0000008554,2,2,2,2,2
TXN0000008580,2,2,2,2,2
TXN0000008585,2,2,2,2,2
TXN0000008595,2,2,2,2,1
TXN0000008612,2,1,1,1,1
TXN0000008622,2,2,2,2,2
TXN0000008659,2,2,2,2,2
TXN0000008660,2,2,2,2,2
TXN0000008663,2,2,2,2,2
TXN0000008675,2,2,2,2,1
TXN0000008760,3,3,3,3,3
TXN0000008772,3,3,3,3,3
TXN0000008794,2,2,2,2,2
TXN0000008803,2,2,2,2,2
TXN0000008804,2,2,2,2,2
TXN0000008815,2,2,2,2,2
TXN0000008823,2,2,2,2,2
TXN0000008826,2,2,2,2,2
TXN0000008901,3,3,3,3,2
TXN0000008907,2,2,2,2,2
TXN0000008923,2,2,2,2,2
TXN0000008956,4,3,3,3,2
TXN0000008967,2,2,2,2,2
TXN0000008991,2,2,2,2,2
TXN0000009004,2,2,2,2,2
TXN0000009019,2,2,2,2,2
TXN0000009025,3,3,3,3,3
TXN0000009029,2,2,2,2,2
TXN0000009033,3,3,3,3,2
TXN0000009034,2,2,2,2,2
TXN0000009040,2,2,2,2,2
TXN0000009041,2,2,2,2,2
TXN0000009045,2,2,2,2,2
TXN0000009064,2,2,2,2,2
TXN0000009069,2,2,2,2,2
TXN0000009096,2,2,2,2,2
TXN0000009122,2,2,2,2,2
TXN0000009124,2,2,2,2,2
TXN0000009141,2,2,2,2,2
TXN0000009164,2,2,2,2,2
TXN0000009213,2,2,2,2,2
TXN0000009221,2,2,2,2,1
TXN0000009262,3,2,2,2,2
TXN0000009277,2,2,2,2,2
TXN0000009325,2,2,2,2,2
TXN0000009335,2,2,2,2,2
TXN0000009342,2,2,2,2,2
TXN0000009343,3,3,3,3,3
TXN0000009419,2,1,1,1,1
TXN0000009490,4,4,4,4,4
TXN0000009513,2,1,1,1,1
TXN0000009604,3,2,2,2,2
TXN0000009618,2,2,2,2,2
TXN0000009634,2,2,2,2,2
TXN0000009654,2,2,2,2,2
TXN0000009664,2,2,2,2,1
TXN0000009681,2,1,1,1,1
TXN0000009714,2,2,2,2,1
TXN0000009726,2,1,1,1,1
TXN0000009728,2,2,2,2,2
TXN0000009745,2,2,2,2,2
TXN0000009774,2,2,2,2,2
TXN0000009777,2,2,2,2,2
TXN0000009778,2,2,2,2,2
TXN0000009807,2,2,2,2,1
TXN0000009821,2,2,2,2,2
TXN0000009823,2,2,2,2,2
TXN0000009845,2,2,2,2,2
TXN0000009874,2,2,2,2,2
TXN0000009899,2,2,2,2,2
TXN0000009916,2,2,2,2,1
TXN0000009920,2,2,2,2,2
TXN0000009925,2,1,1,1,1
TXN0000009943,2,1,1,1,1
TXN0000009953,2,2,2,2,2
TXN0000009996,2,2,2,2,2
TXN0000009997,2,2,2,2,2
TXN0000010009,2,2,2,2,2
TXN0000010026,2,2,2,2,2
TXN0000010032,3,3,3,3,2
TXN0000010066,3,2,2,2,2
TXN0000010101,2,2,2,2,2
TXN0000010102,2,2,2,2,2
TXN0000010145,2,2,2,2,2
TXN0000010151,2,1,1,1,1
TXN0000010167,2,2,2,2,2
TXN0000010180,2,1,1,1,1
TXN0000010191,2,2,2,2,2
TXN0000010278,2,1,1,1,1
TXN0000010290,2,2,2,2,2
TXN0000010330,2,2,2,2,2
TXN0000010352,2,2,2,2,2
TXN0000010372,2,2,2,2,2
TXN0000010399,2,2,2,2,2
TXN0000010429,2,2,2,2,2
TXN0000010455,2,2,2,2,2
TXN0000010466,2,2,2,2,2
TXN0000010469,2,2,2,2,1
TXN0000010471,2,2,2,2,2
TXN0000010487,2,2,2,2,2
TXN0000010498,3,2,2,2,2
TXN0000010513,2,2,2,2,2
TXN0000010538,2,2,2,2,2
TXN0000010555,2,2,2,2,2
TXN0000010557,3,2,2,2,2
TXN0000010565,2,2,2,2,2
TXN0000010566,2,2,2,2,2
TXN0000010587,2,2,2,2,1
TXN0000010619,2,2,2,2,2
TXN0000010639,2,2,2,2,2
TXN0000010690,2,2,2,2,2
TXN0000010704,2,2,2,2,2
TXN0000010717,2,1,1,1,1
TXN0000010738,2,2,2,2,2
TXN0000010748,2,2,2,2,2
TXN0000010770,2,2,2,2,2
TXN0000010788,3,3,3,3,3
TXN0000010805,2,2,2,2,2
TXN0000010833,2,2,2,2,2
TXN0000010839,2,2,2,2,2
TXN0000010846,2,2,2,2,2
TXN0000010895,2,2,2,2,2
TXN0000010909,2,2,2,2,2
TXN0000010911,2,2,2,2,2
TXN0000010916,2,2,2,2,2
TXN0000010962,2,2,2,2,1
TXN0000010963,2,2,2,2,2
TXN0000010982,2,2,2,2,2
TXN0000011014,2,1,1,1,1
TXN0000011029,2,2,2,2,2
TXN0000011048,2,2,2,2,2
TXN0000011067,2,2,2,2,2
TXN0000011080,3,3,3,3,3
TXN0000011095,2,2,2,2,2
TXN0000011099,2,2,2,2,2
TXN0000011109,2,2,2,2,2
TXN0000011143,2,2,2,2,2
TXN0000011181,2,2,2,2,2
TXN0000011183,2,2,2,2,2
TXN0000011184,2,2,2,2,2
TXN0000011187,2,2,2,2,2
TXN0000011246,2,2,2,2,2
TXN0000011249,2,2,2,2,2
TXN0000011253,3,3,3,3,3
TXN0000011258,2,2,2,2,2
TXN0000011269,2,2,2,2,2
TXN0000011281,2,2,2,2,2
TXN0000011287,2,1,1,1,1
TXN0000011301,2,2,2,2,2
TXN0000011306,2,2,2,2,2
TXN0000011311,2,2,2,2,2
TXN0000011341,2,2,2,2,2
TXN0000011349,2,2,2,2,2
TXN0000011378,2,2,2,2,2
TXN0000011411,2,2,2,2,2
TXN0000011415,2,2,2,2,2
TXN0000011425,2,2,2,2,2
TXN0000011441,2,2,2,2,2
TXN0000011444,2,2,2,2,2
TXN0000011452,2,2,2,2,2
TXN0000011459,2,2,2,2,2
TXN0000011489,3,3,3,3,3
TXN0000011490,2,2,2,2,2
TXN0000011512,3,3,3,3,3
TXN0000011518,2,1,1,1,1
TXN0000011521,3,3,3,3,2
TXN0000011559,2,2,2,2,2
TXN0000011570,2,2,2,2,2
TXN0000011580,3,3,3,3,3
TXN0000011614,2,2,2,2,2
TXN0000011621,2,2,2,2,2
TXN0000011635,3,3,3,3,3
TXN0000011656,3,3,3,3,3
TXN0000011678,2,1,1,1,1
TXN0000011683,2,1,1,1,1
TXN0000011685,2,1,1,1,1
TXN0000011704,2,2,2,2,2
TXN0000011750,2,2,2,2,2
TXN0000011761,2,2,2,2,1
TXN0000011796,2,2,2,2,2
TXN0000011839,2,2,2,2,1
TXN0000011844,2,2,2,2,1
TXN0000011850,4,4,4,4,3
TXN0000011889,2,2,2,2,2
TXN0000011913,2,2,2,2,2
TXN0000011926,2,2,2,2,2
TXN0000011956,2,2,2,2,2
TXN0000012011,2,2,2,2,2
TXN0000012018,2,2,2,2,2
TXN0000012053,2,2,2,2,2
TXN0000012082,2,2,2,2,2
TXN0000012092,2,2,2,2,2
TXN0000012094,2,2,2,2,2
TXN0000012130,2,2,2,2,2
TXN0000012140,3,3,3,3,3
TXN0000012152,2,2,2,2,2
TXN0000012163,2,2,2,2,2
TXN0000012166,2,2,2,2,2
TXN0000012167,2,2,2,2,2
TXN0000012171,2,2,2,2,2
TXN0000012187,2,2,2,2,2
TXN0000012188,2,2,2,2,2
TXN0000012195,2,2,2,2,2
TXN0000012207,2,2,2,2,2
TXN0000012213,2,1,1,1,1
TXN0000012241,3,3,3,3,3
TXN0000012266,2,2,2,2,2
TXN0000012289,2,1,1,1,1
TXN0000012329,2,2,2,2,2
TXN0000012334,2,2,2,2,2
TXN0000012394,2,2,2,2,2
TXN0000012423,2,2,2,2,2
TXN0000012444,2,2,2,2,2
TXN0000012459,2,2,2,2,2
TXN0000012512,4,3,3,3,3
TXN0000012523,2,1,1,1,1
TXN0000012524,3,3,3,3,3
TXN0000012534,2,2,2,2,1
TXN0000012589,2,2,2,2,2
TXN0000012607,3,3,3,3,3
TXN0000012641,2,2,2,2,2
TXN0000012648,2,2,2,2,2
TXN0000012673,2,2,2,2,2
TXN0000012707,2,2,2,2,2
TXN0000012730,2,2,2,2,2
TXN0000012796,2,2,2,2,2
TXN0000012809,2,2,2,2,2
TXN0000012824,2,2,2,2,2
TXN0000012864,2,2,2,2,2
TXN0000012888,2,2,2,2,2
TXN0000012930,2,2,2,2,2
TXN0000012943,2,2,2,2,2
TXN0000012958,2,2,2,2,2
TXN0000012969,2,2,2,2,2
TXN0000012979,3,2,2,2,2
TXN0000013037,3,3,3,3,2
TXN0000013094,2,1,1,1,1
TXN0000013095,2,2,2,2,2
TXN0000013097,2,2,2,2,2
TXN0000013109,2,2,2,2,2
TXN0000013129,2,2,2,2,2
TXN0000013145,2,2,2,2,2
TXN0000013152,2,2,2,2,2
TXN0000013155,2,1,1,1,1
TXN0000013244,2,2,2,2,2
TXN0000013257,2,1,1,1,1
TXN0000013291,4,4,4,4,4
TXN0000013302,2,2,2,2,1
TXN0000013313,2,2,2,2,2
TXN0000013354,2,2,2,2,2
TXN0000013368,2,2,2,2,1
TXN0000013385,3,2,2,2,2
TXN0000013391,2,2,2,2,2
TXN0000013404,2,2,2,2,2
TXN0000013410,2,2,2,2,2
TXN0000013454,2,2,2,2,1
TXN0000013466,2,2,2,2,2
TXN0000013468,2,2,2,2,2
TXN0000013472,2,2,2,2,2
TXN0000013498,2,2,2,2,2
TXN0000013511,2,2,2,2,2
TXN0000013518,2,2,2,2,2
TXN0000013521,2,2,2,2,2
TXN0000013526,3,3,3,3,3
TXN0000013529,2,2,2,2,2
TXN0000013537,2,2,2,2,2
TXN0000013559,2,2,2,2,2
TXN0000013560,2,2,2,2,2
TXN0000013590,2,2,2,2,2
TXN0000013655,2,2,2,2,2
TXN0000013669,2,2,2,2,2
TXN0000013671,2,2,2,2,2
TXN0000013702,2,1,1,1,1
TXN0000013733,2,2,2,2,2
TXN0000013769,2,2,2,2,2
TXN0000013784,2,2,2,2,2
TXN0000013794,2,2,2,2,2
TXN0000013805,2,2,2,2,2
TXN0000013807,2,2,2,2,2
TXN0000013820,2,2,2,2,2
TXN0000013872,2,1,1,1,1
TXN0000013902,4,3,3,3,2
TXN0000013915,2,2,2,2,2
TXN0000013926,2,2,2,2,2
TXN0000013938,2,2,2,2,2
TXN0000013942,2,2,2,2,2
TXN0000013946,2,2,2,2,2
TXN0000013961,2,2,2,2,2
TXN0000013965,2,2,2,2,2
TXN0000013980,2,2,2,2,2
TXN0000014006,3,3,3,3,2
TXN0000014017,2,2,2,2,2
TXN0000014049,2,2,2,2,2
TXN0000014066,3,3,3,3,3
TXN0000014091,2,2,2,2,2
TXN0000014136,2,2,2,2,2
TXN0000014143,2,2,2,2,2
TXN0000014157,2,2,2,2,2
TXN0000014166,2,2,2,2,2
TXN0000014173,3,3,3,3,3
TXN0000014199,2,2,2,2,2
TXN0000014219,3,3,3,3,3
TXN0000014232,2,2,2,2,2
TXN0000014265,2,2,2,2,2
TXN0000014291,2,2,2,2,2
TXN0000014302,2,2,2,2,1
TXN0000014314,3,3,3,3,3
TXN0000014317,2,2,2,2,2
TXN0000014324,2,2,2,2,2
TXN0000014349,2,2,2,2,2
TXN0000014398,2,2,2,2,2
TXN0000014434,2,2,2,2,2
