month,disposition_version,disposition_code,records
2026-06,v1,REFUSED,184
2026-06,v1,WRONG_NUMBER,194
2026-06,v2,CALLBACK,170
2026-06,v2,DISPUTE,157
2026-06,v2,NO_CONTACT,181
2026-06,v2,PAID,179
2026-06,v2,PROMISE_TO_PAY,161
2026-06,v2,PTP,174
2026-06,v2,PTP_BROKEN,180
2026-06,v2,REFUSED,173
2026-06,v2,WRONG_NUMBER,160
2026-07,legacy,CALLBACK,191
2026-07,legacy,DISPUTE,172
2026-07,legacy,NO_CONTACT,195
2026-07,legacy,PAID,179
2026-07,legacy,PROMISE_TO_PAY,172
2026-07,legacy,PTP,160
2026-07,legacy,PTP_BROKEN,187
2026-07,legacy,REFUSED,166
2026-07,legacy,WRONG_NUMBER,173
2026-07,v1,CALLBACK,166
2026-07,v1,DISPUTE,190
2026-07,v1,NO_CONTACT,174
2026-07,v1,PAID,178
2026-07,v1,PROMISE_TO_PAY,199
2026-07,v1,PTP,161
2026-07,v1,PTP_BROKEN,186
2026-07,v1,REFUSED,194
2026-07,v1,WRONG_NUMBER,180
2026-07,v2,CALLBACK,188
2026-07,v2,DISPUTE,181
2026-07,v2,NO_CONTACT,189
2026-07,v2,PAID,193
2026-07,v2,PROMISE_TO_PAY,163
2026-07,v2,PTP,198
2026-07,v2,PTP_BROKEN,185
2026-07,v2,REFUSED,173
2026-07,v2,WRONG_NUMBER,172
2026-08,legacy,CALLBACK,47
2026-08,legacy,DISPUTE,52
2026-08,legacy,NO_CONTACT,44
2026-08,legacy,PAID,48
2026-08,legacy,PROMISE_TO_PAY,52
2026-08,legacy,PTP,49
2026-08,legacy,PTP_BROKEN,35
2026-08,legacy,REFUSED,41
2026-08,legacy,WRONG_NUMBER,43
2026-08,v1,CALLBACK,37
2026-08,v1,DISPUTE,47
2026-08,v1,NO_CONTACT,50
2026-08,v1,PAID,38
2026-08,v1,PROMISE_TO_PAY,40
2026-08,v1,PTP,49
2026-08,v1,PTP_BROKEN,51
2026-08,v1,REFUSED,34
2026-08,v1,WRONG_NUMBER,42
2026-08,v2,CALLBACK,45
2026-08,v2,DISPUTE,60
2026-08,v2,NO_CONTACT,53
2026-08,v2,PAID,52
2026-08,v2,PROMISE_TO_PAY,42
2026-08,v2,PTP,40
2026-08,v2,PTP_BROKEN,52
2026-08,v2,REFUSED,36
2026-08,v2,WRONG_NUMBER,39
