dataset,column,data_type,row_count,missing_count,missing_pct,unique_values
promises_to_pay,promised_date,object,18000,0,0.0,17992
promises_to_pay,status,object,18000,0,0.0,4
promises_to_pay,source,object,18000,0,0.0,4
sms_events,sms_event_id,object,45000,0,0.0,45000
sms_events,account_id,object,45000,0,0.0,23207
sms_events,borrower_id,object,45000,0,0.0,11728
sms_events,event_at,object,45000,0,0.0,44949
sms_events,message_id,object,45000,0,0.0,27001
sms_events,event_type,object,45000,0,0.0,4
sms_events,template_code,object,45000,0,0.0,4
sms_events,provider_id,object,45000,0,0.0,15
vendor_telephony,vendor_id,object,15,0,0.0,15
vendor_telephony,vendor_name,object,15,0,0.0,5
vendor_telephony,vendor_account_id,object,15,0,0.0,15
vendor_telephony,timezone,object,15,0,0.0,2
vendor_telephony,status,object,15,0,0.0,2
vendor_telephony,schema_version,object,15,0,0.0,3
whatsapp_events,whatsapp_event_id,object,60600,0,0.0,60000
whatsapp_events,account_id,object,60600,0,0.0,25924
whatsapp_events,borrower_id,object,60600,0,0.0,11917
whatsapp_events,event_at,object,60600,0,0.0,59892
whatsapp_events,message_id,object,60600,0,0.0,34831
whatsapp_events,event_type,object,60600,0,0.0,6
whatsapp_events,template_code,object,60600,0,0.0,5
whatsapp_events,provider_id,object,60600,0,0.0,15
