account_id,recovered_account,recovery_amount,total_calls,total_attempts,call_exposure_group,attempt_exposure_group
ACC0000148,0,0.0,2.0,5.0,Low,Medium
ACC0000149,0,0.0,3.0,5.0,Medium,Medium
ACC0000150,0,0.0,3.0,3.0,Medium,Medium
ACC0000151,1,23606.23,0.0,3.0,Low,Medium
ACC0000152,0,0.0,4.0,3.0,Medium,Medium
ACC0000153,1,114256.75,1.0,3.0,Low,Medium
ACC0000154,1,123943.53,1.0,6.0,Low,High
ACC0000155,1,123047.96,5.0,4.0,High,Medium
ACC0000156,0,0.0,5.0,5.0,High,Medium
ACC0000157,0,0.0,0.0,3.0,Low,Medium
ACC0000158,1,126320.79000000001,6.0,3.0,High,Medium
ACC0000159,1,112470.29,2.0,4.0,Low,Medium
ACC0000160,1,19658.68,5.0,2.0,High,Low
ACC0000161,1,228861.88,5.0,4.0,High,Medium
ACC0000162,0,0.0,4.0,4.0,Medium,Medium
ACC0000163,1,163273.22,6.0,4.0,High,Medium
ACC0000164,0,0.0,3.0,3.0,Medium,Medium
ACC0000165,1,34067.78,2.0,5.0,Low,Medium
ACC0000166,1,138840.21,1.0,1.0,Low,Low
ACC0000167,1,29814.17,3.0,3.0,Medium,Medium
ACC0000168,1,213801.19,6.0,4.0,High,Medium
ACC0000169,1,140621.84,4.0,3.0,Medium,Medium
ACC0000170,0,0.0,4.0,2.0,Medium,Low
ACC0000171,1,144676.44,2.0,3.0,Low,Medium
ACC0000172,1,4550.57,4.0,2.0,Medium,Low
ACC0000173,1,216863.08000000002,1.0,2.0,Low,Low
ACC0000174,0,0.0,3.0,6.0,Medium,High
ACC0000175,0,0.0,4.0,6.0,Medium,High
ACC0000176,0,0.0,4.0,5.0,Medium,Medium
ACC0000177,0,0.0,1.0,5.0,Low,Medium
ACC0000178,1,81234.98,4.0,2.0,Medium,Low
ACC0000179,0,0.0,2.0,4.0,Low,Medium
ACC0000180,0,0.0,0.0,6.0,Low,High
ACC0000181,0,0.0,0.0,3.0,Low,Medium
ACC0000182,1,49019.47,8.0,3.0,High,Medium
ACC0000183,1,102894.76,1.0,1.0,Low,Low
ACC0000184,1,13961.55,1.0,5.0,Low,Medium
ACC0000185,0,0.0,3.0,4.0,Medium,Medium
ACC0000186,0,0.0,2.0,1.0,Low,Low
ACC0000187,1,31690.94,3.0,2.0,Medium,Low
ACC0000188,0,0.0,1.0,7.0,Low,High
ACC0000189,1,23942.19,6.0,4.0,High,Medium
ACC0000190,0,0.0,5.0,3.0,High,Medium
ACC0000191,1,2353.1,4.0,3.0,Medium,Medium
ACC0000192,1,155613.21000000002,4.0,2.0,Medium,Low
ACC0000193,0,0.0,5.0,4.0,High,Medium
ACC0000194,0,0.0,8.0,3.0,High,Medium
ACC0000195,0,0.0,9.0,8.0,High,High
ACC0000196,0,0.0,5.0,2.0,High,Low
ACC0000197,0,0.0,5.0,5.0,High,Medium
ACC0000198,0,0.0,2.0,4.0,Low,Medium
ACC0000199,1,149789.66,2.0,3.0,Low,Medium
ACC0000200,0,0.0,2.0,5.0,Low,Medium
ACC0000201,1,121964.16,2.0,6.0,Low,High
ACC0000202,1,141038.43,5.0,4.0,High,Medium
ACC0000203,0,0.0,2.0,4.0,Low,Medium
ACC0000204,1,89324.93,3.0,6.0,Medium,High
ACC0000205,0,0.0,1.0,3.0,Low,Medium
ACC0000206,1,128760.36,0.0,3.0,Low,Medium
ACC0000207,1,90867.1,3.0,2.0,Medium,Low
ACC0000208,1,88714.98,3.0,4.0,Medium,Medium
ACC0000209,1,21969.17,3.0,6.0,Medium,High
ACC0000210,0,0.0,3.0,1.0,Medium,Low
ACC0000211,0,0.0,0.0,4.0,Low,Medium
ACC0000212,1,82571.34,2.0,3.0,Low,Medium
ACC0000213,0,0.0,3.0,7.0,Medium,High
ACC0000214,0,0.0,3.0,3.0,Medium,Medium
ACC0000215,1,161343.44,5.0,7.0,High,High
ACC0000216,0,0.0,2.0,3.0,Low,Medium
ACC0000217,0,0.0,2.0,1.0,Low,Low
ACC0000218,0,0.0,3.0,4.0,Medium,Medium
ACC0000219,1,161064.93,4.0,4.0,Medium,Medium
ACC0000220,0,0.0,2.0,3.0,Low,Medium
ACC0000221,0,0.0,3.0,10.0,Medium,High
ACC0000222,0,0.0,2.0,1.0,Low,Low
ACC0000223,0,0.0,2.0,5.0,Low,Medium
ACC0000224,1,6088.02,7.0,4.0,High,Medium
ACC0000225,0,0.0,2.0,3.0,Low,Medium
ACC0000226,1,16618.92,7.0,6.0,High,High
ACC0000227,0,0.0,3.0,5.0,Medium,Medium
ACC0000228,0,0.0,0.0,5.0,Low,Medium
ACC0000229,1,91083.29,2.0,4.0,Low,Medium
ACC0000230,1,180178.4,2.0,4.0,Low,Medium
ACC0000231,1,123256.47,6.0,3.0,High,Medium
ACC0000232,0,0.0,2.0,2.0,Low,Low
ACC0000233,0,0.0,4.0,5.0,Medium,Medium
ACC0000234,0,0.0,1.0,5.0,Low,Medium
ACC0000235,1,38482.85,2.0,5.0,Low,Medium
ACC0000236,1,44365.77,4.0,5.0,Medium,Medium
ACC0000237,1,58894.79,2.0,5.0,Low,Medium
ACC0000238,1,129371.01,2.0,0.0,Low,Low
ACC0000239,0,0.0,5.0,5.0,High,Medium
ACC0000240,0,0.0,2.0,3.0,Low,Medium
ACC0000241,1,123324.62,3.0,3.0,Medium,Medium
ACC0000242,1,24827.03,1.0,7.0,Low,High
ACC0000243,1,95483.52,4.0,3.0,Medium,Medium
ACC0000244,0,0.0,3.0,3.0,Medium,Medium
ACC0000245,1,26888.29,3.0,2.0,Medium,Low
ACC0000246,1,136528.87,0.0,6.0,Low,High
ACC0000247,0,0.0,1.0,5.0,Low,Medium
ACC0000248,1,119653.18,2.0,2.0,Low,Low
ACC0000249,1,46694.2,5.0,2.0,High,Low
ACC0000250,1,85502.72,2.0,6.0,Low,High
ACC0000251,1,61768.36,1.0,3.0,Low,Medium
ACC0000252,0,0.0,5.0,2.0,High,Low
ACC0000253,0,0.0,3.0,6.0,Medium,High
ACC0000254,1,72037.83,3.0,6.0,Medium,High
ACC0000255,0,0.0,2.0,7.0,Low,High
ACC0000256,0,0.0,3.0,6.0,Medium,High
ACC0000257,1,89064.06,3.0,0.0,Medium,Low
ACC0000258,0,0.0,2.0,5.0,Low,Medium
ACC0000259,1,79538.52,3.0,0.0,Medium,Low
ACC0000260,1,2696.91,2.0,2.0,Low,Low
ACC0000261,1,51882.33,6.0,3.0,High,Medium
ACC0000262,0,0.0,0.0,3.0,Low,Medium
ACC0000263,0,0.0,2.0,3.0,Low,Medium
ACC0000264,0,0.0,4.0,0.0,Medium,Low
ACC0000265,0,0.0,3.0,6.0,Medium,High
ACC0000266,0,0.0,3.0,5.0,Medium,Medium
ACC0000267,1,37935.87,0.0,3.0,Low,Medium
ACC0000268,1,43414.26,3.0,7.0,Medium,High
ACC0000269,1,45532.54,2.0,3.0,Low,Medium
ACC0000270,0,0.0,1.0,7.0,Low,High
ACC0000271,0,0.0,2.0,1.0,Low,Low
ACC0000272,1,16279.4,5.0,4.0,High,Medium
ACC0000273,0,0.0,3.0,2.0,Medium,Low
ACC0000274,0,0.0,7.0,6.0,High,High
ACC0000275,1,43536.92,3.0,5.0,Medium,Medium
ACC0000276,0,0.0,6.0,6.0,High,High
ACC0000277,0,0.0,3.0,2.0,Medium,Low
ACC0000278,0,0.0,4.0,5.0,Medium,Medium
ACC0000279,0,0.0,3.0,2.0,Medium,Low
ACC0000280,0,0.0,2.0,3.0,Low,Medium
ACC0000281,0,0.0,4.0,1.0,Medium,Low
ACC0000282,0,0.0,1.0,2.0,Low,Low
ACC0000283,1,85233.31,2.0,4.0,Low,Medium
ACC0000284,0,0.0,2.0,2.0,Low,Low
ACC0000285,1,86417.16,1.0,6.0,Low,High
ACC0000286,1,144876.97,2.0,1.0,Low,Low
ACC0000287,0,0.0,5.0,2.0,High,Low
ACC0000288,0,0.0,5.0,2.0,High,Low
ACC0000289,1,30537.03,3.0,2.0,Medium,Low
ACC0000290,0,0.0,3.0,4.0,Medium,Medium
ACC0000291,1,137937.2,3.0,4.0,Medium,Medium
ACC0000292,1,57680.77,3.0,2.0,Medium,Low
ACC0000293,1,94515.86,4.0,4.0,Medium,Medium
ACC0000294,0,0.0,3.0,5.0,Medium,Medium
ACC0000295,0,0.0,5.0,8.0,High,High
ACC0000296,1,197865.43,4.0,2.0,Medium,Low
ACC0000297,0,0.0,3.0,2.0,Medium,Low
ACC0000298,0,0.0,4.0,8.0,Medium,High
ACC0000299,0,0.0,5.0,8.0,High,High
ACC0000300,0,0.0,2.0,6.0,Low,High
ACC0000301,0,0.0,0.0,3.0,Low,Medium
ACC0000302,0,0.0,6.0,1.0,High,Low
ACC0000303,1,91175.25,3.0,2.0,Medium,Low
ACC0000304,0,0.0,2.0,8.0,Low,High
ACC0000305,1,74719.7,5.0,4.0,High,Medium
ACC0000306,0,0.0,2.0,3.0,Low,Medium
ACC0000307,0,0.0,1.0,4.0,Low,Medium
ACC0000308,1,138858.9,2.0,5.0,Low,Medium
ACC0000309,1,49065.85,1.0,6.0,Low,High
ACC0000310,0,0.0,3.0,5.0,Medium,Medium
ACC0000311,0,0.0,4.0,6.0,Medium,High
ACC0000312,1,6277.32,3.0,3.0,Medium,Medium
ACC0000313,0,0.0,4.0,3.0,Medium,Medium
ACC0000314,1,87306.82,4.0,9.0,Medium,High
ACC0000315,1,19387.92,1.0,5.0,Low,Medium
ACC0000316,0,0.0,3.0,9.0,Medium,High
ACC0000317,0,0.0,2.0,3.0,Low,Medium
ACC0000318,0,0.0,3.0,4.0,Medium,Medium
ACC0000319,1,211807.15999999997,3.0,2.0,Medium,Low
ACC0000320,0,0.0,5.0,8.0,High,High
ACC0000321,1,16036.88,2.0,1.0,Low,Low
ACC0000322,0,0.0,3.0,4.0,Medium,Medium
ACC0000323,0,0.0,2.0,8.0,Low,High
ACC0000324,1,113227.95,5.0,2.0,High,Low
ACC0000325,0,0.0,2.0,8.0,Low,High
ACC0000326,1,40351.44,1.0,8.0,Low,High
ACC0000327,1,37055.46,2.0,2.0,Low,Low
ACC0000328,0,0.0,5.0,6.0,High,High
ACC0000329,0,0.0,6.0,2.0,High,Low
ACC0000330,1,17000.16,4.0,3.0,Medium,Medium
ACC0000331,0,0.0,3.0,4.0,Medium,Medium
ACC0000332,1,46969.39,2.0,6.0,Low,High
ACC0000333,1,137222.44,2.0,7.0,Low,High
ACC0000334,0,0.0,3.0,4.0,Medium,Medium
ACC0000335,0,0.0,2.0,5.0,Low,Medium
ACC0000336,0,0.0,3.0,7.0,Medium,High
ACC0000337,0,0.0,1.0,3.0,Low,Medium
ACC0000338,0,0.0,4.0,5.0,Medium,Medium
ACC0000339,0,0.0,2.0,2.0,Low,Low
ACC0000340,1,26294.91,2.0,3.0,Low,Medium
ACC0000341,1,21977.61,2.0,4.0,Low,Medium
ACC0000342,1,30123.97,4.0,5.0,Medium,Medium
ACC0000343,0,0.0,1.0,3.0,Low,Medium
ACC0000344,1,161324.04,2.0,8.0,Low,High
ACC0000345,0,0.0,0.0,3.0,Low,Medium
ACC0000346,0,0.0,2.0,3.0,Low,Medium
ACC0000347,0,0.0,3.0,4.0,Medium,Medium
ACC0000348,0,0.0,1.0,7.0,Low,High
ACC0000349,0,0.0,4.0,4.0,Medium,Medium
ACC0000350,1,223910.43,2.0,5.0,Low,Medium
ACC0000351,1,22717.81,1.0,2.0,Low,Low
ACC0000352,1,12906.05,2.0,2.0,Low,Low
ACC0000353,0,0.0,5.0,4.0,High,Medium
ACC0000354,0,0.0,4.0,5.0,Medium,Medium
ACC0000355,0,0.0,4.0,4.0,Medium,Medium
ACC0000356,0,0.0,2.0,3.0,Low,Medium
ACC0000357,1,128466.94,3.0,4.0,Medium,Medium
ACC0000358,0,0.0,3.0,6.0,Medium,High
ACC0000359,0,0.0,6.0,2.0,High,Low
ACC0000360,1,24022.43,2.0,2.0,Low,Low
ACC0000361,1,75887.44,1.0,3.0,Low,Medium
ACC0000362,0,0.0,3.0,4.0,Medium,Medium
ACC0000363,0,0.0,6.0,4.0,High,Medium
ACC0000364,1,42678.16,5.0,6.0,High,High
ACC0000365,1,111251.78,5.0,5.0,High,Medium
ACC0000366,1,149851.03,0.0,6.0,Low,High
ACC0000367,0,0.0,5.0,5.0,High,Medium
ACC0000368,0,0.0,5.0,4.0,High,Medium
ACC0000369,0,0.0,2.0,5.0,Low,Medium
ACC0000370,1,107675.74,3.0,4.0,Medium,Medium
ACC0000371,0,0.0,5.0,4.0,High,Medium
ACC0000372,0,0.0,3.0,3.0,Medium,Medium
ACC0000373,0,0.0,2.0,5.0,Low,Medium
ACC0000374,1,112093.48999999999,4.0,8.0,Medium,High
ACC0000375,1,71839.26,0.0,5.0,Low,Medium
ACC0000376,0,0.0,2.0,0.0,Low,Low
ACC0000377,0,0.0,3.0,5.0,Medium,Medium
ACC0000378,1,332721.24,6.0,8.0,High,High
ACC0000379,1,18292.79,4.0,3.0,Medium,Medium
ACC0000380,0,0.0,8.0,3.0,High,Medium
ACC0000381,1,320059.19999999995,2.0,3.0,Low,Medium
ACC0000382,1,28340.06,3.0,3.0,Medium,Medium
ACC0000383,0,0.0,1.0,2.0,Low,Low
ACC0000384,1,80294.09,3.0,5.0,Medium,Medium
ACC0000385,0,0.0,2.0,4.0,Low,Medium
ACC0000386,0,0.0,3.0,6.0,Medium,High
ACC0000387,1,109982.03,3.0,5.0,Medium,Medium
ACC0000388,0,0.0,2.0,5.0,Low,Medium
ACC0000389,0,0.0,3.0,4.0,Medium,Medium
ACC0000390,0,0.0,1.0,3.0,Low,Medium
ACC0000391,1,107223.26,2.0,4.0,Low,Medium
ACC0000392,0,0.0,3.0,5.0,Medium,Medium
ACC0000393,1,23183.02,2.0,4.0,Low,Medium
ACC0000394,1,29865.53,7.0,4.0,High,Medium
ACC0000395,1,14230.64,1.0,3.0,Low,Medium
ACC0000396,0,0.0,1.0,5.0,Low,Medium
ACC0000397,1,50753.46,1.0,6.0,Low,High
ACC0000398,1,88813.34000000001,3.0,3.0,Medium,Medium
ACC0000399,1,51423.9,4.0,5.0,Medium,Medium
ACC0000400,0,0.0,3.0,3.0,Medium,Medium
ACC0000401,0,0.0,0.0,3.0,Low,Medium
ACC0000402,0,0.0,0.0,1.0,Low,Low
ACC0000403,0,0.0,5.0,5.0,High,Medium
ACC0000404,0,0.0,1.0,3.0,Low,Medium
ACC0000405,0,0.0,4.0,7.0,Medium,High
ACC0000406,1,67308.45,1.0,2.0,Low,Low
ACC0000407,1,17203.69,5.0,3.0,High,Medium
ACC0000408,1,232985.62,8.0,4.0,High,Medium
ACC0000409,0,0.0,1.0,5.0,Low,Medium
ACC0000410,1,17039.72,2.0,1.0,Low,Low
ACC0000411,0,0.0,2.0,5.0,Low,Medium
ACC0000412,1,18880.31,1.0,6.0,Low,High
ACC0000413,1,72019.32,3.0,1.0,Medium,Low
ACC0000414,0,0.0,5.0,2.0,High,Low
ACC0000415,0,0.0,4.0,7.0,Medium,High
ACC0000416,0,0.0,3.0,4.0,Medium,Medium
ACC0000417,1,180562.62,3.0,6.0,Medium,High
ACC0000418,0,0.0,4.0,3.0,Medium,Medium
ACC0000419,1,135077.92,0.0,3.0,Low,Medium
ACC0000420,0,0.0,2.0,6.0,Low,High
ACC0000421,0,0.0,2.0,4.0,Low,Medium
ACC0000422,1,46250.78,4.0,3.0,Medium,Medium
ACC0000423,1,62800.76,1.0,6.0,Low,High
ACC0000424,1,60438.34,1.0,2.0,Low,Low
ACC0000425,1,33030.49,4.0,6.0,Medium,High
ACC0000426,0,0.0,3.0,7.0,Medium,High
ACC0000427,0,0.0,6.0,9.0,High,High
ACC0000428,0,0.0,4.0,4.0,Medium,Medium
ACC0000429,1,29228.89,1.0,4.0,Low,Medium
ACC0000430,0,0.0,1.0,4.0,Low,Medium
ACC0000431,0,0.0,2.0,3.0,Low,Medium
ACC0000432,1,130465.26,3.0,5.0,Medium,Medium
ACC0000433,0,0.0,4.0,7.0,Medium,High
ACC0000434,0,0.0,1.0,5.0,Low,Medium
ACC0000435,0,0.0,2.0,1.0,Low,Low
ACC0000436,0,0.0,2.0,4.0,Low,Medium
ACC0000437,0,0.0,7.0,7.0,High,High
ACC0000438,1,131622.02000000002,8.0,2.0,High,Low
ACC0000439,0,0.0,7.0,5.0,High,Medium
ACC0000440,1,99589.75,5.0,5.0,High,Medium
ACC0000441,0,0.0,6.0,5.0,High,Medium
ACC0000442,0,0.0,2.0,7.0,Low,High
ACC0000443,1,140820.34,5.0,7.0,High,High
ACC0000444,0,0.0,1.0,4.0,Low,Medium
ACC0000445,1,284946.63,5.0,3.0,High,Medium
ACC0000446,0,0.0,3.0,8.0,Medium,High
ACC0000447,1,34684.12,6.0,5.0,High,Medium
ACC0000448,0,0.0,2.0,4.0,Low,Medium
ACC0000449,0,0.0,2.0,5.0,Low,Medium
ACC0000450,1,25096.25,1.0,7.0,Low,High
ACC0000451,0,0.0,4.0,4.0,Medium,Medium
ACC0000452,0,0.0,3.0,4.0,Medium,Medium
ACC0000453,0,0.0,3.0,1.0,Medium,Low
ACC0000454,1,141259.28,8.0,6.0,High,High
ACC0000455,0,0.0,4.0,3.0,Medium,Medium
ACC0000456,0,0.0,5.0,3.0,High,Medium
ACC0000457,1,16173.35,3.0,6.0,Medium,High
ACC0000458,0,0.0,3.0,1.0,Medium,Low
ACC0000459,1,57048.26,0.0,8.0,Low,High
ACC0000460,0,0.0,3.0,3.0,Medium,Medium
ACC0000461,1,91591.17,2.0,3.0,Low,Medium
ACC0000462,1,9958.25,3.0,5.0,Medium,Medium
ACC0000463,1,57992.85,2.0,6.0,Low,High
ACC0000464,0,0.0,3.0,4.0,Medium,Medium
ACC0000465,0,0.0,4.0,2.0,Medium,Low
ACC0000466,0,0.0,2.0,2.0,Low,Low
ACC0000467,1,95619.65,5.0,2.0,High,Low
ACC0000468,1,111118.26,1.0,6.0,Low,High
ACC0000469,1,133345.72,4.0,5.0,Medium,Medium
ACC0000470,1,145040.04,0.0,3.0,Low,Medium
ACC0000471,0,0.0,1.0,2.0,Low,Low
ACC0000472,0,0.0,6.0,5.0,High,Medium
ACC0000473,0,0.0,4.0,4.0,Medium,Medium
ACC0000474,1,168521.49,6.0,4.0,High,Medium
ACC0000475,0,0.0,4.0,4.0,Medium,Medium
ACC0000476,0,0.0,1.0,3.0,Low,Medium
ACC0000477,0,0.0,6.0,3.0,High,Medium
ACC0000478,0,0.0,1.0,7.0,Low,High
ACC0000479,0,0.0,3.0,5.0,Medium,Medium
ACC0000480,0,0.0,2.0,4.0,Low,Medium
ACC0000481,0,0.0,2.0,2.0,Low,Low
ACC0000482,0,0.0,4.0,3.0,Medium,Medium
ACC0000483,0,0.0,1.0,3.0,Low,Medium
ACC0000484,1,120382.14,4.0,4.0,Medium,Medium
ACC0000485,1,79702.81,1.0,5.0,Low,Medium
ACC0000486,1,135219.39,1.0,3.0,Low,Medium
ACC0000487,0,0.0,3.0,5.0,Medium,Medium
ACC0000488,0,0.0,0.0,2.0,Low,Low
ACC0000489,0,0.0,3.0,6.0,Medium,High
ACC0000490,1,102548.82,5.0,4.0,High,Medium
ACC0000491,0,0.0,3.0,4.0,Medium,Medium
ACC0000492,1,122147.89,2.0,4.0,Low,Medium
ACC0000493,0,0.0,3.0,6.0,Medium,High
ACC0000494,1,16237.27,4.0,1.0,Medium,Low
ACC0000495,0,0.0,2.0,9.0,Low,High
ACC0000496,0,0.0,1.0,8.0,Low,High
