payment_id,account_id,event_at_parsed,amount,payment_status,call_id,call_event_at,agent_id,campaign_id,vendor_id,call_status,hours_since_prior_call
PAYMENT0008923,ACC0022994,2026-01-01 21:41:49,44511.78,SUCCESS,,,,,,,
PAYMENT0014584,ACC0004000,2026-01-01 22:07:59,70502.1,SUCCESS,,,,,,,
PAYMENT0000521,ACC0022601,2026-01-01 22:38:43,106284.61,SUCCESS,,,,,,,
PAYMENT0019320,ACC0008040,2026-01-01 22:46:49,149775.96,SUCCESS,,,,,,,
PAYMENT0000901,ACC0020644,2026-01-01 22:49:03,76608.61,SUCCESS,,,,,,,
PAYMENT0015518,ACC0026001,2026-01-01 23:13:27,45156.64,PENDING,,,,,,,
PAYMENT0003006,ACC0015546,2026-01-01 23:18:11,121985.86,FAILED,,,,,,,
PAYMENT0024659,ACC0011340,2026-01-01 23:18:50,144100.35,SUCCESS,,,,,,,
PAYMENT0018634,ACC0005826,2026-01-01 23:32:25,30418.55,SUCCESS,,,,,,,
PAYMENT0019534,ACC0014793,2026-01-01 23:38:35,72071.56,SUCCESS,,,,,,,
PAYMENT0020526,ACC0008936,2026-01-01 23:45:18,99325.2,FAILED,,,,,,,
PAYMENT0013634,ACC0012540,2026-01-02 00:03:14,121080.87,SUCCESS,,,,,,,
PAYMENT0010158,ACC0006384,2026-01-02 00:32:23,42260.78,SUCCESS,,,,,,,
PAYMENT0018811,ACC0027297,2026-01-02 00:48:07,123915.33,SUCCESS,,,,,,,
PAYMENT0009853,ACC0026010,2026-01-02 00:56:25,70128.43,SUCCESS,,,,,,,
PAYMENT0012751,ACC0026610,2026-01-02 01:19:14,63703.03,SUCCESS,,,,,,,
PAYMENT0008466,ACC0014618,2026-01-02 01:20:41,144904.1,PENDING,,,,,,,
PAYMENT0003621,ACC0006545,2026-01-02 02:22:13,80334.93,SUCCESS,,,,,,,
PAYMENT0013242,ACC0001064,2026-01-02 02:30:32,105429.77,SUCCESS,,,,,,,
PAYMENT0018383,ACC0018592,2026-01-02 02:34:22,73373.09,SUCCESS,,,,,,,
PAYMENT0022150,ACC0012168,2026-01-02 02:34:46,12041.56,SUCCESS,,,,,,,
PAYMENT0015971,ACC0029487,2026-01-02 02:42:12,118288.16,SUCCESS,,,,,,,
PAYMENT0006082,ACC0012531,2026-01-02 02:44:36,23954.4,PENDING,,,,,,,
PAYMENT0008324,ACC0016043,2026-01-02 03:08:45,36022.29,SUCCESS,,,,,,,
PAYMENT0007281,ACC0003049,2026-01-02 03:18:07,45575.75,SUCCESS,,,,,,,
PAYMENT0011927,ACC0015525,2026-01-02 03:25:30,110320.47,SUCCESS,,,,,,,
PAYMENT0009991,ACC0015716,2026-01-02 03:36:00,141290.34,SUCCESS,,,,,,,
PAYMENT0021705,ACC0017568,2026-01-02 03:37:41,40289.55,PENDING,,,,,,,
PAYMENT0002263,ACC0023757,2026-01-02 03:51:36,26178.37,PENDING,,,,,,,
PAYMENT0000175,ACC0010258,2026-01-02 04:13:39,112476.01,SUCCESS,,,,,,,
PAYMENT0008337,ACC0018422,2026-01-02 04:27:24,46766.62,FAILED,,,,,,,
PAYMENT0000964,ACC0002560,2026-01-02 04:34:38,69794.43,SUCCESS,,,,,,,
PAYMENT0009731,ACC0024868,2026-01-02 04:56:51,2175.21,SUCCESS,,,,,,,
PAYMENT0007469,ACC0029820,2026-01-02 04:58:09,32707.16,SUCCESS,,,,,,,
PAYMENT0005848,ACC0028872,2026-01-02 05:04:07,35176.18,SUCCESS,,,,,,,
PAYMENT0008957,ACC0012859,2026-01-02 05:14:42,131174.05,FAILED,,,,,,,
PAYMENT0015551,ACC0015186,2026-01-02 05:15:01,108080.9,SUCCESS,,,,,,,
PAYMENT0005950,ACC0015876,2026-01-02 05:19:06,51178.47,SUCCESS,,,,,,,
PAYMENT0016112,ACC0019780,2026-01-02 05:21:25,111785.85,SUCCESS,,,,,,,
PAYMENT0022608,ACC0011769,2026-01-02 05:40:54,16158.5,SUCCESS,,,,,,,
PAYMENT0002882,ACC0027880,2026-01-02 05:43:59,45612.71,SUCCESS,,,,,,,
PAYMENT0019362,ACC0024625,2026-01-02 05:47:27,77600.28,FAILED,,,,,,,
PAYMENT0000924,ACC0001038,2026-01-02 06:09:06,2295.13,FAILED,,,,,,,
PAYMENT0011448,ACC0013177,2026-01-02 06:21:32,54405.2,SUCCESS,,,,,,,
PAYMENT0012553,ACC0016620,2026-01-02 07:04:10,17752.04,FAILED,,,,,,,
PAYMENT0014732,ACC0015439,2026-01-02 07:14:03,73470.48,SUCCESS,,,,,,,
PAYMENT0023743,ACC0001293,2026-01-02 07:23:45,145114.08,SUCCESS,,,,,,,
PAYMENT0006665,ACC0027551,2026-01-02 07:28:11,24041.31,REVERSED,,,,,,,
PAYMENT0001480,ACC0007370,2026-01-02 07:41:13,147158.67,SUCCESS,,,,,,,
PAYMENT0021038,ACC0023943,2026-01-02 07:41:37,82748.63,SUCCESS,,,,,,,
PAYMENT0021059,ACC0029580,2026-01-02 07:58:35,46302.13,SUCCESS,,,,,,,
PAYMENT0003365,ACC0026543,2026-01-02 08:40:55,133173.06,SUCCESS,,,,,,,
PAYMENT0010647,ACC0006570,2026-01-02 08:42:23,142229.97,SUCCESS,,,,,,,
PAYMENT0002926,ACC0014847,2026-01-02 08:42:35,30760.52,REVERSED,,,,,,,
PAYMENT0023232,ACC0005435,2026-01-02 08:55:29,134166.66,SUCCESS,,,,,,,
PAYMENT0009902,ACC0008087,2026-01-02 09:15:39,26111.1,SUCCESS,,,,,,,
PAYMENT0023131,ACC0000590,2026-01-02 09:19:00,6425.95,SUCCESS,,,,,,,
PAYMENT0013794,ACC0009973,2026-01-02 09:20:19,41024.99,SUCCESS,,,,,,,
PAYMENT0010498,ACC0011710,2026-01-02 09:23:33,106821.52,SUCCESS,,,,,,,
PAYMENT0003653,ACC0010013,2026-01-02 09:53:08,54928.67,SUCCESS,,,,,,,
PAYMENT0023296,ACC0004469,2026-01-02 10:12:05,66823.68,SUCCESS,,,,,,,
PAYMENT0019697,ACC0012605,2026-01-02 10:13:09,74910.69,PENDING,,,,,,,
PAYMENT0013760,ACC0025525,2026-01-02 10:17:30,90012.96,SUCCESS,,,,,,,
PAYMENT0021376,ACC0004891,2026-01-02 10:31:12,109965.63,SUCCESS,,,,,,,
PAYMENT0008983,ACC0027765,2026-01-02 10:42:54,102727.85,FAILED,,,,,,,
PAYMENT0008983,ACC0027765,2026-01-02 10:42:54,102727.85,FAILED,,,,,,,
PAYMENT0000596,ACC0006229,2026-01-02 10:50:22,135430.39,PENDING,,,,,,,
PAYMENT0001108,ACC0005040,2026-01-02 11:28:53,149416.86,FAILED,,,,,,,
PAYMENT0001766,ACC0015065,2026-01-02 11:42:07,79133.85,SUCCESS,,,,,,,
PAYMENT0022352,ACC0000708,2026-01-02 11:56:59,119365.23,FAILED,,,,,,,
PAYMENT0001689,ACC0027528,2026-01-02 12:00:50,8640.81,FAILED,,,,,,,
PAYMENT0000510,ACC0014434,2026-01-02 12:21:49,127662.72,SUCCESS,,,,,,,
PAYMENT0009506,ACC0013469,2026-01-02 12:27:43,51030.34,PENDING,,,,,,,
PAYMENT0018100,ACC0000892,2026-01-02 12:51:48,63290.96,SUCCESS,,,,,,,
PAYMENT0005304,ACC0018503,2026-01-02 12:53:22,122226.1,SUCCESS,,,,,,,
PAYMENT0022947,ACC0001508,2026-01-02 13:01:11,121980.04,SUCCESS,,,,,,,
PAYMENT0013319,ACC0006962,2026-01-02 13:11:29,119925.7,REVERSED,,,,,,,
PAYMENT0017842,ACC0008747,2026-01-02 13:18:14,63090.61,SUCCESS,,,,,,,
PAYMENT0000614,ACC0026142,2026-01-02 13:19:45,49066.19,SUCCESS,,,,,,,
PAYMENT0011461,ACC0023114,2026-01-02 13:31:55,53215.01,SUCCESS,,,,,,,
PAYMENT0019477,ACC0003045,2026-01-02 13:40:26,98554.38,SUCCESS,,,,,,,
PAYMENT0020301,ACC0008742,2026-01-02 13:47:19,7599.9,FAILED,,,,,,,
PAYMENT0015342,ACC0028198,2026-01-02 13:52:44,118416.66,SUCCESS,,,,,,,
PAYMENT0010884,ACC0026455,2026-01-02 14:31:59,121084.36,SUCCESS,,,,,,,
PAYMENT0022913,ACC0025320,2026-01-02 14:34:45,125333.52,SUCCESS,,,,,,,
PAYMENT0020052,ACC0009962,2026-01-02 14:38:06,46552.81,SUCCESS,,,,,,,
PAYMENT0002336,ACC0014941,2026-01-02 14:56:36,8823.33,SUCCESS,,,,,,,
PAYMENT0017639,ACC0019285,2026-01-02 15:12:33,36079.39,SUCCESS,,,,,,,
PAYMENT0015280,ACC0006770,2026-01-02 15:31:36,32597.33,SUCCESS,,,,,,,
PAYMENT0019829,ACC0008365,2026-01-02 15:37:42,563.8,SUCCESS,,,,,,,
PAYMENT0010216,ACC0022569,2026-01-02 15:45:26,141452.14,SUCCESS,,,,,,,
PAYMENT0010400,ACC0027375,2026-01-02 15:59:21,110541.75,SUCCESS,,,,,,,
PAYMENT0015074,ACC0015224,2026-01-02 16:12:51,115555.44,SUCCESS,,,,,,,
PAYMENT0021260,ACC0013747,2026-01-02 16:32:52,34090.99,SUCCESS,,,,,,,
PAYMENT0014804,ACC0008919,2026-01-02 16:33:44,10318.23,SUCCESS,,,,,,,
PAYMENT0020531,ACC0028684,2026-01-02 16:37:43,51939.89,FAILED,,,,,,,
PAYMENT0003786,ACC0006168,2026-01-02 16:39:46,47014.13,SUCCESS,,,,,,,
PAYMENT0007234,ACC0007675,2026-01-02 16:53:15,18950.15,FAILED,,,,,,,
PAYMENT0013169,ACC0024709,2026-01-02 16:59:28,86111.92,SUCCESS,,,,,,,
PAYMENT0003048,ACC0028223,2026-01-02 17:05:34,122259.08,SUCCESS,,,,,,,
PAYMENT0002305,ACC0003556,2026-01-02 17:11:24,105149.82,FAILED,,,,,,,
PAYMENT0005427,ACC0012091,2026-01-02 17:14:40,99772.51,FAILED,,,,,,,
PAYMENT0022315,ACC0006069,2026-01-02 17:25:36,60225.8,SUCCESS,,,,,,,
PAYMENT0001952,ACC0014535,2026-01-02 17:29:41,133856.31,SUCCESS,,,,,,,
PAYMENT0004249,ACC0025736,2026-01-02 17:48:45,91194.22,SUCCESS,,,,,,,
PAYMENT0003970,ACC0005927,2026-01-02 17:53:30,79730.85,SUCCESS,,,,,,,
PAYMENT0012276,ACC0020237,2026-01-02 18:07:36,115963.08,SUCCESS,,,,,,,
PAYMENT0011021,ACC0026314,2026-01-02 18:10:43,47868.03,SUCCESS,,,,,,,
PAYMENT0020291,ACC0018368,2026-01-02 18:50:04,55574.52,SUCCESS,,,,,,,
PAYMENT0004432,ACC0010952,2026-01-02 18:50:47,57959.29,SUCCESS,,,,,,,
PAYMENT0021751,ACC0003910,2026-01-02 19:25:36,67892.75,PENDING,,,,,,,
PAYMENT0015269,ACC0028750,2026-01-02 19:33:21,80096.7,SUCCESS,,,,,,,
PAYMENT0023636,ACC0019169,2026-01-02 20:28:11,125528.57,SUCCESS,,,,,,,
PAYMENT0017255,ACC0005342,2026-01-02 20:41:27,33602.34,FAILED,,,,,,,
PAYMENT0018821,ACC0004190,2026-01-02 20:45:03,101976.06,SUCCESS,,,,,,,
PAYMENT0001358,ACC0009399,2026-01-02 21:07:36,129643.56,SUCCESS,,,,,,,
PAYMENT0020742,ACC0016656,2026-01-02 21:15:49,108578.26,SUCCESS,,,,,,,
PAYMENT0001818,ACC0005952,2026-01-02 21:23:51,3871.33,SUCCESS,,,,,,,
PAYMENT0014564,ACC0021521,2026-01-02 21:46:51,143141.22,SUCCESS,,,,,,,
PAYMENT0018565,ACC0028141,2026-01-02 21:49:20,36707.51,PENDING,,,,,,,
PAYMENT0022903,ACC0017563,2026-01-02 21:52:01,73109.57,SUCCESS,,,,,,,
PAYMENT0011771,ACC0022408,2026-01-02 22:25:15,83650.11,SUCCESS,,,,,,,
PAYMENT0008740,ACC0023602,2026-01-02 22:35:54,50848.49,SUCCESS,,,,,,,
PAYMENT0000620,ACC0029301,2026-01-02 22:46:02,53188.57,SUCCESS,,,,,,,
PAYMENT0019451,ACC0001433,2026-01-02 22:52:29,128044.89,SUCCESS,,,,,,,
PAYMENT0022813,ACC0024860,2026-01-02 22:52:56,45834.16,SUCCESS,,,,,,,
PAYMENT0019574,ACC0012513,2026-01-02 23:09:39,506.68,SUCCESS,,,,,,,
PAYMENT0020829,ACC0012959,2026-01-02 23:33:17,106809.02,SUCCESS,,,,,,,
PAYMENT0020106,ACC0017282,2026-01-02 23:53:20,124736.04,SUCCESS,,,,,,,
PAYMENT0015883,ACC0008768,2026-01-03 00:20:09,149407.71,SUCCESS,,,,,,,
PAYMENT0015883,ACC0008768,2026-01-03 00:20:09,149407.71,SUCCESS,,,,,,,
PAYMENT0001045,ACC0012170,2026-01-03 00:24:09,149766.02,SUCCESS,,,,,,,
PAYMENT0004369,ACC0015572,2026-01-03 00:31:39,9281.85,SUCCESS,,,,,,,
PAYMENT0003622,ACC0028631,2026-01-03 00:35:45,129121.76,SUCCESS,,,,,,,
PAYMENT0002366,ACC0021032,2026-01-03 00:51:50,21234.63,SUCCESS,,,,,,,
PAYMENT0005033,ACC0009507,2026-01-03 00:59:29,73857.34,FAILED,,,,,,,
PAYMENT0005033,ACC0009507,2026-01-03 00:59:29,73857.34,FAILED,,,,,,,
PAYMENT0000424,ACC0014875,2026-01-03 01:09:21,35440.54,PENDING,,,,,,,
PAYMENT0009045,ACC0007773,2026-01-03 01:15:26,65159.89,REVERSED,,,,,,,
PAYMENT0004063,ACC0029831,2026-01-03 01:31:44,71950.96,SUCCESS,,,,,,,
PAYMENT0016424,ACC0026728,2026-01-03 01:41:56,111221.21,SUCCESS,,,,,,,
PAYMENT0008998,ACC0019147,2026-01-03 01:55:42,125662.98,SUCCESS,,,,,,,
PAYMENT0001714,ACC0025848,2026-01-03 01:56:06,32876.35,FAILED,,,,,,,
PAYMENT0001623,ACC0027477,2026-01-03 01:58:09,12054.78,SUCCESS,,,,,,,
PAYMENT0002676,ACC0028723,2026-01-03 02:13:57,141998.21,PENDING,,,,,,,
PAYMENT0021891,ACC0026007,2026-01-03 02:28:26,75919.06,FAILED,,,,,,,
PAYMENT0016858,ACC0023266,2026-01-03 02:53:32,134963.44,PENDING,,,,,,,
PAYMENT0006275,ACC0027911,2026-01-03 03:15:49,24636.94,SUCCESS,,,,,,,
PAYMENT0013233,ACC0013450,2026-01-03 03:34:30,13734.06,FAILED,,,,,,,
PAYMENT0006582,ACC0028748,2026-01-03 03:51:10,19989.11,SUCCESS,,,,,,,
PAYMENT0007190,ACC0005975,2026-01-03 03:55:33,70398.4,SUCCESS,,,,,,,
PAYMENT0011255,ACC0004166,2026-01-03 04:10:47,1733.82,SUCCESS,,,,,,,
PAYMENT0005068,ACC0011091,2026-01-03 04:12:52,135129.09,REVERSED,,,,,,,
PAYMENT0011000,ACC0010866,2026-01-03 05:00:52,106630.75,FAILED,,,,,,,
PAYMENT0003563,ACC0026223,2026-01-03 05:40:37,68759.92,SUCCESS,,,,,,,
PAYMENT0006007,ACC0003093,2026-01-03 05:59:33,277.88,FAILED,,,,,,,
PAYMENT0006092,ACC0021217,2026-01-03 06:53:22,121873.94,SUCCESS,,,,,,,
PAYMENT0000564,ACC0024923,2026-01-03 07:06:13,136296.8,SUCCESS,,,,,,,
PAYMENT0017663,ACC0000548,2026-01-03 07:13:06,68986.9,SUCCESS,,,,,,,
PAYMENT0023674,ACC0002947,2026-01-03 07:13:26,54470.82,SUCCESS,,,,,,,
PAYMENT0018407,ACC0029933,2026-01-03 07:20:59,45338.85,SUCCESS,,,,,,,
PAYMENT0017767,ACC0009205,2026-01-03 07:30:11,146756.65,SUCCESS,,,,,,,
PAYMENT0022716,ACC0029551,2026-01-03 07:31:50,7440.49,SUCCESS,CALL0041735,2026-01-02 10:19:24,AGT0000812,CMP0000092,VND0000001,VOICEMAIL,21.20722222222222
PAYMENT0013686,ACC0017385,2026-01-03 07:38:28,81141.29,SUCCESS,,,,,,,
PAYMENT0002069,ACC0003823,2026-01-03 08:04:25,18407.52,SUCCESS,,,,,,,
PAYMENT0009935,ACC0015246,2026-01-03 08:11:44,146961.39,SUCCESS,,,,,,,
PAYMENT0007901,ACC0013781,2026-01-03 08:34:15,94805.57,SUCCESS,,,,,,,
PAYMENT0023746,ACC0006948,2026-01-03 08:58:54,499.81,SUCCESS,,,,,,,
PAYMENT0021887,ACC0028304,2026-01-03 09:08:36,46105.83,PENDING,,,,,,,
PAYMENT0007940,ACC0004987,2026-01-03 09:30:43,8969.43,SUCCESS,,,,,,,
PAYMENT0000413,ACC0023459,2026-01-03 09:53:08,97671.5,SUCCESS,,,,,,,
PAYMENT0007805,ACC0006975,2026-01-03 10:00:06,142673.22,SUCCESS,,,,,,,
PAYMENT0017616,ACC0026253,2026-01-03 10:02:22,65911.24,SUCCESS,,,,,,,
PAYMENT0006966,ACC0013994,2026-01-03 10:19:07,147563.81,FAILED,,,,,,,
PAYMENT0010140,ACC0020804,2026-01-03 10:20:26,139517.67,SUCCESS,,,,,,,
PAYMENT0003446,ACC0000980,2026-01-03 10:20:29,68474.05,PENDING,,,,,,,
PAYMENT0024051,ACC0029636,2026-01-03 10:33:38,140758.62,FAILED,,,,,,,
PAYMENT0024051,ACC0029636,2026-01-03 10:33:38,140758.62,FAILED,,,,,,,
PAYMENT0004418,ACC0026796,2026-01-03 10:44:00,102523.61,SUCCESS,,,,,,,
PAYMENT0004856,ACC0021266,2026-01-03 11:02:57,130783.72,SUCCESS,,,,,,,
PAYMENT0020282,ACC0026714,2026-01-03 11:05:23,127570.49,SUCCESS,,,,,,,
PAYMENT0022351,ACC0029204,2026-01-03 11:20:43,72913.73,REVERSED,,,,,,,
PAYMENT0017168,ACC0021107,2026-01-03 11:31:54,117238.71,SUCCESS,,,,,,,
PAYMENT0015763,ACC0008104,2026-01-03 11:35:54,8136.9,FAILED,,,,,,,
PAYMENT0000718,ACC0004827,2026-01-03 11:49:32,121719.79,SUCCESS,,,,,,,
