call_id,account_id,borrower_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,timezone,event_at_parsed,account_timezone,account_timezone_difference_flag
CALL0000046,ACC0008985,BRW0006195,2026-08-02 14:41:22,AGT0000578,CMP0000099,OUTBOUND,VND0000002,VOICEMAIL,263,Asia/Dubai,2026-08-02 14:41:22,Asia/Kolkata,True
CALL0000047,ACC0004659,BRW0004843,2026-03-31 09:36:09,AGT0000190,CMP0000014,OUTBOUND,VND0000007,FAILED,55,Asia/Kolkata,2026-03-31 09:36:09,UTC,True
CALL0000048,ACC0012134,BRW0005819,2026-02-07 04:04:49,AGT0000446,CMP0000072,OUTBOUND,VND0000004,ANSWERED,882,UTC,2026-02-07 04:04:49,Asia/Kolkata,True
CALL0000052,ACC0001834,BRW0007564,2026-04-07 14:27:38,AGT0000360,CMP0000020,OUTBOUND,VND0000012,NO_ANSWER,706,Asia/Kolkata,2026-04-07 14:27:38,Asia/Dubai,True
CALL0000054,ACC0029981,BRW0008565,2026-07-08 17:08:17,AGT0000755,CMP0000114,OUTBOUND,VND0000001,FAILED,582,Asia/Dubai,2026-07-08 17:08:17,Asia/Kolkata,True
CALL0000057,ACC0016026,BRW0007818,2026-04-11 19:47:42,AGT0000745,CMP0000074,INBOUND,VND0000009,NO_ANSWER,154,Asia/Dubai,2026-04-11 19:47:42,UTC,True
CALL0000058,ACC0019088,BRW0002874,2026-03-25 11:39:26,AGT0000127,CMP0000116,OUTBOUND,VND0000008,ANSWERED,867,UTC,2026-03-25 11:39:26,Asia/Dubai,True
CALL0000059,ACC0004837,BRW0001292,2026-08-06 11:12:55,AGT0000536,CMP0000111,INBOUND,VND0000007,FAILED,597,UTC,2026-08-06 11:12:55,Asia/Dubai,True
CALL0000060,ACC0023992,BRW0011158,2026-01-02 05:37:04,AGT0000942,CMP0000002,OUTBOUND,VND0000015,VOICEMAIL,416,UTC,2026-01-02 05:37:04,Asia/Dubai,True
CALL0000061,ACC0021451,BRW0005090,2026-03-19 23:25:59,AGT0000592,CMP0000076,OUTBOUND,VND0000015,VOICEMAIL,470,UTC,2026-03-19 23:25:59,Asia/Dubai,True
CALL0000062,ACC0011818,BRW0006455,2026-05-07 16:03:49,AGT0000539,CMP0000091,OUTBOUND,VND0000006,BUSY,131,Asia/Kolkata,2026-05-07 16:03:49,UTC,True
CALL0000063,ACC0014378,BRW0000898,2026-04-16 05:42:32,AGT0000121,CMP0000086,OUTBOUND,VND0000013,FAILED,221,Asia/Kolkata,2026-04-16 05:42:32,UTC,True
CALL0000064,ACC0022018,BRW0010734,2026-07-27 19:51:14,AGT0000325,CMP0000068,OUTBOUND,VND0000014,BUSY,841,Asia/Kolkata,2026-07-27 19:51:14,Asia/Dubai,True
CALL0000065,ACC0022731,BRW0003424,2026-04-11 10:42:48,AGT0000409,CMP0000052,OUTBOUND,VND0000011,ANSWERED,135,UTC,2026-04-11 10:42:48,Asia/Dubai,True
CALL0000066,ACC0017255,BRW0001633,2026-06-23 10:00:47,AGT0000350,CMP0000102,INBOUND,VND0000004,VOICEMAIL,374,Asia/Kolkata,2026-06-23 10:00:47,UTC,True
CALL0000067,ACC0001545,BRW0010088,2026-04-12 02:24:40,AGT0000495,CMP0000058,OUTBOUND,VND0000007,ANSWERED,153,UTC,2026-04-12 02:24:40,Asia/Dubai,True
CALL0000068,ACC0009096,BRW0004811,2026-05-30 09:33:56,AGT0000022,CMP0000056,OUTBOUND,VND0000011,ANSWERED,76,Asia/Kolkata,2026-05-30 09:33:56,UTC,True
CALL0000069,ACC0026901,BRW0006326,2026-06-25 12:47:19,AGT0000209,CMP0000092,OUTBOUND,VND0000002,VOICEMAIL,590,UTC,2026-06-25 12:47:19,Asia/Kolkata,True
CALL0000070,ACC0013337,BRW0002556,2026-04-07 17:35:41,AGT0000730,CMP0000061,OUTBOUND,VND0000006,VOICEMAIL,304,UTC,2026-04-07 17:35:41,Asia/Kolkata,True
CALL0000071,ACC0027600,BRW0000723,2026-06-19 15:06:39,AGT0000638,CMP0000119,OUTBOUND,VND0000001,BUSY,88,Asia/Kolkata,2026-06-19 15:06:39,UTC,True
CALL0000072,ACC0026297,BRW0007223,2026-04-12 16:38:52,,CMP0000072,OUTBOUND,VND0000007,VOICEMAIL,596,UTC,2026-04-12 16:38:52,Asia/Kolkata,True
CALL0000073,ACC0029802,BRW0011081,2026-04-08 05:17:48,AGT0000783,CMP0000070,OUTBOUND,VND0000004,NO_ANSWER,452,Asia/Kolkata,2026-04-08 05:17:48,Asia/Dubai,True
CALL0000074,ACC0008452,BRW0001324,2026-02-21 10:27:09,AGT0000738,CMP0000101,OUTBOUND,VND0000015,BUSY,640,Asia/Kolkata,2026-02-21 10:27:09,UTC,True
CALL0000075,ACC0007294,BRW0001466,2026-07-21 05:41:21,AGT0000861,CMP0000013,OUTBOUND,VND0000009,NO_ANSWER,81,UTC,2026-07-21 05:41:21,Asia/Dubai,True
CALL0000076,ACC0015141,BRW0006535,2026-04-23 15:42:33,AGT0000466,CMP0000050,OUTBOUND,VND0000012,ANSWERED,200,UTC,2026-04-23 15:42:33,Asia/Kolkata,True
CALL0000079,ACC0028965,BRW0003447,2026-02-05 15:07:45,AGT0000863,CMP0000114,OUTBOUND,VND0000003,FAILED,298,Asia/Dubai,2026-02-05 15:07:45,UTC,True
CALL0000080,ACC0023938,BRW0003342,2026-06-08 16:13:05,AGT0000482,CMP0000045,OUTBOUND,VND0000014,ANSWERED,582,Asia/Kolkata,2026-06-08 16:13:05,Asia/Dubai,True
CALL0000081,ACC0027868,BRW0004075,2026-07-04 12:19:21,AGT0000874,CMP0000073,OUTBOUND,VND0000001,VOICEMAIL,269,Asia/Dubai,2026-07-04 12:19:21,Asia/Kolkata,True
CALL0000083,ACC0002244,BRW0001722,2026-05-28 16:43:53,AGT0000336,CMP0000022,INBOUND,VND0000003,VOICEMAIL,271,UTC,2026-05-28 16:43:53,Asia/Dubai,True
CALL0000084,ACC0017709,BRW0006002,2026-03-15 08:14:35,AGT0000148,CMP0000019,OUTBOUND,VND0000007,VOICEMAIL,264,Asia/Kolkata,2026-03-15 08:14:35,UTC,True
CALL0000086,ACC0007081,BRW0005551,2026-02-17 04:13:05,AGT0000239,CMP0000012,OUTBOUND,VND0000011,BUSY,68,Asia/Dubai,2026-02-17 04:13:05,Asia/Kolkata,True
CALL0000087,ACC0017903,BRW0003538,2026-07-30 00:43:56,AGT0000145,CMP0000087,OUTBOUND,VND0000005,VOICEMAIL,602,UTC,2026-07-30 00:43:56,Asia/Dubai,True
CALL0000088,ACC0004304,BRW0009713,2026-06-16 03:06:13,AGT0000248,CMP0000006,OUTBOUND,VND0000004,VOICEMAIL,752,Asia/Kolkata,2026-06-16 03:06:13,Asia/Dubai,True
CALL0000089,ACC0014855,BRW0007271,2026-03-05 02:12:42,AGT0000388,CMP0000044,OUTBOUND,VND0000002,ANSWERED,663,Asia/Kolkata,2026-03-05 02:12:42,UTC,True
CALL0000090,ACC0012222,BRW0009268,2026-07-22 04:46:37,AGT0000342,CMP0000081,OUTBOUND,VND0000008,ANSWERED,314,Asia/Dubai,2026-07-22 04:46:37,UTC,True
CALL0000092,ACC0015505,BRW0011654,2026-05-18 16:41:34,AGT0000997,CMP0000052,OUTBOUND,VND0000004,VOICEMAIL,579,UTC,2026-05-18 16:41:34,Asia/Dubai,True
CALL0000094,ACC0026373,BRW0003722,2026-01-13 04:27:05,AGT0000435,CMP0000003,OUTBOUND,VND0000006,VOICEMAIL,138,Asia/Dubai,2026-01-13 04:27:05,UTC,True
CALL0000097,ACC0022138,BRW0003543,2026-01-26 15:40:38,AGT0000194,CMP0000114,OUTBOUND,VND0000011,VOICEMAIL,705,Asia/Dubai,2026-01-26 15:40:38,UTC,True
CALL0000098,ACC0008965,BRW0010214,2026-05-21 02:31:30,AGT0000749,CMP0000036,INBOUND,VND0000011,NO_ANSWER,490,Asia/Dubai,2026-05-21 02:31:30,Asia/Kolkata,True
CALL0000099,ACC0019918,BRW0007698,2026-07-23 01:40:59,AGT0000190,CMP0000049,OUTBOUND,VND0000014,ANSWERED,154,UTC,2026-07-23 01:40:59,Asia/Dubai,True
CALL0000101,ACC0028601,BRW0005367,2026-02-26 14:09:01,AGT0000197,CMP0000022,OUTBOUND,VND0000002,VOICEMAIL,272,Asia/Kolkata,2026-02-26 14:09:01,UTC,True
CALL0000103,ACC0025645,BRW0011706,2026-01-24 22:24:27,AGT0000645,CMP0000096,OUTBOUND,VND0000008,FAILED,93,Asia/Dubai,2026-01-24 22:24:27,UTC,True
CALL0000104,ACC0021095,BRW0011020,2026-07-10 11:04:22,AGT0001000,CMP0000086,OUTBOUND,VND0000015,FAILED,693,UTC,2026-07-10 11:04:22,Asia/Dubai,True
CALL0000105,ACC0024104,BRW0005619,2026-01-28 22:45:15,AGT0000414,CMP0000113,OUTBOUND,VND0000006,VOICEMAIL,269,Asia/Kolkata,2026-01-28 22:45:15,UTC,True
CALL0000106,ACC0016187,BRW0010402,2026-01-08 12:48:00,AGT0000575,CMP0000011,INBOUND,VND0000003,NO_ANSWER,897,UTC,2026-01-08 12:48:00,Asia/Dubai,True
CALL0000107,ACC0020593,BRW0004225,2026-07-15 18:50:58,AGT0000498,CMP0000110,OUTBOUND,VND0000011,BUSY,770,Asia/Dubai,2026-07-15 18:50:58,UTC,True
CALL0000109,ACC0027232,BRW0005625,2026-01-15 23:31:44,AGT0000902,CMP0000073,OUTBOUND,VND0000006,NO_ANSWER,871,Asia/Dubai,2026-01-15 23:31:44,UTC,True
CALL0000110,ACC0027992,BRW0000403,2026-03-31 14:51:23,AGT0000089,CMP0000105,OUTBOUND,VND0000005,FAILED,661,Asia/Kolkata,2026-03-31 14:51:23,UTC,True
CALL0000111,ACC0024194,BRW0010552,2026-08-05 19:54:22,AGT0000383,CMP0000115,OUTBOUND,VND0000015,VOICEMAIL,650,Asia/Kolkata,2026-08-05 19:54:22,Asia/Dubai,True
CALL0000115,ACC0028701,BRW0005771,2026-06-16 10:01:54,AGT0000017,CMP0000044,INBOUND,VND0000008,NO_ANSWER,548,Asia/Dubai,2026-06-16 10:01:54,Asia/Kolkata,True
CALL0000116,ACC0022808,BRW0000094,2026-01-05 15:15:46,AGT0000100,CMP0000052,OUTBOUND,VND0000009,ANSWERED,722,Asia/Dubai,2026-01-05 15:15:46,UTC,True
CALL0000118,ACC0011681,BRW0009786,2026-05-21 20:50:25,AGT0000244,CMP0000058,OUTBOUND,VND0000012,FAILED,698,Asia/Dubai,2026-05-21 20:50:25,UTC,True
CALL0000119,ACC0016694,BRW0007169,2026-01-14 19:16:34,AGT0000629,CMP0000046,OUTBOUND,VND0000014,VOICEMAIL,389,UTC,2026-01-14 19:16:34,Asia/Kolkata,True
CALL0000120,ACC0006299,BRW0006815,2026-02-16 17:08:55,AGT0000851,CMP0000067,INBOUND,VND0000015,FAILED,238,UTC,2026-02-16 17:08:55,Asia/Kolkata,True
CALL0000123,ACC0028160,BRW0001291,2026-06-30 17:35:19,AGT0000831,CMP0000008,OUTBOUND,VND0000008,NO_ANSWER,712,Asia/Dubai,2026-06-30 17:35:19,UTC,True
CALL0000124,ACC0024171,BRW0000057,2026-03-19 05:39:18,AGT0000415,CMP0000069,OUTBOUND,VND0000012,FAILED,366,Asia/Kolkata,2026-03-19 05:39:18,UTC,True
CALL0000130,ACC0026343,BRW0008792,2026-02-03 04:16:40,AGT0000350,CMP0000120,OUTBOUND,VND0000004,FAILED,381,Asia/Dubai,2026-02-03 04:16:40,UTC,True
CALL0000131,ACC0005847,BRW0001907,2026-06-06 11:15:27,AGT0000026,CMP0000070,OUTBOUND,VND0000013,VOICEMAIL,462,UTC,2026-06-06 11:15:27,Asia/Dubai,True
CALL0000132,ACC0026296,BRW0010767,2026-03-21 17:22:41,AGT0000453,CMP0000020,OUTBOUND,VND0000009,BUSY,657,Asia/Kolkata,2026-03-21 17:22:41,Asia/Dubai,True
CALL0000133,ACC0013058,BRW0010930,2026-02-21 06:01:43,AGT0000810,CMP0000119,OUTBOUND,VND0000006,BUSY,90,Asia/Dubai,2026-02-21 06:01:43,Asia/Kolkata,True
CALL0000134,ACC0025538,BRW0004528,2026-04-20 19:42:33,AGT0000294,CMP0000104,OUTBOUND,VND0000004,NO_ANSWER,874,Asia/Kolkata,2026-04-20 19:42:33,Asia/Dubai,True
CALL0000138,ACC0026850,BRW0005336,2026-05-03 18:05:16,AGT0000669,CMP0000015,OUTBOUND,VND0000008,FAILED,376,Asia/Dubai,2026-05-03 18:05:16,UTC,True
CALL0000139,ACC0013737,BRW0006167,2026-04-16 01:56:57,AGT0000024,CMP0000104,OUTBOUND,VND0000005,VOICEMAIL,843,UTC,2026-04-16 01:56:57,Asia/Dubai,True
CALL0000140,ACC0008294,BRW0010487,2026-01-24 14:35:13,AGT0000064,CMP0000107,OUTBOUND,VND0000009,VOICEMAIL,332,Asia/Kolkata,2026-01-24 14:35:13,Asia/Dubai,True
CALL0000141,ACC0003280,BRW0000631,2026-03-28 15:37:12,AGT0000195,CMP0000042,OUTBOUND,VND0000003,NO_ANSWER,483,UTC,2026-03-28 15:37:12,Asia/Dubai,True
CALL0000142,ACC0004747,BRW0007479,2026-07-13 01:27:36,AGT0000459,CMP0000060,OUTBOUND,VND0000002,VOICEMAIL,629,Asia/Kolkata,2026-07-13 01:27:36,UTC,True
CALL0000145,ACC0007382,BRW0011641,2026-04-22 09:09:56,AGT0000821,CMP0000066,OUTBOUND,VND0000002,BUSY,832,UTC,2026-04-22 09:09:56,Asia/Dubai,True
CALL0000146,ACC0015449,BRW0004775,2026-05-23 06:22:32,AGT0000706,CMP0000015,INBOUND,VND0000014,BUSY,431,Asia/Dubai,2026-05-23 06:22:32,UTC,True
CALL0000150,ACC0009182,BRW0005479,2026-04-22 08:03:51,AGT0000789,CMP0000111,OUTBOUND,VND0000011,ANSWERED,656,UTC,2026-04-22 08:03:51,Asia/Dubai,True
CALL0000151,ACC0012735,BRW0003575,2026-05-29 11:13:51,AGT0000671,CMP0000083,OUTBOUND,VND0000004,FAILED,745,UTC,2026-05-29 11:13:51,Asia/Kolkata,True
CALL0000152,ACC0018422,BRW0007170,2026-05-30 13:44:04,AGT0000080,CMP0000025,OUTBOUND,VND0000015,ANSWERED,689,UTC,2026-05-30 13:44:04,Asia/Dubai,True
CALL0000154,ACC0021756,BRW0004879,2026-02-25 19:08:19,AGT0000082,CMP0000050,INBOUND,VND0000008,FAILED,242,Asia/Kolkata,2026-02-25 19:08:19,Asia/Dubai,True
CALL0000156,ACC0026039,BRW0011553,2026-07-26 15:23:39,AGT0000755,CMP0000104,OUTBOUND,VND0000013,NO_ANSWER,544,UTC,2026-07-26 15:23:39,Asia/Dubai,True
CALL0000157,ACC0006861,BRW0008613,2026-02-07 21:32:43,AGT0000354,CMP0000014,OUTBOUND,VND0000004,NO_ANSWER,620,Asia/Dubai,2026-02-07 21:32:43,UTC,True
CALL0000158,ACC0006278,BRW0001123,2026-04-29 20:48:06,AGT0000213,CMP0000058,OUTBOUND,VND0000011,FAILED,886,Asia/Dubai,2026-04-29 20:48:06,UTC,True
CALL0000159,ACC0022834,BRW0006954,2026-02-12 18:42:17,AGT0000735,CMP0000080,OUTBOUND,VND0000003,VOICEMAIL,176,Asia/Dubai,2026-02-12 18:42:17,UTC,True
CALL0000162,ACC0021622,BRW0010683,2026-07-07 06:34:54,AGT0000862,CMP0000120,OUTBOUND,VND0000004,ANSWERED,682,UTC,2026-07-07 06:34:54,Asia/Kolkata,True
CALL0000163,ACC0029861,BRW0001407,2026-03-23 18:07:34,AGT0000729,CMP0000020,OUTBOUND,VND0000012,NO_ANSWER,376,Asia/Kolkata,2026-03-23 18:07:34,UTC,True
CALL0000164,ACC0024427,BRW0011279,2026-07-30 16:37:33,AGT0000936,CMP0000082,OUTBOUND,VND0000011,NO_ANSWER,791,Asia/Kolkata,2026-07-30 16:37:33,Asia/Dubai,True
CALL0000165,ACC0009144,BRW0007846,2026-04-10 09:29:09,AGT0000945,CMP0000032,OUTBOUND,VND0000009,ANSWERED,523,Asia/Dubai,2026-04-10 09:29:09,Asia/Kolkata,True
CALL0000166,ACC0029866,BRW0002550,2026-06-25 19:35:45,AGT0000735,CMP0000011,OUTBOUND,VND0000007,ANSWERED,653,UTC,2026-06-25 19:35:45,Asia/Kolkata,True
CALL0000168,ACC0018319,BRW0005991,2026-03-15 17:41:13,AGT0000796,CMP0000084,OUTBOUND,VND0000006,ANSWERED,678,UTC,2026-03-15 17:41:13,Asia/Dubai,True
CALL0000170,ACC0012611,BRW0003967,2026-01-19 13:34:43,AGT0000385,CMP0000078,OUTBOUND,VND0000001,BUSY,814,UTC,2026-01-19 13:34:43,Asia/Dubai,True
CALL0000171,ACC0005440,BRW0002327,2026-02-27 00:25:36,AGT0000643,CMP0000086,OUTBOUND,VND0000006,VOICEMAIL,607,UTC,2026-02-27 00:25:36,Asia/Kolkata,True
CALL0000172,ACC0004865,BRW0007988,2026-01-17 14:43:02,AGT0000272,CMP0000109,OUTBOUND,VND0000009,ANSWERED,440,Asia/Dubai,2026-01-17 14:43:02,UTC,True
CALL0000173,ACC0018376,BRW0001682,2026-07-09 09:54:00,AGT0000488,CMP0000100,OUTBOUND,VND0000013,FAILED,97,Asia/Kolkata,2026-07-09 09:54:00,UTC,True
CALL0000175,ACC0011120,BRW0000953,2026-06-09 13:29:35,AGT0000554,CMP0000078,INBOUND,VND0000011,FAILED,462,UTC,2026-06-09 13:29:35,Asia/Dubai,True
CALL0000176,ACC0005536,BRW0005061,2026-02-13 05:30:07,AGT0000540,CMP0000072,OUTBOUND,VND0000006,VOICEMAIL,231,UTC,2026-02-13 05:30:07,Asia/Dubai,True
CALL0000177,ACC0002132,BRW0007731,2026-05-27 10:48:07,AGT0000030,CMP0000012,OUTBOUND,VND0000008,FAILED,885,Asia/Dubai,2026-05-27 10:48:07,UTC,True
CALL0000178,ACC0019968,BRW0011997,2026-08-04 03:39:40,AGT0000380,CMP0000002,OUTBOUND,VND0000003,NO_ANSWER,16,UTC,2026-08-04 03:39:40,Asia/Dubai,True
CALL0000179,ACC0025860,BRW0002831,2026-06-28 23:48:30,AGT0000117,CMP0000079,OUTBOUND,VND0000014,ANSWERED,138,UTC,2026-06-28 23:48:30,Asia/Dubai,True
CALL0000180,ACC0003866,BRW0005464,2026-06-20 13:24:27,AGT0000425,CMP0000055,OUTBOUND,VND0000001,VOICEMAIL,310,UTC,2026-06-20 13:24:27,Asia/Dubai,True
CALL0000181,ACC0027971,BRW0002797,2026-05-27 04:35:43,,CMP0000003,OUTBOUND,VND0000002,VOICEMAIL,35,Asia/Kolkata,2026-05-27 04:35:43,Asia/Dubai,True
CALL0000182,ACC0005685,BRW0009126,2026-06-11 23:42:31,AGT0000280,CMP0000081,OUTBOUND,VND0000011,BUSY,436,Asia/Kolkata,2026-06-11 23:42:31,UTC,True
CALL0000184,ACC0007139,BRW0000120,2026-06-07 09:29:50,AGT0000299,CMP0000065,OUTBOUND,VND0000002,ANSWERED,59,Asia/Kolkata,2026-06-07 09:29:50,Asia/Dubai,True
CALL0000186,ACC0012773,BRW0002886,2026-06-02 07:10:39,AGT0000127,CMP0000015,OUTBOUND,VND0000014,FAILED,257,Asia/Dubai,2026-06-02 07:10:39,UTC,True
CALL0000189,ACC0028550,BRW0006034,2026-02-15 14:18:44,AGT0000380,CMP0000035,OUTBOUND,VND0000012,FAILED,568,Asia/Dubai,2026-02-15 14:18:44,Asia/Kolkata,True
CALL0000192,ACC0019289,BRW0000695,2026-04-14 07:52:11,AGT0000753,CMP0000035,OUTBOUND,VND0000004,ANSWERED,328,UTC,2026-04-14 07:52:11,Asia/Kolkata,True
CALL0000195,ACC0005916,BRW0000547,2026-02-04 05:44:37,AGT0000563,CMP0000012,OUTBOUND,VND0000002,VOICEMAIL,354,Asia/Dubai,2026-02-04 05:44:37,Asia/Kolkata,True
CALL0000197,ACC0001323,BRW0000116,2026-03-22 16:54:18,,CMP0000039,OUTBOUND,VND0000015,NO_ANSWER,352,Asia/Kolkata,2026-03-22 16:54:18,Asia/Dubai,True
CALL0000198,ACC0029575,BRW0006661,2026-06-03 20:38:29,AGT0000795,CMP0000083,OUTBOUND,VND0000001,ANSWERED,745,Asia/Kolkata,2026-06-03 20:38:29,Asia/Dubai,True
CALL0000200,ACC0019428,BRW0010200,2026-05-04 18:56:13,AGT0000801,CMP0000075,OUTBOUND,VND0000011,FAILED,283,UTC,2026-05-04 18:56:13,Asia/Dubai,True
CALL0000202,ACC0010657,BRW0006732,2026-07-21 04:15:52,AGT0000753,CMP0000007,OUTBOUND,VND0000012,FAILED,251,Asia/Dubai,2026-07-21 04:15:52,UTC,True
CALL0000203,ACC0026215,BRW0003913,2026-04-12 22:56:07,AGT0000832,CMP0000053,OUTBOUND,VND0000010,ANSWERED,609,UTC,2026-04-12 22:56:07,Asia/Dubai,True
CALL0000204,ACC0021761,BRW0000193,2026-07-24 18:16:55,AGT0000737,CMP0000011,OUTBOUND,VND0000009,BUSY,598,UTC,2026-07-24 18:16:55,Asia/Kolkata,True
CALL0000205,ACC0002782,BRW0005002,2026-06-15 05:49:54,AGT0000841,CMP0000057,OUTBOUND,VND0000012,NO_ANSWER,834,Asia/Dubai,2026-06-15 05:49:54,Asia/Kolkata,True
