campaign_id,campaign_name,channel,strategy_version,accounts,recovered_accounts,recovery_amount,recovery_rate
CMP0000055,BOUNCE,MIXED,v3,750,340,50959558.81,0.4533333333333333
CMP0000056,60DPD_INTENT,WHATSAPP,v1,731,318,43911332.15,0.43502051983584133
CMP0000057,30DPD_W1,MIXED,v3,743,319,48463954.75,0.42934051144010765
CMP0000058,BOUNCE,VOICE,legacy,777,345,50059261.61,0.444015444015444
CMP0000059,30DPD_W1,MIXED,legacy,743,321,45698749.78,0.43203230148048455
CMP0000060,30DPD_W1,SMS,v3,785,346,50654485.17,0.4407643312101911
CMP0000061,30DPD_W1,WHATSAPP,v3,753,328,47976745.7,0.4355909694555113
CMP0000062,NPA_RECOVERY,SMS,legacy,725,312,42016700.28,0.4303448275862069
CMP0000063,BOUNCE,WHATSAPP,v1,725,306,44551695.95,0.4220689655172414
CMP0000064,60DPD_INTENT,FIELD,v2,748,343,47374372.0,0.4585561497326203
CMP0000065,30DPD_W1,WHATSAPP,v3,764,327,45956487.61,0.4280104712041885
CMP0000066,60DPD_INTENT,WHATSAPP,v2,720,302,44749133.89,0.41944444444444445
CMP0000067,30DPD_W1,MIXED,v2,728,315,45763185.08,0.4326923076923077
CMP0000068,NPA_RECOVERY,VOICE,v1,736,317,45511928.85,0.43070652173913043
CMP0000069,BOUNCE,SMS,v3,725,325,44506516.89,0.4482758620689655
CMP0000070,60DPD_INTENT,WHATSAPP,v1,758,352,49503317.27,0.46437994722955145
CMP0000071,30DPD_W1,MIXED,v3,707,329,46988330.09,0.46534653465346537
CMP0000072,30DPD_W1,WHATSAPP,v2,777,359,52689729.82,0.462033462033462
CMP0000073,60DPD_INTENT,SMS,v2,712,327,47791282.71,0.4592696629213483
CMP0000074,BOUNCE,MIXED,legacy,735,337,49577782.28,0.45850340136054424
CMP0000075,30DPD_W1,WHATSAPP,v3,730,320,48066685.04,0.4383561643835616
CMP0000076,DIGITAL_FOLLOWUP,VOICE,v3,713,334,45194234.06,0.4684431977559607
CMP0000077,BOUNCE,FIELD,v1,714,309,44619329.93,0.4327731092436975
CMP0000078,60DPD_INTENT,SMS,v2,690,310,44485811.44,0.4492753623188406
CMP0000079,NPA_RECOVERY,MIXED,legacy,793,351,51102599.94,0.4426229508196721
CMP0000080,NPA_RECOVERY,WHATSAPP,legacy,751,333,49516768.76,0.4434087882822903
CMP0000081,DIGITAL_FOLLOWUP,WHATSAPP,legacy,751,328,45236967.74,0.4367509986684421
CMP0000082,DIGITAL_FOLLOWUP,MIXED,v2,714,304,43955073.45,0.4257703081232493
CMP0000083,BOUNCE,WHATSAPP,v2,772,345,49453730.74,0.44689119170984454
CMP0000084,BOUNCE,FIELD,legacy,739,351,49324309.56,0.4749661705006766
CMP0000085,60DPD_INTENT,MIXED,legacy,731,338,49426354.92,0.46238030095759236
CMP0000086,DIGITAL_FOLLOWUP,SMS,v3,778,366,52604533.3,0.4704370179948586
CMP0000087,60DPD_INTENT,SMS,legacy,717,322,47029090.26,0.4490934449093445
CMP0000088,30DPD_W1,MIXED,v1,700,304,46598544.37,0.4342857142857143
CMP0000089,DIGITAL_FOLLOWUP,WHATSAPP,legacy,743,321,45502347.31,0.43203230148048455
CMP0000090,30DPD_W1,FIELD,v2,731,329,48559073.22,0.45006839945280436
CMP0000091,DIGITAL_FOLLOWUP,VOICE,v3,731,321,47943528.07,0.43912448700410395
CMP0000092,NPA_RECOVERY,SMS,v3,796,353,52048423.84,0.4434673366834171
CMP0000093,60DPD_INTENT,SMS,legacy,733,349,49508496.95,0.4761255115961801
CMP0000094,60DPD_INTENT,WHATSAPP,v3,735,336,49749047.36,0.45714285714285713
CMP0000095,DIGITAL_FOLLOWUP,VOICE,legacy,752,314,42031540.95,0.4175531914893617
CMP0000096,DIGITAL_FOLLOWUP,WHATSAPP,legacy,768,327,48371660.18,0.42578125
CMP0000097,NPA_RECOVERY,MIXED,v2,730,333,48141057.9,0.45616438356164385
CMP0000098,DIGITAL_FOLLOWUP,WHATSAPP,legacy,768,369,49539729.97,0.48046875
CMP0000099,BOUNCE,WHATSAPP,legacy,727,333,49111709.87,0.4580467675378267
CMP0000100,BOUNCE,WHATSAPP,v3,785,359,50613451.64,0.4573248407643312
CMP0000101,BOUNCE,MIXED,v3,738,301,44220715.55,0.4078590785907859
CMP0000102,NPA_RECOVERY,VOICE,legacy,711,325,42749597.99,0.4571026722925457
CMP0000103,NPA_RECOVERY,WHATSAPP,legacy,789,344,48225674.03,0.43599493029150826
CMP0000104,30DPD_W1,FIELD,legacy,747,344,48750821.11,0.4605087014725569
CMP0000105,BOUNCE,FIELD,v2,743,351,50057512.7,0.47240915208613726
CMP0000106,NPA_RECOVERY,SMS,v3,769,335,45810615.76,0.435630689206762
CMP0000107,DIGITAL_FOLLOWUP,SMS,legacy,685,294,42335646.33,0.4291970802919708
CMP0000108,NPA_RECOVERY,VOICE,v3,695,310,45255634.8,0.4460431654676259
CMP0000109,NPA_RECOVERY,MIXED,v1,738,341,50618252.1,0.462059620596206
CMP0000110,DIGITAL_FOLLOWUP,VOICE,v2,736,335,47913432.44,0.45516304347826086
CMP0000111,30DPD_W1,FIELD,v1,734,321,46201217.03,0.4373297002724796
CMP0000112,60DPD_INTENT,MIXED,v3,776,339,52890685.58,0.4368556701030928
CMP0000113,30DPD_W1,WHATSAPP,legacy,705,302,46006638.57,0.42836879432624114
CMP0000114,60DPD_INTENT,SMS,legacy,805,379,52939624.84,0.47080745341614905
CMP0000115,BOUNCE,FIELD,v2,751,342,50631773.92,0.45539280958721706
CMP0000116,DIGITAL_FOLLOWUP,VOICE,v1,804,386,55142451.99,0.48009950248756217
CMP0000117,BOUNCE,VOICE,v3,744,332,48287747.1,0.44623655913978494
CMP0000118,30DPD_W1,FIELD,v3,722,319,48129287.02,0.44182825484764543
CMP0000119,30DPD_W1,SMS,v2,755,318,45333905.47,0.42119205298013246
CMP0000120,NPA_RECOVERY,SMS,v3,689,329,43869466.11,0.47750362844702465
