account_id,amount,event_count
ACC0005231,105244.77,2
ACC0005259,110100.12,2
ACC0005324,7434.97,2
ACC0005367,92577.36,2
ACC0005381,2211.05,2
ACC0005486,70884.79,2
ACC0008968,45526.81,2
ACC0009006,111713.03,2
ACC0009042,117341.22,2
ACC0009147,122806.8,2
ACC0009151,49366.16,2
ACC0009184,100291.48,2
ACC0009200,91344.75,2
ACC0009213,77479.78,2
ACC0008507,15797.11,2
ACC0008533,61898.19,2
ACC0008593,35863.74,2
ACC0008768,149407.71,2
ACC0008810,68318.94,2
ACC0008827,49040.56,2
ACC0008882,58232.36,2
ACC0008886,26788.58,2
ACC0007889,143549.95,2
ACC0007968,42799.04,2
ACC0007979,149687.37,2
ACC0008139,125917.04,2
ACC0008240,127948.4,2
ACC0008347,32052.17,2
ACC0008423,70112.94,2
ACC0008432,124469.26,2
ACC0007567,61165.31,2
ACC0007618,71517.32,2
ACC0007627,149879.41,2
ACC0007657,15279.24,2
ACC0007683,3337.12,2
ACC0007700,74309.82,2
ACC0007852,122258.58,2
ACC0007876,27627.94,2
ACC0011043,143948.02,2
ACC0011064,117242.09,2
ACC0011162,56099.13,2
ACC0011180,27289.11,2
ACC0011193,73863.89,2
ACC0011219,92861.23,2
ACC0011240,79395.43,2
ACC0011325,129921.04,2
ACC0010452,143324.62,2
ACC0010509,5147.92,2
ACC0010554,65462.41,2
ACC0010640,135581.83,2
ACC0010653,115044.02,2
ACC0010749,58695.32,2
ACC0010785,79414.83,2
ACC0010889,143434.84,2
ACC0009755,15504.38,2
ACC0009774,94700.2,2
ACC0009874,16269.6,2
ACC0010109,75456.24,2
ACC0010137,52450.02,2
ACC0010170,87226.44,2
ACC0010290,32517.46,2
ACC0010356,147713.54,2
ACC0009278,74474.23,2
ACC0009283,51714.6,2
ACC0009347,127454.47,2
ACC0009433,102269.9,2
ACC0009507,73857.34,2
ACC0009544,81612.49,2
ACC0009583,29766.45,2
ACC0009714,90768.92,2
ACC0012464,105678.04,2
ACC0012625,143925.0,2
ACC0012682,132174.12,2
ACC0012688,49729.44,2
ACC0012718,83810.58,2
ACC0012785,37251.28,2
ACC0012882,48832.8,2
ACC0012922,96434.86,2
ACC0012131,149154.66,2
ACC0012209,26769.34,2
ACC0012254,31392.08,2
ACC0012259,68047.54,2
ACC0012268,70268.02,2
ACC0012316,35530.17,2
ACC0012343,113692.3,2
ACC0012422,66725.19,2
ACC0011675,50746.08,2
ACC0011827,60602.11,2
ACC0011860,52926.78,2
ACC0011930,70217.42,2
ACC0011964,50946.07,2
ACC0011990,95963.7,2
ACC0012109,32994.31,2
ACC0012123,142081.23,2
ACC0011326,41608.62,2
ACC0011384,2182.27,2
ACC0011385,96763.71,2
ACC0011441,40930.14,2
ACC0011512,100537.71,2
ACC0011624,104701.16,2
ACC0011652,41824.52,2
ACC0011657,33706.06,2
ACC0014896,34955.79,2
ACC0014970,58243.63,2
ACC0015034,14135.03,2
ACC0015065,58368.13,2
ACC0015070,21695.89,2
ACC0015150,80901.36,2
ACC0015207,31755.76,2
ACC0015280,67332.26,2
ACC0014043,122544.54,2
ACC0014371,29535.32,2
ACC0014530,112903.87,2
ACC0014571,32926.96,2
ACC0014579,91153.8,2
ACC0014686,39763.28,2
ACC0014781,116528.23,2
ACC0014795,416.39,2
ACC0013466,49978.75,2
ACC0013475,41281.67,2
ACC0013505,31509.6,2
ACC0013579,122509.16,2
ACC0013781,54501.07,2
ACC0013845,55971.74,2
ACC0013890,135636.92,2
ACC0013925,57271.88,2
ACC0012928,40784.36,2
ACC0013019,145553.96,2
ACC0013197,51177.05,2
ACC0013316,141294.28,2
ACC0013336,67869.11,2
ACC0013353,94097.66,2
ACC0013379,53212.87,2
ACC0013400,124242.63,2
ACC0016479,118902.9,2
ACC0016514,107648.88,2
ACC0016662,39227.29,2
ACC0016799,32011.53,2
ACC0016880,63767.07,2
ACC0016907,55840.26,2
ACC0016927,112607.51,2
ACC0016933,31373.93,2
ACC0016074,2809.81,2
ACC0016086,113574.42,2
ACC0016118,77350.53,2
ACC0016191,143894.29,2
ACC0016217,2766.27,2
ACC0016267,133426.14,2
ACC0016277,932.4,2
ACC0016380,116295.06,2
ACC0015580,116342.77,2
ACC0015618,24363.42,2
ACC0015718,9733.93,2
ACC0015825,22432.38,2
ACC0015908,51695.7,2
ACC0015942,97423.25,2
ACC0015954,122547.19,2
ACC0015994,134388.58,2
ACC0015324,87512.65,2
ACC0015331,44426.63,2
ACC0015389,140129.31,2
ACC0015474,1681.66,2
ACC0015489,99648.37,2
ACC0015507,117822.57,2
ACC0015547,1121.0,2
ACC0015554,9468.63,2
ACC0018323,27374.05,2
ACC0018332,88210.19,2
ACC0018427,42674.72,2
ACC0018444,96766.12,2
ACC0018517,22552.86,2
ACC0018525,23028.52,2
ACC0018650,32311.17,2
ACC0018725,40586.52,2
ACC0017779,42225.74,2
ACC0017896,141590.29,2
ACC0017904,57467.67,2
ACC0017962,119714.2,2
ACC0018051,87402.33,2
ACC0018206,74512.3,2
ACC0018274,143956.27,2
ACC0018298,50901.65,2
ACC0017313,63041.06,2
ACC0017344,132663.11,2
ACC0017346,16293.36,2
ACC0017400,133973.27,2
ACC0017420,89664.37,2
ACC0017503,110724.08,2
ACC0017569,5254.12,2
ACC0017573,79112.73,2
ACC0016946,47282.85,2
ACC0017041,115519.04,2
ACC0017042,49381.35,2
ACC0017047,102830.42,2
ACC0017116,135514.27,2
ACC0017122,29681.09,2
ACC0017214,58790.38,2
ACC0017254,18426.33,2
ACC0020205,83388.07,2
ACC0020215,96799.34,2
ACC0020221,119180.06,2
ACC0020252,32446.99,2
ACC0020281,81016.1,2
ACC0020297,62886.21,2
ACC0020351,108114.55,2
ACC0020357,59533.73,2
ACC0019847,96263.72,2
ACC0019918,109608.63,2
ACC0019930,77864.94,2
ACC0019946,44748.15,2
ACC0020011,83295.57,2
ACC0020015,24437.05,2
ACC0020066,137177.12,2
ACC0020107,139875.93,2
ACC0019509,22950.77,2
ACC0019518,94767.39,2
ACC0019603,120089.4,2
ACC0019605,127701.0,2
ACC0019662,142953.97,2
ACC0019701,11998.82,2
ACC0019778,134908.42,2
ACC0019781,46274.71,2
ACC0018792,119307.99,2
ACC0018823,60823.13,2
ACC0018908,115383.86,2
ACC0019010,10514.54,2
ACC0019407,38276.78,2
ACC0019412,67288.82,2
ACC0019487,78760.57,2
ACC0019495,77982.73,2
ACC0021942,11792.14,2
ACC0021951,127930.53,2
ACC0021963,7914.9,2
ACC0022077,94933.75,2
ACC0022159,87584.95,2
ACC0022219,50487.88,2
ACC0022257,40143.19,2
ACC0022343,75929.0,2
ACC0021319,37395.22,2
ACC0021362,59429.86,2
ACC0021397,38575.06,2
ACC0021718,53682.44,2
ACC0021750,85501.67,2
ACC0021752,147752.29,2
ACC0021815,63816.69,2
ACC0021898,91495.24,2
ACC0020806,115108.83,2
ACC0020824,58590.95,2
ACC0020891,28436.0,2
ACC0020932,143730.68,2
ACC0020950,86860.27,2
ACC0021042,35883.12,2
ACC0021219,56133.71,2
ACC0021261,2538.79,2
ACC0020427,28706.04,2
ACC0020480,144761.51,2
ACC0020509,138601.33,2
ACC0020623,117893.56,2
ACC0020690,52619.1,2
ACC0020698,142415.45,2
ACC0020721,105082.12,2
ACC0020756,130057.52,2
ACC0024066,29624.96,2
ACC0024115,41320.35,2
ACC0024136,37311.61,2
ACC0024186,127057.56,2
ACC0024316,148010.67,2
ACC0024363,120941.5,2
ACC0024561,24555.48,2
ACC0024622,78634.84,2
ACC0023477,100760.88,2
ACC0023488,100497.0,2
ACC0023568,43267.25,2
ACC0023628,35045.91,2
ACC0023744,146003.62,2
ACC0023839,5570.92,2
ACC0023848,78301.8,2
ACC0023942,54636.51,2
ACC0023170,126286.21,2
ACC0023207,131230.72,2
ACC0023216,6550.12,2
ACC0023284,137659.68,2
ACC0023316,61572.53,2
ACC0023362,126199.0,2
ACC0023368,88307.34,2
ACC0023369,361.52,2
ACC0022515,136737.78,2
ACC0022601,20308.01,2
ACC0022714,33951.89,2
ACC0022855,10167.69,2
ACC0022913,130801.18,2
ACC0022917,121208.06,2
ACC0022988,22689.74,2
ACC0023048,60289.33,2
ACC0026247,110389.83,2
ACC0026281,47308.35,2
ACC0026355,25837.88,2
ACC0026451,118189.52,2
ACC0026462,50970.44,2
ACC0026554,137534.49,2
ACC0026555,101168.63,2
ACC0026602,104040.86,2
ACC0025815,90886.76,2
ACC0025954,106230.21,2
ACC0025955,41598.89,2
ACC0025983,103835.45,2
ACC0026021,123585.34,2
ACC0026054,27155.39,2
ACC0026055,66053.37,2
ACC0026182,139477.64,2
ACC0025150,147479.28,2
ACC0025303,13971.98,2
ACC0025409,50057.83,2
ACC0025503,147999.92,2
ACC0025565,116128.78,2
ACC0025574,80418.19,2
ACC0025671,79300.39,2
ACC0025708,13739.49,2
ACC0024632,42209.27,2
ACC0024674,97197.12,2
ACC0024677,85190.16,2
ACC0024759,130161.62,2
ACC0024760,100942.27,2
ACC0024787,9249.2,2
ACC0024929,43349.98,2
ACC0025138,135318.45,2
ACC0029390,117790.29,2
ACC0029415,118423.71,2
ACC0029473,83622.18,2
ACC0029636,140758.62,2
ACC0029738,28451.37,2
ACC0029827,26838.71,2
ACC0029859,104955.3,2
ACC0001624,85205.16,2
ACC0029077,42786.7,2
ACC0029175,122448.12,2
ACC0029216,5623.78,2
ACC0029253,141382.43,2
ACC0029297,124998.24,2
ACC0029341,105455.13,2
ACC0029367,124491.27,2
ACC0029376,71077.63,2
ACC0028466,77126.6,2
ACC0028497,2902.68,2
ACC0028667,102953.23,2
ACC0028692,75835.95,2
ACC0028852,125404.34,2
ACC0028871,14148.01,2
ACC0029008,58375.35,2
ACC0029009,115520.56,2
ACC0028115,97993.11,2
ACC0028188,123820.74,2
ACC0028200,111599.94,2
ACC0028227,33198.67,2
ACC0028237,1562.4,2
ACC0028379,6280.68,2
ACC0028432,85852.47,2
ACC0028461,62274.66,2
ACC0003013,71054.03,2
ACC0003021,72140.31,2
ACC0003032,83104.27,2
ACC0003116,2196.72,2
ACC0003119,9915.48,2
ACC0003210,54198.09,2
ACC0003287,94667.07,2
ACC0003324,147414.48,2
ACC0002691,107253.5,2
ACC0002717,136108.06,2
ACC0002724,93616.19,2
ACC0002724,145170.36,2
ACC0002814,38544.84,2
ACC0002853,94048.86,2
ACC0002956,119004.01,2
ACC0002975,67844.13,2
ACC0002108,134436.36,2
ACC0002142,73792.63,2
ACC0002206,33738.3,2
ACC0002264,74185.56,2
ACC0002342,94735.58,2
ACC0002400,5787.44,2
ACC0002473,55990.16,2
ACC0002681,70128.62,2
ACC0001742,128977.59,2
ACC0001820,19110.78,2
ACC0001882,50958.73,2
ACC0001888,82037.16,2
ACC0001889,83298.59,2
ACC0001901,107235.47,2
ACC0001904,87596.64,2
ACC0002009,22995.56,2
