agent_id,employee_codes,names,vendors,teams,statuses
AGT0000541,26,10,15,5,3
AGT0000542,29,10,14,5,3
AGT0000543,45,10,15,5,3
AGT0000544,42,10,15,5,3
AGT0000545,39,9,14,5,3
AGT0000546,36,9,14,5,3
AGT0000547,30,9,15,5,3
AGT0000548,30,10,13,5,3
AGT0000549,24,9,13,5,3
AGT0000550,27,10,14,5,3
AGT0000551,33,10,14,5,3
AGT0000552,20,8,13,5,3
AGT0000553,30,10,14,5,3
AGT0000554,29,10,14,5,3
AGT0000555,41,10,14,5,3
AGT0000556,29,10,11,5,3
AGT0000557,31,10,13,5,3
AGT0000558,24,10,13,5,3
AGT0000559,36,10,14,5,3
AGT0000560,34,10,13,5,3
AGT0000561,35,10,15,5,3
AGT0000562,28,9,12,5,3
AGT0000563,45,10,15,5,3
AGT0000564,26,10,12,5,3
AGT0000565,24,9,12,5,3
AGT0000566,27,10,14,5,3
AGT0000567,24,8,13,5,3
AGT0000568,30,10,12,5,3
AGT0000569,29,9,12,5,3
AGT0000570,34,9,14,5,3
AGT0000571,29,10,13,5,3
AGT0000572,18,6,11,5,3
AGT0000573,26,9,10,5,3
AGT0000574,31,9,14,5,3
AGT0000575,30,10,12,5,3
AGT0000576,36,10,15,5,3
AGT0000577,30,8,15,5,3
AGT0000578,19,8,14,5,3
AGT0000579,33,10,13,5,3
AGT0000580,32,10,11,5,3
AGT0000581,32,10,13,5,3
AGT0000582,30,9,12,5,3
AGT0000583,31,10,12,4,3
AGT0000584,24,10,13,5,3
AGT0000585,27,9,12,5,3
AGT0000586,29,10,13,5,3
AGT0000587,33,9,13,5,3
AGT0000588,25,10,12,5,3
AGT0000589,30,10,13,5,3
AGT0000590,39,10,15,5,3
AGT0000591,33,10,14,5,3
AGT0000592,25,8,12,5,3
AGT0000593,34,10,13,5,3
AGT0000594,30,9,14,5,3
AGT0000595,29,10,11,5,3
AGT0000596,27,10,13,5,3
AGT0000597,37,10,13,5,3
AGT0000598,28,10,13,5,3
AGT0000599,25,10,12,5,3
AGT0000600,19,9,14,5,3
AGT0000601,22,10,12,5,3
AGT0000602,24,8,13,5,3
AGT0000603,34,10,15,5,3
AGT0000604,23,10,13,5,3
AGT0000605,27,9,14,5,3
AGT0000606,27,9,14,5,3
AGT0000607,28,9,14,5,3
AGT0000608,29,10,13,5,3
AGT0000609,39,10,14,5,3
AGT0000610,29,8,14,5,3
AGT0000611,24,9,13,5,3
AGT0000612,24,10,10,5,3
AGT0000613,28,10,13,5,3
AGT0000614,32,10,12,5,3
AGT0000615,32,10,15,5,3
AGT0000616,36,10,14,5,3
AGT0000617,30,9,14,5,3
AGT0000618,34,9,14,5,3
AGT0000619,35,10,15,5,3
AGT0000620,31,10,13,5,3
AGT0000621,38,10,15,5,3
AGT0000622,24,8,12,5,3
AGT0000623,38,10,15,5,3
AGT0000624,34,10,11,5,3
AGT0000625,25,9,13,5,3
AGT0000626,32,9,13,5,3
AGT0000627,32,9,13,5,3
AGT0000628,28,9,11,5,3
AGT0000629,27,10,12,5,3
AGT0000630,27,10,15,5,3
AGT0000631,36,10,15,5,3
AGT0000632,32,9,13,5,3
AGT0000633,29,10,12,5,3
AGT0000634,26,9,14,5,3
AGT0000635,22,9,10,5,3
AGT0000636,25,9,13,5,3
AGT0000637,29,9,13,5,3
AGT0000638,32,10,13,5,3
AGT0000639,31,9,15,5,3
AGT0000640,27,9,12,5,3
AGT0000641,31,9,13,5,3
AGT0000642,23,8,14,5,3
AGT0000643,33,10,11,5,3
AGT0000644,29,10,13,5,3
AGT0000645,24,9,13,4,3
AGT0000646,33,10,14,5,3
AGT0000647,34,10,13,5,3
AGT0000648,28,10,14,5,3
AGT0000649,41,10,13,5,3
AGT0000650,30,9,14,5,3
AGT0000651,25,8,13,5,3
AGT0000652,28,10,10,5,3
AGT0000653,35,10,14,5,3
AGT0000654,21,9,11,5,3
AGT0000655,21,8,13,5,3
AGT0000656,26,10,11,5,3
AGT0000657,28,9,12,5,3
AGT0000658,26,10,14,5,3
AGT0000659,26,10,13,5,3
AGT0000660,31,10,14,5,3
AGT0000661,26,10,12,5,3
AGT0000662,32,10,13,5,3
AGT0000663,26,10,11,5,3
AGT0000664,36,9,13,5,3
AGT0000665,34,10,13,5,3
AGT0000666,31,10,15,5,3
AGT0000667,36,10,14,5,3
AGT0000668,30,10,12,5,3
AGT0000669,27,10,11,5,3
AGT0000670,26,10,11,5,3
AGT0000671,38,9,15,5,3
AGT0000672,21,9,11,5,3
AGT0000673,37,9,14,5,3
AGT0000674,29,10,15,5,3
AGT0000675,19,8,13,4,3
AGT0000676,31,9,14,5,3
AGT0000677,22,10,14,5,3
AGT0000678,29,10,14,5,3
AGT0000679,24,10,12,5,3
AGT0000680,37,9,15,5,3
AGT0000681,27,10,12,5,3
AGT0000682,21,9,12,5,3
AGT0000683,27,9,14,5,3
AGT0000684,26,10,12,5,3
AGT0000685,31,10,13,5,3
AGT0000686,23,10,12,5,3
AGT0000687,26,9,11,5,3
AGT0000688,32,10,15,5,3
AGT0000689,35,10,15,5,3
AGT0000690,37,10,15,5,3
AGT0000691,27,8,14,5,3
AGT0000692,32,9,13,5,3
AGT0000693,31,9,13,5,3
AGT0000694,26,9,12,4,3
AGT0000695,25,9,14,5,3
AGT0000696,25,10,12,5,3
AGT0000697,37,9,14,5,3
AGT0000698,30,10,13,5,3
AGT0000699,32,10,14,5,3
AGT0000700,28,10,13,5,3
AGT0000701,29,9,13,5,3
AGT0000702,24,8,12,5,3
AGT0000703,32,10,13,5,3
AGT0000704,22,7,12,5,3
AGT0000705,29,10,15,5,3
AGT0000706,31,9,14,5,3
AGT0000707,25,8,13,5,3
AGT0000708,38,10,11,5,3
AGT0000709,33,10,14,5,3
AGT0000710,27,8,11,5,3
AGT0000711,35,9,12,5,3
AGT0000712,26,8,11,5,3
AGT0000713,28,10,11,5,3
AGT0000714,30,10,14,5,3
AGT0000715,34,10,14,5,3
AGT0000716,30,9,12,5,3
AGT0000717,27,9,13,5,3
AGT0000718,26,10,9,5,3
AGT0000719,34,10,14,5,3
AGT0000720,28,10,11,5,3
AGT0000721,28,10,13,5,3
AGT0000722,28,10,13,5,3
AGT0000723,24,9,14,5,3
AGT0000724,41,10,13,5,3
AGT0000725,19,8,12,5,3
AGT0000726,30,9,12,5,3
AGT0000727,36,9,14,5,3
AGT0000728,34,10,14,5,3
AGT0000729,32,9,14,5,3
AGT0000730,37,10,14,5,3
AGT0000731,23,10,11,5,3
AGT0000732,28,10,13,5,3
AGT0000733,31,10,13,5,3
AGT0000734,32,10,15,5,3
AGT0000735,29,9,11,5,3
AGT0000736,19,6,12,5,3
AGT0000737,26,9,14,5,3
AGT0000738,40,10,15,5,3
AGT0000739,39,10,15,5,3
AGT0000740,35,10,12,5,3
AGT0000741,23,9,14,5,3
AGT0000742,25,10,13,5,3
AGT0000743,27,9,13,5,3
AGT0000744,36,10,13,5,3
AGT0000745,23,9,12,5,3
AGT0000746,43,10,15,5,3
AGT0000747,25,9,15,5,3
AGT0000748,23,8,12,5,3
AGT0000749,24,10,12,5,3
AGT0000750,31,10,12,5,3
AGT0000751,20,8,12,5,3
AGT0000752,24,10,10,5,3
AGT0000753,27,10,12,5,3
AGT0000754,27,10,13,5,3
AGT0000755,27,9,13,5,3
AGT0000756,33,10,13,5,3
AGT0000757,22,9,10,5,3
AGT0000758,36,9,13,5,3
AGT0000759,28,9,14,5,3
AGT0000760,31,10,12,5,3
AGT0000761,21,10,11,5,3
AGT0000762,33,10,14,5,3
AGT0000763,14,7,8,5,3
AGT0000764,34,10,14,5,3
AGT0000765,23,9,13,5,3
AGT0000766,34,9,15,5,3
AGT0000767,24,10,14,5,3
AGT0000768,38,9,15,5,3
AGT0000769,34,10,15,5,3
AGT0000770,27,10,13,5,3
AGT0000771,37,10,13,5,3
AGT0000772,32,10,14,5,3
AGT0000773,33,10,13,5,3
AGT0000774,24,10,13,5,3
AGT0000775,21,9,11,5,3
AGT0000776,31,9,14,5,3
AGT0000777,36,10,14,5,3
AGT0000778,18,10,10,5,3
AGT0000779,28,10,11,5,3
AGT0000780,32,10,13,5,3
AGT0000781,30,10,13,5,3
AGT0000782,31,9,12,5,3
AGT0000783,32,10,14,5,3
AGT0000784,33,10,13,5,3
AGT0000785,40,10,14,5,3
AGT0000786,22,9,10,5,3
AGT0000787,22,8,11,5,3
AGT0000788,30,9,14,5,3
AGT0000789,32,9,14,5,3
AGT0000790,39,10,15,5,3
AGT0000791,23,9,14,5,3
AGT0000792,22,10,11,5,3
AGT0000793,27,10,13,5,3
AGT0000794,22,10,10,5,3
AGT0000795,24,10,15,5,3
AGT0000796,36,10,14,5,3
AGT0000797,28,10,13,5,3
AGT0000798,28,10,14,5,3
AGT0000799,38,9,15,5,3
AGT0000800,34,10,13,5,3
AGT0000801,39,10,12,5,3
AGT0000802,31,10,13,5,3
AGT0000803,32,9,13,5,3
AGT0000804,33,10,11,5,3
AGT0000805,22,9,13,5,3
AGT0000806,33,10,14,5,3
AGT0000807,33,10,12,5,3
AGT0000808,30,10,14,5,3
AGT0000809,28,9,13,5,3
AGT0000810,41,10,14,5,3
AGT0000811,19,9,12,5,3
AGT0000812,28,10,14,5,3
AGT0000813,29,10,13,5,3
AGT0000814,31,10,15,5,3
AGT0000815,17,9,12,5,3
AGT0000816,27,10,13,5,3
AGT0000817,29,10,13,5,3
AGT0000818,33,10,15,5,3
AGT0000819,21,9,13,5,3
AGT0000820,33,10,15,5,3
