call_id,account_id,borrower_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,timezone,_source_row_number,event_at_standardized,event_date,event_month,timestamp_parse_failed,account_borrower_id,borrower_account_mismatch_flag,account_timezone,account_timezone_comparison_flag,unknown_agent_flag,unknown_campaign_flag
CALL0000019,ACC0021121,BRW0005251,2026-01-05 08:28:07,AGT0000018,CMP0000033,OUTBOUND,VND0000013,VOICEMAIL,399,Asia/Kolkata,19,2026-01-05 08:28:07,2026-01-05,2026-01,False,BRW0008638,True,Asia/Kolkata,False,False,False
CALL0000020,ACC0017100,BRW0009052,2026-04-26 16:31:37,AGT0000641,CMP0000108,OUTBOUND,VND0000012,BUSY,354,UTC,20,2026-04-26 16:31:37,2026-04-26,2026-04,False,BRW0004623,True,UTC,False,False,False
CALL0000021,ACC0028579,BRW0006503,2026-02-14 04:38:51,AGT0000613,CMP0000009,OUTBOUND,VND0000001,VOICEMAIL,63,Asia/Kolkata,21,2026-02-14 04:38:51,2026-02-14,2026-02,False,BRW0003246,True,Asia/Dubai,True,False,False
CALL0000022,ACC0009881,BRW0008929,2026-08-05 05:55:16,AGT0000842,CMP0000019,OUTBOUND,VND0000001,VOICEMAIL,289,Asia/Kolkata,22,2026-08-05 05:55:16,2026-08-05,2026-08,False,BRW0004786,True,Asia/Dubai,True,False,False
CALL0000023,ACC0005656,BRW0006248,2026-07-11 16:42:23,AGT0000862,CMP0000096,OUTBOUND,VND0000007,NO_ANSWER,537,Asia/Kolkata,23,2026-07-11 16:42:23,2026-07-11,2026-07,False,BRW0009478,True,UTC,True,False,False
CALL0000024,ACC0020634,BRW0005033,2026-08-04 17:24:59,AGT0000905,CMP0000076,INBOUND,VND0000005,VOICEMAIL,807,Asia/Dubai,24,2026-08-04 17:24:59,2026-08-04,2026-08,False,BRW0007820,True,Asia/Dubai,False,False,False
CALL0000025,ACC0004249,BRW0002761,2026-06-19 04:18:04,AGT0000638,CMP0000050,INBOUND,VND0000015,FAILED,519,Asia/Dubai,25,2026-06-19 04:18:04,2026-06-19,2026-06,False,BRW0003506,True,UTC,True,False,False
CALL0000026,ACC0002738,BRW0003702,2026-04-08 22:43:02,AGT0000454,CMP0000104,OUTBOUND,VND0000003,ANSWERED,147,Asia/Dubai,26,2026-04-08 22:43:02,2026-04-08,2026-04,False,BRW0003872,True,Asia/Dubai,False,False,False
CALL0000027,ACC0002663,BRW0007883,2026-01-18 12:26:51,AGT0000841,CMP0000017,OUTBOUND,VND0000005,BUSY,453,Asia/Kolkata,27,2026-01-18 12:26:51,2026-01-18,2026-01,False,BRW0006454,True,Asia/Dubai,True,False,False
CALL0000028,ACC0013665,BRW0011459,2026-04-28 20:47:37,AGT0000018,CMP0000006,OUTBOUND,VND0000002,FAILED,659,Asia/Kolkata,28,2026-04-28 20:47:37,2026-04-28,2026-04,False,BRW0006012,True,Asia/Kolkata,False,False,False
CALL0000029,ACC0022130,BRW0011674,2026-03-24 00:14:47,AGT0000865,CMP0000055,OUTBOUND,VND0000015,FAILED,46,Asia/Dubai,29,2026-03-24 00:14:47,2026-03-24,2026-03,False,BRW0011092,True,UTC,True,False,False
CALL0000030,ACC0015282,BRW0007845,2026-06-18 19:24:12,AGT0000850,CMP0000089,OUTBOUND,VND0000008,FAILED,749,UTC,30,2026-06-18 19:24:12,2026-06-18,2026-06,False,,False,Asia/Kolkata,True,False,False
CALL0000031,ACC0029780,BRW0004398,2026-02-09 19:57:02,AGT0000316,CMP0000001,OUTBOUND,VND0000010,BUSY,806,UTC,31,2026-02-09 19:57:02,2026-02-09,2026-02,False,BRW0007974,True,UTC,False,False,False
CALL0000032,ACC0010981,BRW0009494,2026-03-29 20:46:57,AGT0000789,CMP0000074,OUTBOUND,VND0000005,FAILED,719,Asia/Kolkata,32,2026-03-29 20:46:57,2026-03-29,2026-03,False,BRW0002518,True,Asia/Dubai,True,False,False
CALL0000033,ACC0020302,BRW0010171,2026-04-26 20:30:26,AGT0000315,CMP0000046,OUTBOUND,VND0000013,VOICEMAIL,44,Asia/Dubai,33,2026-04-26 20:30:26,2026-04-26,2026-04,False,BRW0010959,True,UTC,True,False,False
CALL0000034,ACC0007010,BRW0004684,2026-01-13 07:21:05,AGT0000489,CMP0000035,OUTBOUND,VND0000014,FAILED,335,Asia/Kolkata,34,2026-01-13 07:21:05,2026-01-13,2026-01,False,BRW0009403,True,UTC,True,False,False
CALL0000035,ACC0024768,BRW0007892,2026-06-12 05:33:37,AGT0000268,CMP0000109,OUTBOUND,VND0000012,ANSWERED,827,Asia/Kolkata,35,2026-06-12 05:33:37,2026-06-12,2026-06,False,BRW0010584,True,UTC,True,False,False
CALL0000036,ACC0025120,BRW0004094,2026-04-23 22:06:26,AGT0000515,CMP0000068,OUTBOUND,VND0000012,BUSY,737,Asia/Kolkata,36,2026-04-23 22:06:26,2026-04-23,2026-04,False,BRW0010228,True,Asia/Kolkata,False,False,False
CALL0000037,ACC0009696,BRW0003238,2026-04-20 01:18:52,AGT0000787,CMP0000010,OUTBOUND,VND0000011,BUSY,47,Asia/Kolkata,37,2026-04-20 01:18:52,2026-04-20,2026-04,False,BRW0007795,True,Asia/Dubai,True,False,False
CALL0000038,ACC0003044,BRW0009956,2026-01-17 19:04:20,AGT0000059,CMP0000051,INBOUND,VND0000011,VOICEMAIL,487,UTC,38,2026-01-17 19:04:20,2026-01-17,2026-01,False,BRW0004104,True,UTC,False,False,False
CALL0000039,ACC0012935,BRW0008063,2026-04-28 03:56:21,AGT0000613,CMP0000062,OUTBOUND,VND0000008,BUSY,681,Asia/Kolkata,39,2026-04-28 03:56:21,2026-04-28,2026-04,False,BRW0000976,True,Asia/Dubai,True,False,False
CALL0000040,ACC0018788,BRW0003659,2026-07-09 10:23:27,AGT0000172,CMP0000007,OUTBOUND,VND0000007,VOICEMAIL,299,UTC,40,2026-07-09 10:23:27,2026-07-09,2026-07,False,BRW0003203,True,Asia/Kolkata,True,False,False
CALL0000041,ACC0008263,BRW0001425,2026-01-05 17:53:57,AGT0000108,CMP0000050,OUTBOUND,VND0000005,ANSWERED,298,Asia/Dubai,41,2026-01-05 17:53:57,2026-01-05,2026-01,False,BRW0008350,True,UTC,True,False,False
CALL0000042,ACC0001605,BRW0008707,2026-06-20 19:03:46,AGT0000887,CMP0000055,OUTBOUND,VND0000005,FAILED,467,UTC,42,2026-06-20 19:03:46,2026-06-20,2026-06,False,BRW0007884,True,Asia/Dubai,True,False,False
CALL0000043,ACC0023026,BRW0000740,2026-03-05 03:21:54,AGT0000081,CMP0000011,OUTBOUND,VND0000002,NO_ANSWER,786,Asia/Dubai,43,2026-03-05 03:21:54,2026-03-05,2026-03,False,BRW0009480,True,Asia/Dubai,False,False,False
CALL0000044,ACC0008487,BRW0000218,2026-01-01 20:35:27,AGT0000271,CMP0000051,OUTBOUND,VND0000002,NO_ANSWER,353,Asia/Kolkata,44,2026-01-01 20:35:27,2026-01-01,2026-01,False,BRW0000571,True,Asia/Kolkata,False,False,False
CALL0000045,ACC0000606,BRW0009525,2026-02-16 06:10:11,,CMP0000095,OUTBOUND,VND0000002,FAILED,156,Asia/Kolkata,45,2026-02-16 06:10:11,2026-02-16,2026-02,False,BRW0005770,True,Asia/Kolkata,False,False,False
CALL0000046,ACC0008985,BRW0006195,2026-08-02 14:41:22,AGT0000578,CMP0000099,OUTBOUND,VND0000002,VOICEMAIL,263,Asia/Dubai,46,2026-08-02 14:41:22,2026-08-02,2026-08,False,BRW0011234,True,Asia/Kolkata,True,False,False
CALL0000047,ACC0004659,BRW0004843,2026-03-31 09:36:09,AGT0000190,CMP0000014,OUTBOUND,VND0000007,FAILED,55,Asia/Kolkata,47,2026-03-31 09:36:09,2026-03-31,2026-03,False,BRW0001055,True,UTC,True,False,False
CALL0000048,ACC0012134,BRW0005819,2026-02-07 04:04:49,AGT0000446,CMP0000072,OUTBOUND,VND0000004,ANSWERED,882,UTC,48,2026-02-07 04:04:49,2026-02-07,2026-02,False,BRW0001537,True,Asia/Kolkata,True,False,False
CALL0000049,ACC0016678,BRW0005102,2026-05-05 04:32:55,AGT0000144,CMP0000062,OUTBOUND,VND0000001,NO_ANSWER,747,Asia/Kolkata,49,2026-05-05 04:32:55,2026-05-05,2026-05,False,BRW0001888,True,Asia/Kolkata,False,False,False
CALL0000050,ACC0025237,BRW0005568,2026-04-24 23:15:21,AGT0000269,CMP0000020,OUTBOUND,VND0000004,ANSWERED,337,UTC,50,2026-04-24 23:15:21,2026-04-24,2026-04,False,BRW0007949,True,UTC,False,False,False
CALL0000051,ACC0027424,BRW0007657,2026-05-21 03:10:57,AGT0000454,CMP0000031,OUTBOUND,VND0000002,VOICEMAIL,82,Asia/Dubai,51,2026-05-21 03:10:57,2026-05-21,2026-05,False,BRW0003674,True,Asia/Dubai,False,False,False
CALL0000052,ACC0001834,BRW0007564,2026-04-07 14:27:38,AGT0000360,CMP0000020,OUTBOUND,VND0000012,NO_ANSWER,706,Asia/Kolkata,52,2026-04-07 14:27:38,2026-04-07,2026-04,False,BRW0008645,True,Asia/Dubai,True,False,False
CALL0000053,ACC0017503,BRW0000835,2026-05-12 22:43:38,AGT0000301,CMP0000008,OUTBOUND,VND0000002,ANSWERED,848,Asia/Kolkata,53,2026-05-12 22:43:38,2026-05-12,2026-05,False,BRW0002593,True,Asia/Kolkata,False,False,False
CALL0000054,ACC0029981,BRW0008565,2026-07-08 17:08:17,AGT0000755,CMP0000114,OUTBOUND,VND0000001,FAILED,582,Asia/Dubai,54,2026-07-08 17:08:17,2026-07-08,2026-07,False,BRW0008651,True,Asia/Kolkata,True,False,False
CALL0000055,ACC0017849,BRW0009870,2026-05-25 00:30:29,AGT0000071,CMP0000051,INBOUND,VND0000015,ANSWERED,607,UTC,55,2026-05-25 00:30:29,2026-05-25,2026-05,False,BRW0003317,True,UTC,False,False,False
CALL0000056,ACC0008085,BRW0007352,2026-05-06 18:18:42,AGT0000549,CMP0000087,OUTBOUND,VND0000008,ANSWERED,665,Asia/Kolkata,56,2026-05-06 18:18:42,2026-05-06,2026-05,False,BRW0000497,True,Asia/Kolkata,False,False,False
CALL0000057,ACC0016026,BRW0007818,2026-04-11 19:47:42,AGT0000745,CMP0000074,INBOUND,VND0000009,NO_ANSWER,154,Asia/Dubai,57,2026-04-11 19:47:42,2026-04-11,2026-04,False,BRW0001386,True,UTC,True,False,False
CALL0000058,ACC0019088,BRW0002874,2026-03-25 11:39:26,AGT0000127,CMP0000116,OUTBOUND,VND0000008,ANSWERED,867,UTC,58,2026-03-25 11:39:26,2026-03-25,2026-03,False,BRW0011680,True,Asia/Dubai,True,False,False
CALL0000059,ACC0004837,BRW0001292,2026-08-06 11:12:55,AGT0000536,CMP0000111,INBOUND,VND0000007,FAILED,597,UTC,59,2026-08-06 11:12:55,2026-08-06,2026-08,False,BRW0005556,True,Asia/Dubai,True,False,False
CALL0000060,ACC0023992,BRW0011158,2026-01-02 05:37:04,AGT0000942,CMP0000002,OUTBOUND,VND0000015,VOICEMAIL,416,UTC,60,2026-01-02 05:37:04,2026-01-02,2026-01,False,BRW0011912,True,Asia/Dubai,True,False,False
CALL0000061,ACC0021451,BRW0005090,2026-03-19 23:25:59,AGT0000592,CMP0000076,OUTBOUND,VND0000015,VOICEMAIL,470,UTC,61,2026-03-19 23:25:59,2026-03-19,2026-03,False,BRW0009385,True,Asia/Dubai,True,False,False
CALL0000062,ACC0011818,BRW0006455,2026-05-07 16:03:49,AGT0000539,CMP0000091,OUTBOUND,VND0000006,BUSY,131,Asia/Kolkata,62,2026-05-07 16:03:49,2026-05-07,2026-05,False,BRW0010136,True,UTC,True,False,False
CALL0000063,ACC0014378,BRW0000898,2026-04-16 05:42:32,AGT0000121,CMP0000086,OUTBOUND,VND0000013,FAILED,221,Asia/Kolkata,63,2026-04-16 05:42:32,2026-04-16,2026-04,False,BRW0010888,True,UTC,True,False,False
CALL0000064,ACC0022018,BRW0010734,2026-07-27 19:51:14,AGT0000325,CMP0000068,OUTBOUND,VND0000014,BUSY,841,Asia/Kolkata,64,2026-07-27 19:51:14,2026-07-27,2026-07,False,BRW0004518,True,Asia/Dubai,True,False,False
CALL0000065,ACC0022731,BRW0003424,2026-04-11 10:42:48,AGT0000409,CMP0000052,OUTBOUND,VND0000011,ANSWERED,135,UTC,65,2026-04-11 10:42:48,2026-04-11,2026-04,False,BRW0009748,True,Asia/Dubai,True,False,False
CALL0000066,ACC0017255,BRW0001633,2026-06-23 10:00:47,AGT0000350,CMP0000102,INBOUND,VND0000004,VOICEMAIL,374,Asia/Kolkata,66,2026-06-23 10:00:47,2026-06-23,2026-06,False,BRW0010780,True,UTC,True,False,False
CALL0000067,ACC0001545,BRW0010088,2026-04-12 02:24:40,AGT0000495,CMP0000058,OUTBOUND,VND0000007,ANSWERED,153,UTC,67,2026-04-12 02:24:40,2026-04-12,2026-04,False,BRW0004019,True,Asia/Dubai,True,False,False
CALL0000068,ACC0009096,BRW0004811,2026-05-30 09:33:56,AGT0000022,CMP0000056,OUTBOUND,VND0000011,ANSWERED,76,Asia/Kolkata,68,2026-05-30 09:33:56,2026-05-30,2026-05,False,BRW0007462,True,UTC,True,False,False
CALL0000069,ACC0026901,BRW0006326,2026-06-25 12:47:19,AGT0000209,CMP0000092,OUTBOUND,VND0000002,VOICEMAIL,590,UTC,69,2026-06-25 12:47:19,2026-06-25,2026-06,False,BRW0011366,True,Asia/Kolkata,True,False,False
CALL0000070,ACC0013337,BRW0002556,2026-04-07 17:35:41,AGT0000730,CMP0000061,OUTBOUND,VND0000006,VOICEMAIL,304,UTC,70,2026-04-07 17:35:41,2026-04-07,2026-04,False,BRW0003697,True,Asia/Kolkata,True,False,False
CALL0000071,ACC0027600,BRW0000723,2026-06-19 15:06:39,AGT0000638,CMP0000119,OUTBOUND,VND0000001,BUSY,88,Asia/Kolkata,71,2026-06-19 15:06:39,2026-06-19,2026-06,False,BRW0000061,True,UTC,True,False,False
CALL0000072,ACC0026297,BRW0007223,2026-04-12 16:38:52,,CMP0000072,OUTBOUND,VND0000007,VOICEMAIL,596,UTC,72,2026-04-12 16:38:52,2026-04-12,2026-04,False,BRW0011101,True,Asia/Kolkata,True,False,False
CALL0000073,ACC0029802,BRW0011081,2026-04-08 05:17:48,AGT0000783,CMP0000070,OUTBOUND,VND0000004,NO_ANSWER,452,Asia/Kolkata,73,2026-04-08 05:17:48,2026-04-08,2026-04,False,BRW0005013,True,Asia/Dubai,True,False,False
CALL0000074,ACC0008452,BRW0001324,2026-02-21 10:27:09,AGT0000738,CMP0000101,OUTBOUND,VND0000015,BUSY,640,Asia/Kolkata,74,2026-02-21 10:27:09,2026-02-21,2026-02,False,BRW0009629,True,UTC,True,False,False
CALL0000075,ACC0007294,BRW0001466,2026-07-21 05:41:21,AGT0000861,CMP0000013,OUTBOUND,VND0000009,NO_ANSWER,81,UTC,75,2026-07-21 05:41:21,2026-07-21,2026-07,False,BRW0003040,True,Asia/Dubai,True,False,False
CALL0000076,ACC0015141,BRW0006535,2026-04-23 15:42:33,AGT0000466,CMP0000050,OUTBOUND,VND0000012,ANSWERED,200,UTC,76,2026-04-23 15:42:33,2026-04-23,2026-04,False,BRW0007415,True,Asia/Kolkata,True,False,False
CALL0000077,ACC0009635,BRW0011777,2026-05-21 21:54:44,AGT0000264,CMP0000021,INBOUND,VND0000002,ANSWERED,563,UTC,77,2026-05-21 21:54:44,2026-05-21,2026-05,False,BRW0007150,True,UTC,False,False,False
CALL0000078,ACC0022457,BRW0003774,2026-06-03 18:45:40,AGT0000559,CMP0000063,OUTBOUND,VND0000008,FAILED,701,Asia/Dubai,78,2026-06-03 18:45:40,2026-06-03,2026-06,False,BRW0010762,True,Asia/Dubai,False,False,False
CALL0000079,ACC0028965,BRW0003447,2026-02-05 15:07:45,AGT0000863,CMP0000114,OUTBOUND,VND0000003,FAILED,298,Asia/Dubai,79,2026-02-05 15:07:45,2026-02-05,2026-02,False,BRW0002611,True,UTC,True,False,False
CALL0000080,ACC0023938,BRW0003342,2026-06-08 16:13:05,AGT0000482,CMP0000045,OUTBOUND,VND0000014,ANSWERED,582,Asia/Kolkata,80,2026-06-08 16:13:05,2026-06-08,2026-06,False,BRW0001319,True,Asia/Dubai,True,False,False
CALL0000081,ACC0027868,BRW0004075,2026-07-04 12:19:21,AGT0000874,CMP0000073,OUTBOUND,VND0000001,VOICEMAIL,269,Asia/Dubai,81,2026-07-04 12:19:21,2026-07-04,2026-07,False,BRW0009539,True,Asia/Kolkata,True,False,False
CALL0000082,ACC0014082,BRW0005230,2026-04-12 15:01:57,AGT0000271,CMP0000061,OUTBOUND,VND0000012,FAILED,743,Asia/Dubai,82,2026-04-12 15:01:57,2026-04-12,2026-04,False,BRW0001209,True,Asia/Dubai,False,False,False
CALL0000083,ACC0002244,BRW0001722,2026-05-28 16:43:53,AGT0000336,CMP0000022,INBOUND,VND0000003,VOICEMAIL,271,UTC,83,2026-05-28 16:43:53,2026-05-28,2026-05,False,BRW0008276,True,Asia/Dubai,True,False,False
CALL0000084,ACC0017709,BRW0006002,2026-03-15 08:14:35,AGT0000148,CMP0000019,OUTBOUND,VND0000007,VOICEMAIL,264,Asia/Kolkata,84,2026-03-15 08:14:35,2026-03-15,2026-03,False,BRW0003086,True,UTC,True,False,False
CALL0000085,ACC0012331,BRW0002812,2026-05-15 11:18:16,AGT0000105,CMP0000119,OUTBOUND,VND0000002,ANSWERED,759,Asia/Dubai,85,2026-05-15 11:18:16,2026-05-15,2026-05,False,BRW0001583,True,Asia/Dubai,False,False,False
CALL0000086,ACC0007081,BRW0005551,2026-02-17 04:13:05,AGT0000239,CMP0000012,OUTBOUND,VND0000011,BUSY,68,Asia/Dubai,86,2026-02-17 04:13:05,2026-02-17,2026-02,False,BRW0010173,True,Asia/Kolkata,True,False,False
CALL0000087,ACC0017903,BRW0003538,2026-07-30 00:43:56,AGT0000145,CMP0000087,OUTBOUND,VND0000005,VOICEMAIL,602,UTC,87,2026-07-30 00:43:56,2026-07-30,2026-07,False,BRW0006636,True,Asia/Dubai,True,False,False
CALL0000088,ACC0004304,BRW0009713,2026-06-16 03:06:13,AGT0000248,CMP0000006,OUTBOUND,VND0000004,VOICEMAIL,752,Asia/Kolkata,88,2026-06-16 03:06:13,2026-06-16,2026-06,False,BRW0002116,True,Asia/Dubai,True,False,False
CALL0000089,ACC0014855,BRW0007271,2026-03-05 02:12:42,AGT0000388,CMP0000044,OUTBOUND,VND0000002,ANSWERED,663,Asia/Kolkata,89,2026-03-05 02:12:42,2026-03-05,2026-03,False,BRW0010244,True,UTC,True,False,False
CALL0000090,ACC0012222,BRW0009268,2026-07-22 04:46:37,AGT0000342,CMP0000081,OUTBOUND,VND0000008,ANSWERED,314,Asia/Dubai,90,2026-07-22 04:46:37,2026-07-22,2026-07,False,BRW0008286,True,UTC,True,False,False
CALL0000091,ACC0029379,BRW0009569,2026-05-04 10:26:13,AGT0000396,CMP0000114,OUTBOUND,VND0000003,NO_ANSWER,842,Asia/Dubai,91,2026-05-04 10:26:13,2026-05-04,2026-05,False,BRW0006799,True,Asia/Dubai,False,False,False
CALL0000092,ACC0015505,BRW0011654,2026-05-18 16:41:34,AGT0000997,CMP0000052,OUTBOUND,VND0000004,VOICEMAIL,579,UTC,92,2026-05-18 16:41:34,2026-05-18,2026-05,False,BRW0011721,True,Asia/Dubai,True,False,False
CALL0000093,ACC0000670,BRW0005115,2026-01-10 10:03:51,AGT0000188,CMP0000060,OUTBOUND,VND0000009,NO_ANSWER,66,Asia/Dubai,93,2026-01-10 10:03:51,2026-01-10,2026-01,False,BRW0002034,True,Asia/Dubai,False,False,False
CALL0000094,ACC0026373,BRW0003722,2026-01-13 04:27:05,AGT0000435,CMP0000003,OUTBOUND,VND0000006,VOICEMAIL,138,Asia/Dubai,94,2026-01-13 04:27:05,2026-01-13,2026-01,False,BRW0006913,True,UTC,True,False,False
CALL0000095,ACC0011771,BRW0003697,2026-05-01 07:21:43,AGT0000508,CMP0000090,OUTBOUND,VND0000007,NO_ANSWER,425,UTC,95,2026-05-01 07:21:43,2026-05-01,2026-05,False,BRW0001292,True,UTC,False,False,False
CALL0000096,ACC0004521,BRW0010082,2026-03-18 09:49:36,AGT0000366,CMP0000064,INBOUND,VND0000001,FAILED,68,UTC,96,2026-03-18 09:49:36,2026-03-18,2026-03,False,BRW0007270,True,UTC,False,False,False
CALL0000097,ACC0022138,BRW0003543,2026-01-26 15:40:38,AGT0000194,CMP0000114,OUTBOUND,VND0000011,VOICEMAIL,705,Asia/Dubai,97,2026-01-26 15:40:38,2026-01-26,2026-01,False,BRW0000533,True,UTC,True,False,False
CALL0000098,ACC0008965,BRW0010214,2026-05-21 02:31:30,AGT0000749,CMP0000036,INBOUND,VND0000011,NO_ANSWER,490,Asia/Dubai,98,2026-05-21 02:31:30,2026-05-21,2026-05,False,BRW0003214,True,Asia/Kolkata,True,False,False
CALL0000099,ACC0019918,BRW0007698,2026-07-23 01:40:59,AGT0000190,CMP0000049,OUTBOUND,VND0000014,ANSWERED,154,UTC,99,2026-07-23 01:40:59,2026-07-23,2026-07,False,BRW0003477,True,Asia/Dubai,True,False,False
CALL0000100,ACC0029302,BRW0011410,2026-03-16 15:48:37,AGT0000543,CMP0000018,OUTBOUND,VND0000010,NO_ANSWER,348,Asia/Dubai,100,2026-03-16 15:48:37,2026-03-16,2026-03,False,BRW0006005,True,Asia/Dubai,False,False,False
CALL0000101,ACC0028601,BRW0005367,2026-02-26 14:09:01,AGT0000197,CMP0000022,OUTBOUND,VND0000002,VOICEMAIL,272,Asia/Kolkata,101,2026-02-26 14:09:01,2026-02-26,2026-02,False,BRW0009000,True,UTC,True,False,False
CALL0000102,ACC0011796,BRW0010680,2026-07-13 14:46:02,AGT0000302,CMP0000011,INBOUND,VND0000014,BUSY,31,Asia/Kolkata,102,2026-07-13 14:46:02,2026-07-13,2026-07,False,BRW0005573,True,Asia/Kolkata,False,False,False
CALL0000103,ACC0025645,BRW0011706,2026-01-24 22:24:27,AGT0000645,CMP0000096,OUTBOUND,VND0000008,FAILED,93,Asia/Dubai,103,2026-01-24 22:24:27,2026-01-24,2026-01,False,BRW0007824,True,UTC,True,False,False
CALL0000104,ACC0021095,BRW0011020,2026-07-10 11:04:22,AGT0001000,CMP0000086,OUTBOUND,VND0000015,FAILED,693,UTC,104,2026-07-10 11:04:22,2026-07-10,2026-07,False,BRW0004285,True,Asia/Dubai,True,False,False
CALL0000105,ACC0024104,BRW0005619,2026-01-28 22:45:15,AGT0000414,CMP0000113,OUTBOUND,VND0000006,VOICEMAIL,269,Asia/Kolkata,105,2026-01-28 22:45:15,2026-01-28,2026-01,False,BRW0008488,True,UTC,True,False,False
