attempt_id,account_id,borrower_id,event_at,call_id,agent_id,attempt_no,vendor_id,attempt_status,_source_row_number,event_at_standardized,event_date,event_month,timestamp_parse_failed
ATTEMPT0000063,ACC0016343,BRW0003851,2026-07-30 14:49:31,CALL0074193,AGT0000162,6,VND0000006,BUSY,63,2026-07-30 14:49:31,2026-07-30,2026-07,False
ATTEMPT0000064,ACC0010116,BRW0010392,2026-01-10 13:56:35,CALL0082469,AGT0000101,7,VND0000009,CONNECTED,64,2026-01-10 13:56:35,2026-01-10,2026-01,False
ATTEMPT0000065,ACC0016419,BRW0010374,2026-02-01 09:39:16,CALL0052760,AGT0000836,2,VND0000002,BUSY,65,2026-02-01 09:39:16,2026-02-01,2026-02,False
ATTEMPT0000066,ACC0014239,BRW0008030,2026-06-30 22:51:53,CALL0016221,AGT0000945,7,VND0000004,CONNECTED,66,2026-06-30 22:51:53,2026-06-30,2026-06,False
ATTEMPT0000067,ACC0013463,BRW0008896,2026-05-07 09:56:39,CALL0074452,AGT0000942,2,VND0000012,NO_ANSWER,67,2026-05-07 09:56:39,2026-05-07,2026-05,False
ATTEMPT0000068,ACC0001500,BRW0002214,2026-04-18 01:37:10,CALL0007723,AGT0000851,4,VND0000006,FAILED,68,2026-04-18 01:37:10,2026-04-18,2026-04,False
ATTEMPT0000069,ACC0008210,BRW0003124,2026-02-07 02:40:13,CALL0062195,AGT0000486,1,VND0000014,CONNECTED,69,2026-02-07 02:40:13,2026-02-07,2026-02,False
ATTEMPT0000070,ACC0004150,BRW0008446,2026-03-02 03:53:28,CALL0065117,AGT0000450,5,VND0000012,CONNECTED,70,2026-03-02 03:53:28,2026-03-02,2026-03,False
ATTEMPT0000071,ACC0012990,BRW0007807,2026-07-11 14:09:49,CALL0061909,AGT0000641,5,VND0000003,CONNECTED,71,2026-07-11 14:09:49,2026-07-11,2026-07,False
ATTEMPT0000072,ACC0029553,BRW0009886,2026-07-26 21:15:11,CALL0035686,AGT0000434,3,VND0000005,RINGING,72,2026-07-26 21:15:11,2026-07-26,2026-07,False
ATTEMPT0000073,ACC0027899,BRW0006233,2026-01-03 20:32:55,CALL0062700,AGT0000570,2,VND0000005,FAILED,73,2026-01-03 20:32:55,2026-01-03,2026-01,False
ATTEMPT0000074,ACC0023923,BRW0007784,2026-04-20 00:44:01,CALL0059715,AGT0000232,2,VND0000002,RINGING,74,2026-04-20 00:44:01,2026-04-20,2026-04,False
ATTEMPT0000075,ACC0000596,BRW0011394,2026-08-05 06:45:25,CALL0018041,AGT0000456,3,VND0000004,BUSY,75,2026-08-05 06:45:25,2026-08-05,2026-08,False
ATTEMPT0000076,ACC0021398,BRW0006267,2026-02-27 11:06:27,CALL0007733,AGT0000595,7,VND0000014,NO_ANSWER,76,2026-02-27 11:06:27,2026-02-27,2026-02,False
ATTEMPT0000077,ACC0013752,BRW0011699,2026-05-13 07:00:21,CALL0052052,AGT0000038,5,VND0000010,BUSY,77,2026-05-13 07:00:21,2026-05-13,2026-05,False
ATTEMPT0000078,ACC0023998,BRW0005738,2026-07-02 09:40:02,CALL0081388,AGT0000259,6,VND0000003,FAILED,78,2026-07-02 09:40:02,2026-07-02,2026-07,False
ATTEMPT0000079,ACC0025016,BRW0004565,2026-03-21 05:12:14,CALL0042878,AGT0000315,5,VND0000003,FAILED,79,2026-03-21 05:12:14,2026-03-21,2026-03,False
ATTEMPT0000080,ACC0029460,BRW0004254,2026-06-15 07:21:15,CALL0022849,AGT0000725,4,VND0000011,CONNECTED,80,2026-06-15 07:21:15,2026-06-15,2026-06,False
ATTEMPT0000081,ACC0007714,BRW0008399,2026-01-21 12:44:56,CALL0041342,AGT0000282,6,VND0000010,RINGING,81,2026-01-21 12:44:56,2026-01-21,2026-01,False
ATTEMPT0000082,ACC0011905,BRW0011539,2026-03-07 04:55:17,CALL0016954,AGT0000747,7,VND0000009,RINGING,82,2026-03-07 04:55:17,2026-03-07,2026-03,False
ATTEMPT0000083,ACC0013075,BRW0001757,2026-01-15 03:36:10,CALL0005295,AGT0000461,2,VND0000015,CONNECTED,83,2026-01-15 03:36:10,2026-01-15,2026-01,False
ATTEMPT0000084,ACC0010455,BRW0007591,2026-05-11 21:11:22,CALL0045300,AGT0000901,3,VND0000014,FAILED,84,2026-05-11 21:11:22,2026-05-11,2026-05,False
ATTEMPT0000085,ACC0002921,BRW0010385,2026-02-02 07:18:19,CALL0013797,AGT0000538,4,VND0000004,RINGING,85,2026-02-02 07:18:19,2026-02-02,2026-02,False
ATTEMPT0000086,ACC0013632,BRW0010317,2026-07-05 12:08:07,CALL0046629,AGT0000351,1,VND0000002,RINGING,86,2026-07-05 12:08:07,2026-07-05,2026-07,False
ATTEMPT0000087,ACC0016523,BRW0002922,2026-02-21 11:57:32,CALL0011702,AGT0000757,6,VND0000001,NO_ANSWER,87,2026-02-21 11:57:32,2026-02-21,2026-02,False
ATTEMPT0000088,ACC0027477,BRW0001776,2026-01-16 13:32:18,CALL0088682,AGT0000114,5,VND0000003,NO_ANSWER,88,2026-01-16 13:32:18,2026-01-16,2026-01,False
ATTEMPT0000089,ACC0007646,BRW0009617,2026-04-30 21:41:33,CALL0020631,AGT0000118,1,VND0000005,CONNECTED,89,2026-04-30 21:41:33,2026-04-30,2026-04,False
ATTEMPT0000090,ACC0006586,BRW0010105,2026-03-13 15:27:42,CALL0063623,AGT0000036,4,VND0000010,NO_ANSWER,90,2026-03-13 15:27:42,2026-03-13,2026-03,False
ATTEMPT0000091,ACC0022323,BRW0007822,2026-04-04 11:09:30,CALL0032992,AGT0000977,4,VND0000006,FAILED,91,2026-04-04 11:09:30,2026-04-04,2026-04,False
ATTEMPT0000092,ACC0004645,BRW0000434,2026-07-16 18:22:38,CALL0088937,AGT0000640,1,VND0000011,RINGING,92,2026-07-16 18:22:38,2026-07-16,2026-07,False
ATTEMPT0000093,ACC0026368,BRW0011333,2026-07-26 07:39:14,CALL0063420,AGT0000709,4,VND0000006,NO_ANSWER,93,2026-07-26 07:39:14,2026-07-26,2026-07,False
ATTEMPT0000094,ACC0029698,BRW0007718,2026-02-11 01:36:02,CALL0075775,AGT0000024,3,VND0000004,RINGING,94,2026-02-11 01:36:02,2026-02-11,2026-02,False
ATTEMPT0000095,ACC0011292,BRW0008456,2026-05-14 13:07:19,CALL0064846,AGT0000984,2,VND0000010,NO_ANSWER,95,2026-05-14 13:07:19,2026-05-14,2026-05,False
ATTEMPT0000096,ACC0025058,BRW0011758,2026-01-07 17:11:42,CALL0013991,AGT0000743,5,VND0000015,BUSY,96,2026-01-07 17:11:42,2026-01-07,2026-01,False
ATTEMPT0000097,ACC0017265,BRW0003162,2026-05-23 03:32:18,CALL0022968,AGT0000405,3,VND0000015,BUSY,97,2026-05-23 03:32:18,2026-05-23,2026-05,False
ATTEMPT0000098,ACC0006250,BRW0010637,2026-02-11 16:53:58,CALL0020804,AGT0000251,4,,CONNECTED,98,2026-02-11 16:53:58,2026-02-11,2026-02,False
ATTEMPT0000099,ACC0018866,BRW0011888,2026-08-03 01:09:27,CALL0043643,AGT0000573,7,VND0000008,CONNECTED,99,2026-08-03 01:09:27,2026-08-03,2026-08,False
ATTEMPT0000100,ACC0004334,BRW0003081,2026-06-23 16:20:28,CALL0068051,AGT0000779,3,VND0000003,CONNECTED,100,2026-06-23 16:20:28,2026-06-23,2026-06,False
ATTEMPT0000101,ACC0026998,BRW0008934,2026-06-09 06:34:53,CALL0050875,AGT0000181,1,VND0000013,RINGING,101,2026-06-09 06:34:53,2026-06-09,2026-06,False
ATTEMPT0000102,ACC0026081,BRW0007039,2026-05-16 06:58:20,CALL0043967,AGT0000952,7,VND0000001,BUSY,102,2026-05-16 06:58:20,2026-05-16,2026-05,False
ATTEMPT0000103,ACC0003947,BRW0011532,2026-01-07 11:55:37,CALL0047177,AGT0000569,6,VND0000001,CONNECTED,103,2026-01-07 11:55:37,2026-01-07,2026-01,False
ATTEMPT0000104,ACC0007038,BRW0005817,2026-02-20 08:45:29,CALL0012719,AGT0000335,6,VND0000002,RINGING,104,2026-02-20 08:45:29,2026-02-20,2026-02,False
ATTEMPT0000105,ACC0023918,BRW0004491,2026-05-31 00:18:06,CALL0062096,AGT0000113,6,VND0000006,NO_ANSWER,105,2026-05-31 00:18:06,2026-05-31,2026-05,False
ATTEMPT0000106,ACC0013429,BRW0001856,2026-04-12 09:09:01,CALL0020015,AGT0000677,2,VND0000006,FAILED,106,2026-04-12 09:09:01,2026-04-12,2026-04,False
ATTEMPT0000107,ACC0005303,BRW0007275,2026-06-21 12:23:47,CALL0041213,AGT0000160,4,VND0000013,BUSY,107,2026-06-21 12:23:47,2026-06-21,2026-06,False
ATTEMPT0000108,ACC0023911,BRW0007008,2026-03-20 03:34:58,CALL0038321,AGT0000206,1,VND0000012,BUSY,108,2026-03-20 03:34:58,2026-03-20,2026-03,False
ATTEMPT0000109,ACC0009973,BRW0009443,2026-03-23 17:25:16,CALL0053879,AGT0000672,3,VND0000003,BUSY,109,2026-03-23 17:25:16,2026-03-23,2026-03,False
ATTEMPT0000110,ACC0017372,BRW0002726,2026-07-19 09:30:00,CALL0064954,AGT0000675,3,VND0000010,NO_ANSWER,110,2026-07-19 09:30:00,2026-07-19,2026-07,False
ATTEMPT0000111,ACC0013279,BRW0000102,2026-03-09 10:17:56,CALL0056579,AGT0000664,4,VND0000015,CONNECTED,111,2026-03-09 10:17:56,2026-03-09,2026-03,False
ATTEMPT0000112,ACC0026911,BRW0006947,2026-05-17 23:26:26,CALL0051167,AGT0000265,2,VND0000015,FAILED,112,2026-05-17 23:26:26,2026-05-17,2026-05,False
ATTEMPT0000113,ACC0003775,BRW0007655,2026-04-21 15:55:49,CALL0020936,AGT0000028,7,VND0000010,NO_ANSWER,113,2026-04-21 15:55:49,2026-04-21,2026-04,False
ATTEMPT0000114,ACC0028178,BRW0010542,2026-07-28 04:10:14,CALL0029523,AGT0000249,6,VND0000006,FAILED,114,2026-07-28 04:10:14,2026-07-28,2026-07,False
ATTEMPT0000115,ACC0011583,BRW0004241,2026-02-09 11:44:00,CALL0039285,AGT0000145,5,VND0000002,BUSY,115,2026-02-09 11:44:00,2026-02-09,2026-02,False
ATTEMPT0000116,ACC0017783,BRW0008560,2026-04-23 04:17:12,CALL0042727,AGT0000703,6,VND0000009,FAILED,116,2026-04-23 04:17:12,2026-04-23,2026-04,False
ATTEMPT0000117,ACC0023874,BRW0007246,2026-05-19 19:29:04,CALL0004233,AGT0000953,3,VND0000006,NO_ANSWER,117,2026-05-19 19:29:04,2026-05-19,2026-05,False
ATTEMPT0000118,ACC0024519,BRW0007055,2026-02-10 16:32:45,CALL0081608,AGT0000945,7,VND0000001,NO_ANSWER,118,2026-02-10 16:32:45,2026-02-10,2026-02,False
ATTEMPT0000119,ACC0001252,BRW0000349,2026-07-09 22:20:07,CALL0074444,AGT0000006,5,VND0000002,FAILED,119,2026-07-09 22:20:07,2026-07-09,2026-07,False
ATTEMPT0000120,ACC0016147,BRW0011347,2026-05-07 20:41:28,CALL0041755,AGT0000835,5,VND0000007,CONNECTED,120,2026-05-07 20:41:28,2026-05-07,2026-05,False
ATTEMPT0000121,ACC0024919,BRW0004874,2026-06-30 01:00:47,CALL0033870,AGT0000251,6,VND0000013,RINGING,121,2026-06-30 01:00:47,2026-06-30,2026-06,False
ATTEMPT0000122,ACC0006803,BRW0011110,2026-05-14 07:43:08,CALL0036897,AGT0000717,6,VND0000006,NO_ANSWER,122,2026-05-14 07:43:08,2026-05-14,2026-05,False
ATTEMPT0000123,ACC0019049,BRW0000288,2026-02-13 09:50:27,CALL0077085,AGT0000726,4,VND0000013,RINGING,123,2026-02-13 09:50:27,2026-02-13,2026-02,False
ATTEMPT0000124,ACC0006309,BRW0004719,2026-02-12 12:36:15,CALL0062723,AGT0000349,6,VND0000012,NO_ANSWER,124,2026-02-12 12:36:15,2026-02-12,2026-02,False
ATTEMPT0000125,ACC0025917,BRW0011610,2026-08-01 05:39:15,CALL0031916,AGT0000853,2,VND0000006,RINGING,125,2026-08-01 05:39:15,2026-08-01,2026-08,False
ATTEMPT0000126,ACC0025882,BRW0001501,2026-06-11 13:45:23,CALL0020177,AGT0000584,5,VND0000014,RINGING,126,2026-06-11 13:45:23,2026-06-11,2026-06,False
ATTEMPT0000127,ACC0011528,BRW0002285,2026-01-24 09:54:37,CALL0046917,AGT0000257,3,VND0000011,RINGING,127,2026-01-24 09:54:37,2026-01-24,2026-01,False
ATTEMPT0000128,ACC0023712,BRW0009212,2026-01-24 19:48:14,CALL0063709,AGT0000713,3,VND0000005,FAILED,128,2026-01-24 19:48:14,2026-01-24,2026-01,False
ATTEMPT0000129,ACC0011830,BRW0002809,2026-04-02 22:43:27,CALL0052091,AGT0000726,3,VND0000004,CONNECTED,129,2026-04-02 22:43:27,2026-04-02,2026-04,False
ATTEMPT0000130,ACC0028254,BRW0005874,2026-04-13 23:07:34,CALL0035536,AGT0000335,6,VND0000010,FAILED,130,2026-04-13 23:07:34,2026-04-13,2026-04,False
ATTEMPT0000131,ACC0001083,BRW0006517,2026-08-08 16:30:47,CALL0001922,AGT0000501,5,VND0000006,NO_ANSWER,131,2026-08-08 16:30:47,2026-08-08,2026-08,False
ATTEMPT0000132,ACC0023327,BRW0011436,2026-02-26 04:54:58,CALL0071519,AGT0000306,7,VND0000010,CONNECTED,132,2026-02-26 04:54:58,2026-02-26,2026-02,False
ATTEMPT0000133,ACC0014186,BRW0010318,2026-03-24 09:32:28,CALL0017205,AGT0000812,3,VND0000002,RINGING,133,2026-03-24 09:32:28,2026-03-24,2026-03,False
ATTEMPT0000134,ACC0028359,BRW0002542,2026-04-28 21:14:08,CALL0083530,AGT0000635,4,VND0000014,RINGING,134,2026-04-28 21:14:08,2026-04-28,2026-04,False
ATTEMPT0000135,ACC0013832,BRW0010005,2026-03-12 08:35:27,CALL0002949,AGT0000816,5,VND0000011,FAILED,135,2026-03-12 08:35:27,2026-03-12,2026-03,False
ATTEMPT0000136,ACC0019207,BRW0000740,2026-06-10 05:16:51,CALL0076542,AGT0000989,1,VND0000006,CONNECTED,136,2026-06-10 05:16:51,2026-06-10,2026-06,False
ATTEMPT0000137,ACC0018081,BRW0002946,2026-01-05 20:26:42,CALL0041440,AGT0000723,2,,FAILED,137,2026-01-05 20:26:42,2026-01-05,2026-01,False
ATTEMPT0000138,ACC0017628,BRW0006244,2026-01-17 16:11:18,CALL0089537,AGT0000950,7,VND0000003,RINGING,138,2026-01-17 16:11:18,2026-01-17,2026-01,False
ATTEMPT0000139,ACC0024221,BRW0010194,2026-05-29 22:42:56,CALL0053460,AGT0000192,6,VND0000013,FAILED,139,2026-05-29 22:42:56,2026-05-29,2026-05,False
ATTEMPT0000140,ACC0025989,BRW0000927,2026-05-23 06:10:46,CALL0068312,AGT0000718,7,VND0000008,CONNECTED,140,2026-05-23 06:10:46,2026-05-23,2026-05,False
ATTEMPT0000141,ACC0000938,BRW0006470,2026-07-21 12:34:10,CALL0005612,AGT0000036,2,VND0000004,FAILED,141,2026-07-21 12:34:10,2026-07-21,2026-07,False
ATTEMPT0000142,ACC0019102,BRW0000725,2026-07-24 21:27:42,CALL0088612,AGT0000720,7,VND0000002,BUSY,142,2026-07-24 21:27:42,2026-07-24,2026-07,False
ATTEMPT0000143,ACC0021948,BRW0008765,2026-01-31 20:17:25,CALL0088478,AGT0000331,6,VND0000011,RINGING,143,2026-01-31 20:17:25,2026-01-31,2026-01,False
ATTEMPT0000144,ACC0000729,BRW0008416,2026-06-11 06:09:44,CALL0002889,AGT0000180,2,VND0000005,BUSY,144,2026-06-11 06:09:44,2026-06-11,2026-06,False
ATTEMPT0000145,ACC0012353,BRW0000289,2026-06-26 05:55:53,CALL0026590,AGT0000801,2,VND0000012,RINGING,145,2026-06-26 05:55:53,2026-06-26,2026-06,False
