session_id,agent_id,login_at,channel,device_id,timezone,logout_at,_source_row_number,login_at_standardized,logout_at_standardized,session_duration_minutes,invalid_session_time
SES0000049,AGT0000414,2026-03-21 10:03:52,SMS,DEV00803,Asia/Kolkata,2026-03-21 12:26:52,49,2026-03-21 10:03:52,2026-03-21 12:26:52,143.0,False
SES0000050,AGT0000464,2026-07-09 07:14:37,VOICE,DEV01497,UTC,2026-07-09 10:37:23,50,2026-07-09 07:14:37,2026-07-09 10:37:23,202.76666666666668,False
SES0000051,AGT0000202,2026-04-07 03:50:09,FIELD,DEV00421,Asia/Kolkata,2026-04-07 06:25:00,51,2026-04-07 03:50:09,2026-04-07 06:25:00,154.85,False
SES0000052,AGT0000999,2026-01-27 00:10:12,SMS,DEV01311,Asia/Kolkata,2026-01-27 00:52:00,52,2026-01-27 00:10:12,2026-01-27 00:52:00,41.8,False
SES0000053,AGT0000886,2026-06-17 21:18:26,FIELD,DEV00752,UTC,2026-06-18 04:50:59,53,2026-06-17 21:18:26,2026-06-18 04:50:59,452.55,False
SES0000054,AGT0000828,2026-03-27 06:46:15,FIELD,DEV00504,UTC,2026-03-27 13:11:22,54,2026-03-27 06:46:15,2026-03-27 13:11:22,385.1166666666667,False
SES0000055,AGT0000393,2026-03-07 07:25:42,FIELD,DEV00131,Asia/Kolkata,2026-03-07 11:48:55,55,2026-03-07 07:25:42,2026-03-07 11:48:55,263.21666666666664,False
SES0000056,AGT0000325,2026-01-18 01:52:45,VOICE,DEV00375,Asia/Kolkata,2026-01-18 07:24:46,56,2026-01-18 01:52:45,2026-01-18 07:24:46,332.01666666666665,False
SES0000057,AGT0000201,2026-07-16 17:51:44,FIELD,DEV00070,UTC,2026-07-17 00:54:26,57,2026-07-16 17:51:44,2026-07-17 00:54:26,422.7,False
SES0000058,AGT0000428,2026-02-18 15:53:15,WHATSAPP,DEV00444,Asia/Kolkata,2026-02-18 23:22:31,58,2026-02-18 15:53:15,2026-02-18 23:22:31,449.26666666666665,False
SES0000059,AGT0000342,2026-05-30 03:35:50,FIELD,DEV00004,UTC,2026-05-30 04:53:42,59,2026-05-30 03:35:50,2026-05-30 04:53:42,77.86666666666666,False
SES0000060,AGT0000532,2026-06-24 00:31:20,VOICE,DEV00005,UTC,2026-06-24 03:38:19,60,2026-06-24 00:31:20,2026-06-24 03:38:19,186.98333333333332,False
SES0000061,AGT0000209,2026-04-21 04:40:39,SMS,DEV01134,Asia/Kolkata,2026-04-21 07:37:03,61,2026-04-21 04:40:39,2026-04-21 07:37:03,176.4,False
SES0000062,AGT0000507,2026-07-01 18:50:08,FIELD,DEV00743,Asia/Kolkata,2026-07-02 03:09:02,62,2026-07-01 18:50:08,2026-07-02 03:09:02,498.9,False
SES0000063,AGT0000651,2026-05-16 22:06:44,WHATSAPP,DEV00976,Asia/Kolkata,2026-05-17 00:47:59,63,2026-05-16 22:06:44,2026-05-17 00:47:59,161.25,False
SES0000064,AGT0000894,2026-05-31 03:59:20,FIELD,DEV01499,Asia/Kolkata,2026-05-31 05:47:49,64,2026-05-31 03:59:20,2026-05-31 05:47:49,108.48333333333333,False
SES0000065,AGT0000447,2026-06-04 20:28:05,VOICE,DEV00861,UTC,2026-06-05 02:06:21,65,2026-06-04 20:28:05,2026-06-05 02:06:21,338.26666666666665,False
SES0000066,AGT0000380,2026-01-02 23:24:32,FIELD,DEV01026,Asia/Kolkata,2026-01-03 03:19:55,66,2026-01-02 23:24:32,2026-01-03 03:19:55,235.38333333333333,False
SES0000067,AGT0000926,2026-05-21 07:52:07,VOICE,DEV01439,UTC,2026-05-21 11:52:13,67,2026-05-21 07:52:07,2026-05-21 11:52:13,240.1,False
SES0000068,AGT0000729,2026-03-23 23:32:38,WHATSAPP,DEV00081,UTC,2026-03-24 05:16:47,68,2026-03-23 23:32:38,2026-03-24 05:16:47,344.15,False
SES0000069,AGT0000778,2026-06-17 23:48:42,VOICE,DEV01354,UTC,2026-06-18 06:33:29,69,2026-06-17 23:48:42,2026-06-18 06:33:29,404.78333333333336,False
SES0000070,AGT0000783,2026-04-25 11:35:47,SMS,DEV00027,UTC,2026-04-25 14:02:27,70,2026-04-25 11:35:47,2026-04-25 14:02:27,146.66666666666666,False
SES0000071,AGT0000343,2026-04-29 10:54:03,WHATSAPP,DEV00558,Asia/Kolkata,2026-04-29 19:18:09,71,2026-04-29 10:54:03,2026-04-29 19:18:09,504.1,False
SES0000072,AGT0000980,2026-06-22 06:00:03,VOICE,DEV00419,Asia/Kolkata,2026-06-22 07:26:20,72,2026-06-22 06:00:03,2026-06-22 07:26:20,86.28333333333333,False
SES0000073,AGT0000279,2026-03-13 09:01:55,SMS,DEV00781,Asia/Kolkata,2026-03-13 16:14:19,73,2026-03-13 09:01:55,2026-03-13 16:14:19,432.4,False
SES0000074,AGT0000531,2026-05-04 18:56:57,VOICE,DEV01353,UTC,2026-05-04 23:59:14,74,2026-05-04 18:56:57,2026-05-04 23:59:14,302.28333333333336,False
SES0000075,AGT0000212,2026-05-12 16:55:26,VOICE,DEV01072,Asia/Kolkata,2026-05-12 19:48:25,75,2026-05-12 16:55:26,2026-05-12 19:48:25,172.98333333333332,False
SES0000076,AGT0000257,2026-06-29 22:41:55,FIELD,DEV00178,UTC,2026-06-30 00:29:53,76,2026-06-29 22:41:55,2026-06-30 00:29:53,107.96666666666667,False
SES0000077,AGT0000986,2026-04-15 10:36:32,SMS,DEV01427,UTC,2026-04-15 11:19:15,77,2026-04-15 10:36:32,2026-04-15 11:19:15,42.71666666666667,False
SES0000078,AGT0000216,2026-04-26 11:55:52,FIELD,DEV00364,Asia/Kolkata,2026-04-26 17:00:50,78,2026-04-26 11:55:52,2026-04-26 17:00:50,304.96666666666664,False
SES0000079,AGT0000181,2026-03-26 15:13:19,VOICE,DEV00621,UTC,2026-03-26 16:09:10,79,2026-03-26 15:13:19,2026-03-26 16:09:10,55.85,False
SES0000080,AGT0000964,2026-05-28 06:37:54,FIELD,DEV00584,UTC,2026-05-28 10:37:53,80,2026-05-28 06:37:54,2026-05-28 10:37:53,239.98333333333332,False
SES0000081,AGT0000025,2026-03-27 22:28:51,FIELD,DEV01151,Asia/Kolkata,2026-03-28 00:24:47,81,2026-03-27 22:28:51,2026-03-28 00:24:47,115.93333333333334,False
SES0000082,AGT0000557,2026-06-18 07:26:55,FIELD,DEV01412,Asia/Kolkata,2026-06-18 08:09:00,82,2026-06-18 07:26:55,2026-06-18 08:09:00,42.083333333333336,False
SES0000083,AGT0000369,2026-07-25 04:00:54,SMS,DEV01223,UTC,2026-07-25 11:24:18,83,2026-07-25 04:00:54,2026-07-25 11:24:18,443.4,False
SES0000084,AGT0000382,2026-02-25 11:41:08,VOICE,DEV00581,UTC,2026-02-25 15:01:57,84,2026-02-25 11:41:08,2026-02-25 15:01:57,200.81666666666666,False
SES0000085,AGT0000765,2026-05-28 17:17:17,VOICE,DEV01146,Asia/Kolkata,2026-05-29 01:03:22,85,2026-05-28 17:17:17,2026-05-29 01:03:22,466.0833333333333,False
SES0000086,AGT0000877,2026-05-04 06:44:40,SMS,DEV00811,Asia/Kolkata,2026-05-04 16:35:01,86,2026-05-04 06:44:40,2026-05-04 16:35:01,590.35,False
SES0000087,AGT0000398,2026-05-21 12:25:54,FIELD,DEV01447,UTC,2026-05-21 20:40:13,87,2026-05-21 12:25:54,2026-05-21 20:40:13,494.31666666666666,False
SES0000088,AGT0000349,2026-05-29 23:14:18,FIELD,DEV01428,UTC,2026-05-30 01:19:40,88,2026-05-29 23:14:18,2026-05-30 01:19:40,125.36666666666666,False
SES0000089,AGT0000473,2026-03-01 14:05:08,SMS,DEV00879,UTC,2026-03-01 15:18:23,89,2026-03-01 14:05:08,2026-03-01 15:18:23,73.25,False
SES0000090,AGT0000838,2026-04-22 00:29:50,SMS,DEV00606,UTC,2026-04-22 04:14:07,90,2026-04-22 00:29:50,2026-04-22 04:14:07,224.28333333333333,False
SES0000091,AGT0000031,2026-07-27 05:00:33,VOICE,DEV01461,Asia/Kolkata,2026-07-27 14:23:15,91,2026-07-27 05:00:33,2026-07-27 14:23:15,562.7,False
SES0000092,AGT0000278,2026-08-01 23:04:03,FIELD,DEV00442,UTC,2026-08-02 03:53:28,92,2026-08-01 23:04:03,2026-08-02 03:53:28,289.4166666666667,False
SES0000093,AGT0000805,2026-01-19 13:49:18,VOICE,DEV00882,Asia/Kolkata,2026-01-19 15:48:10,93,2026-01-19 13:49:18,2026-01-19 15:48:10,118.86666666666666,False
SES0000094,AGT0000783,2026-04-25 06:07:16,SMS,DEV01420,UTC,2026-04-25 09:34:08,94,2026-04-25 06:07:16,2026-04-25 09:34:08,206.86666666666667,False
SES0000095,AGT0000776,2026-06-05 12:54:20,VOICE,DEV01039,UTC,2026-06-05 18:46:13,95,2026-06-05 12:54:20,2026-06-05 18:46:13,351.8833333333333,False
SES0000096,AGT0000367,2026-01-06 06:19:25,VOICE,DEV01488,Asia/Kolkata,2026-01-06 09:20:08,96,2026-01-06 06:19:25,2026-01-06 09:20:08,180.71666666666667,False
SES0000097,AGT0000967,2026-08-01 18:10:49,VOICE,DEV00485,Asia/Kolkata,2026-08-01 23:32:58,97,2026-08-01 18:10:49,2026-08-01 23:32:58,322.15,False
SES0000098,AGT0000441,2026-01-21 06:24:40,FIELD,DEV00054,Asia/Kolkata,2026-01-21 15:57:20,98,2026-01-21 06:24:40,2026-01-21 15:57:20,572.6666666666666,False
SES0000099,AGT0000630,2026-02-11 11:41:09,VOICE,DEV00466,UTC,2026-02-11 15:30:25,99,2026-02-11 11:41:09,2026-02-11 15:30:25,229.26666666666668,False
SES0000100,AGT0000564,2026-03-14 04:17:36,VOICE,DEV00906,Asia/Kolkata,2026-03-14 06:04:49,100,2026-03-14 04:17:36,2026-03-14 06:04:49,107.21666666666667,False
SES0000101,AGT0000870,2026-02-27 14:42:52,WHATSAPP,DEV01066,Asia/Kolkata,2026-02-27 23:14:17,101,2026-02-27 14:42:52,2026-02-27 23:14:17,511.4166666666667,False
SES0000102,AGT0000473,2026-01-17 06:29:19,SMS,DEV00877,UTC,2026-01-17 15:37:12,102,2026-01-17 06:29:19,2026-01-17 15:37:12,547.8833333333333,False
SES0000103,AGT0000681,2026-03-22 23:37:42,VOICE,DEV01272,UTC,2026-03-23 02:52:15,103,2026-03-22 23:37:42,2026-03-23 02:52:15,194.55,False
SES0000104,AGT0000560,2026-07-18 03:19:56,WHATSAPP,DEV01024,UTC,2026-07-18 08:40:25,104,2026-07-18 03:19:56,2026-07-18 08:40:25,320.48333333333335,False
SES0000105,AGT0000760,2026-08-04 17:42:04,VOICE,DEV00285,UTC,2026-08-04 20:22:01,105,2026-08-04 17:42:04,2026-08-04 20:22:01,159.95,False
SES0000106,AGT0000119,2026-04-17 12:39:44,FIELD,DEV00115,UTC,2026-04-17 21:29:41,106,2026-04-17 12:39:44,2026-04-17 21:29:41,529.95,False
SES0000107,AGT0000052,2026-07-02 10:13:06,VOICE,DEV00856,UTC,2026-07-02 16:35:01,107,2026-07-02 10:13:06,2026-07-02 16:35:01,381.9166666666667,False
SES0000108,AGT0000754,2026-07-01 17:46:37,FIELD,DEV00128,Asia/Kolkata,2026-07-02 02:45:47,108,2026-07-01 17:46:37,2026-07-02 02:45:47,539.1666666666666,False
SES0000109,AGT0000242,2026-04-14 22:53:05,SMS,DEV00152,UTC,2026-04-15 08:15:37,109,2026-04-14 22:53:05,2026-04-15 08:15:37,562.5333333333333,False
SES0000110,AGT0000270,2026-07-26 03:21:05,SMS,DEV00061,UTC,2026-07-26 06:23:12,110,2026-07-26 03:21:05,2026-07-26 06:23:12,182.11666666666667,False
SES0000111,AGT0000405,2026-03-05 00:06:13,WHATSAPP,DEV00449,UTC,2026-03-05 09:56:39,111,2026-03-05 00:06:13,2026-03-05 09:56:39,590.4333333333333,False
SES0000112,AGT0000108,2026-04-28 23:52:41,SMS,DEV01204,Asia/Kolkata,2026-04-29 08:13:18,112,2026-04-28 23:52:41,2026-04-29 08:13:18,500.6166666666667,False
SES0000113,AGT0000776,2026-07-16 07:27:40,SMS,DEV00755,Asia/Kolkata,2026-07-16 08:24:58,113,2026-07-16 07:27:40,2026-07-16 08:24:58,57.3,False
SES0000114,AGT0000264,2026-04-26 05:52:19,FIELD,DEV00940,Asia/Kolkata,2026-04-26 13:46:51,114,2026-04-26 05:52:19,2026-04-26 13:46:51,474.53333333333336,False
SES0000115,AGT0000338,2026-05-24 02:16:44,VOICE,DEV00415,UTC,2026-05-24 05:39:24,115,2026-05-24 02:16:44,2026-05-24 05:39:24,202.66666666666666,False
SES0000116,AGT0000793,2026-02-15 10:39:27,VOICE,DEV01235,UTC,2026-02-15 17:57:13,116,2026-02-15 10:39:27,2026-02-15 17:57:13,437.76666666666665,False
SES0000117,AGT0000179,2026-06-28 00:44:23,SMS,DEV00359,UTC,2026-06-28 06:05:53,117,2026-06-28 00:44:23,2026-06-28 06:05:53,321.5,False
SES0000118,AGT0000366,2026-04-27 11:33:24,VOICE,DEV01115,UTC,2026-04-27 14:59:22,118,2026-04-27 11:33:24,2026-04-27 14:59:22,205.96666666666667,False
SES0000119,AGT0000616,2026-04-12 19:26:21,WHATSAPP,DEV01295,UTC,2026-04-13 00:20:20,119,2026-04-12 19:26:21,2026-04-13 00:20:20,293.98333333333335,False
SES0000120,AGT0000077,2026-05-09 09:13:29,SMS,DEV00841,Asia/Kolkata,2026-05-09 13:49:51,120,2026-05-09 09:13:29,2026-05-09 13:49:51,276.3666666666667,False
SES0000121,AGT0000033,2026-01-30 06:02:01,FIELD,DEV00088,Asia/Kolkata,2026-01-30 15:00:25,121,2026-01-30 06:02:01,2026-01-30 15:00:25,538.4,False
SES0000122,AGT0000064,2026-01-25 04:03:09,VOICE,DEV00489,UTC,2026-01-25 12:54:52,122,2026-01-25 04:03:09,2026-01-25 12:54:52,531.7166666666667,False
SES0000123,AGT0000815,2026-06-05 05:51:48,WHATSAPP,DEV01308,Asia/Kolkata,2026-06-05 06:44:23,123,2026-06-05 05:51:48,2026-06-05 06:44:23,52.583333333333336,False
SES0000124,AGT0000423,2026-07-11 12:02:55,FIELD,DEV00443,UTC,2026-07-11 16:38:35,124,2026-07-11 12:02:55,2026-07-11 16:38:35,275.6666666666667,False
SES0000125,AGT0000304,2026-03-20 18:55:44,SMS,DEV01296,Asia/Kolkata,2026-03-20 22:35:25,125,2026-03-20 18:55:44,2026-03-20 22:35:25,219.68333333333334,False
SES0000126,AGT0000658,2026-07-12 23:05:17,VOICE,DEV00181,UTC,2026-07-13 02:17:22,126,2026-07-12 23:05:17,2026-07-13 02:17:22,192.08333333333334,False
SES0000127,AGT0000496,2026-01-14 03:37:10,SMS,DEV01411,UTC,2026-01-14 05:44:23,127,2026-01-14 03:37:10,2026-01-14 05:44:23,127.21666666666667,False
SES0000128,AGT0000263,2026-02-26 15:20:52,SMS,DEV00226,Asia/Kolkata,2026-02-26 18:00:36,128,2026-02-26 15:20:52,2026-02-26 18:00:36,159.73333333333332,False
SES0000129,AGT0000672,2026-01-06 12:36:49,WHATSAPP,DEV01078,Asia/Kolkata,2026-01-06 21:15:51,129,2026-01-06 12:36:49,2026-01-06 21:15:51,519.0333333333333,False
SES0000130,AGT0000065,2026-05-28 15:04:24,FIELD,DEV01469,Asia/Kolkata,2026-05-28 16:59:56,130,2026-05-28 15:04:24,2026-05-28 16:59:56,115.53333333333333,False
SES0000131,AGT0000937,2026-06-08 17:59:16,VOICE,DEV01294,Asia/Kolkata,2026-06-08 18:38:53,131,2026-06-08 17:59:16,2026-06-08 18:38:53,39.61666666666667,False
SES0000132,AGT0000190,2026-02-01 04:40:44,WHATSAPP,DEV00216,UTC,2026-02-01 14:34:17,132,2026-02-01 04:40:44,2026-02-01 14:34:17,593.55,False
SES0000133,AGT0000478,2026-06-15 09:53:46,VOICE,DEV00158,UTC,2026-06-15 16:06:55,133,2026-06-15 09:53:46,2026-06-15 16:06:55,373.15,False
SES0000134,AGT0000256,2026-06-19 07:34:43,SMS,DEV01385,Asia/Kolkata,2026-06-19 12:21:46,134,2026-06-19 07:34:43,2026-06-19 12:21:46,287.05,False
SES0000135,AGT0000095,2026-02-28 23:08:14,WHATSAPP,DEV00389,Asia/Kolkata,2026-03-01 06:16:34,135,2026-02-28 23:08:14,2026-03-01 06:16:34,428.3333333333333,False
SES0000136,AGT0000419,2026-03-28 15:13:33,SMS,DEV01167,UTC,2026-03-28 19:16:42,136,2026-03-28 15:13:33,2026-03-28 19:16:42,243.15,False
SES0000137,AGT0000911,2026-03-28 10:24:04,WHATSAPP,DEV00229,UTC,2026-03-28 11:46:23,137,2026-03-28 10:24:04,2026-03-28 11:46:23,82.31666666666666,False
SES0000138,AGT0000033,2026-03-19 23:54:50,FIELD,DEV00993,Asia/Kolkata,2026-03-20 00:46:05,138,2026-03-19 23:54:50,2026-03-20 00:46:05,51.25,False
SES0000139,AGT0000789,2026-03-18 06:54:22,VOICE,DEV01090,UTC,2026-03-18 08:59:55,139,2026-03-18 06:54:22,2026-03-18 08:59:55,125.55,False
SES0000140,AGT0000591,2026-03-08 03:18:01,VOICE,DEV01225,UTC,2026-03-08 05:34:40,140,2026-03-08 03:18:01,2026-03-08 05:34:40,136.65,False
SES0000141,AGT0000594,2026-06-05 09:19:52,SMS,DEV00777,UTC,2026-06-05 10:08:33,141,2026-06-05 09:19:52,2026-06-05 10:08:33,48.68333333333333,False
SES0000142,AGT0000124,2026-03-10 05:12:19,FIELD,DEV00757,UTC,2026-03-10 13:00:39,142,2026-03-10 05:12:19,2026-03-10 13:00:39,468.3333333333333,False
SES0000143,AGT0000125,2026-03-27 23:35:59,WHATSAPP,DEV00353,Asia/Kolkata,2026-03-28 01:36:30,143,2026-03-27 23:35:59,2026-03-28 01:36:30,120.51666666666667,False
SES0000144,AGT0000882,2026-04-16 16:08:36,WHATSAPP,DEV01000,UTC,2026-04-17 01:50:26,144,2026-04-16 16:08:36,2026-04-17 01:50:26,581.8333333333334,False
SES0000145,AGT0000960,2026-06-07 05:37:32,FIELD,DEV01067,Asia/Kolkata,2026-06-07 12:56:48,145,2026-06-07 05:37:32,2026-06-07 12:56:48,439.26666666666665,False
SES0000146,AGT0000054,2026-02-21 08:55:01,FIELD,DEV00201,UTC,2026-02-21 14:52:35,146,2026-02-21 08:55:01,2026-02-21 14:52:35,357.56666666666666,False
SES0000147,AGT0000848,2026-07-16 16:18:59,WHATSAPP,DEV00353,UTC,2026-07-16 23:01:56,147,2026-07-16 16:18:59,2026-07-16 23:01:56,402.95,False
