target_id,account_id,campaign_id,target_date,priority,recommended_channel,status,_source_row_number,target_date_standardized,target_month,timestamp_parse_failed,unknown_campaign_flag
TGT0000061,ACC0027221,CMP0000006,2026-02-20,6,FIELD,QUEUED,61,2026-02-20,2026-02,False,False
TGT0000062,ACC0014935,CMP0000024,2026-04-20,4,FIELD,CONTACTED,62,2026-04-20,2026-04,False,False
TGT0000063,ACC0028236,CMP0000117,2026-02-02,2,WHATSAPP,SKIPPED,63,2026-02-02,2026-02,False,False
TGT0000064,ACC0027869,CMP0000113,2026-03-13,2,SMS,QUEUED,64,2026-03-13,2026-03,False,False
TGT0000065,ACC0028757,CMP0000010,2026-08-01,3,VOICE,CONTACTED,65,2026-08-01,2026-08,False,False
TGT0000066,ACC0018568,CMP0000112,2026-07-25,1,WHATSAPP,CONTACTED,66,2026-07-25,2026-07,False,False
TGT0000067,ACC0008533,CMP0000112,2026-07-21,7,WHATSAPP,EXPIRED,67,2026-07-21,2026-07,False,False
TGT0000068,ACC0020808,CMP0000032,2026-01-04,8,WHATSAPP,SKIPPED,68,2026-01-04,2026-01,False,False
TGT0000069,ACC0020265,CMP0000083,2026-01-31,5,WHATSAPP,SKIPPED,69,2026-01-31,2026-01,False,False
TGT0000070,ACC0022262,CMP0000029,2026-04-09,3,VOICE,QUEUED,70,2026-04-09,2026-04,False,False
TGT0000071,ACC0026502,CMP0000038,2026-02-14,10,VOICE,CONTACTED,71,2026-02-14,2026-02,False,False
TGT0000072,ACC0001249,CMP0000083,2026-07-30,8,FIELD,EXPIRED,72,2026-07-30,2026-07,False,False
TGT0000073,ACC0027097,CMP0000077,2026-01-09,2,VOICE,CONTACTED,73,2026-01-09,2026-01,False,False
TGT0000074,ACC0015539,CMP0000119,2026-05-19,3,SMS,QUEUED,74,2026-05-19,2026-05,False,False
TGT0000075,ACC0029493,CMP0000102,2026-02-23,10,VOICE,QUEUED,75,2026-02-23,2026-02,False,False
TGT0000076,ACC0013701,CMP0000075,2026-06-30,5,FIELD,SKIPPED,76,2026-06-30,2026-06,False,False
TGT0000077,ACC0006977,CMP0000090,2026-06-18,4,FIELD,EXPIRED,77,2026-06-18,2026-06,False,False
TGT0000078,ACC0025217,CMP0000016,2026-07-24,1,VOICE,QUEUED,78,2026-07-24,2026-07,False,False
TGT0000079,ACC0000835,CMP0000051,2026-07-04,6,SMS,CONTACTED,79,2026-07-04,2026-07,False,False
TGT0000080,ACC0002355,CMP0000009,2026-01-14,8,VOICE,CONTACTED,80,2026-01-14,2026-01,False,False
TGT0000081,ACC0016460,CMP0000113,2026-03-02,8,VOICE,QUEUED,81,2026-03-02,2026-03,False,False
TGT0000082,ACC0024880,CMP0000088,2026-03-27,4,VOICE,SKIPPED,82,2026-03-27,2026-03,False,False
TGT0000083,ACC0024370,CMP0000082,2026-04-22,3,WHATSAPP,SKIPPED,83,2026-04-22,2026-04,False,False
TGT0000084,ACC0017364,CMP0000002,2026-02-08,1,FIELD,SKIPPED,84,2026-02-08,2026-02,False,False
TGT0000085,ACC0017983,CMP0000120,2026-05-16,2,FIELD,QUEUED,85,2026-05-16,2026-05,False,False
TGT0000086,ACC0009119,CMP0000015,2026-01-31,5,WHATSAPP,SKIPPED,86,2026-01-31,2026-01,False,False
TGT0000087,ACC0015518,CMP0000004,2026-02-05,9,FIELD,CONTACTED,87,2026-02-05,2026-02,False,False
TGT0000088,ACC0010125,CMP0000028,2026-04-03,9,SMS,CONTACTED,88,2026-04-03,2026-04,False,False
TGT0000089,ACC0025125,CMP0000011,2026-05-06,8,SMS,CONTACTED,89,2026-05-06,2026-05,False,False
TGT0000090,ACC0007438,CMP0000010,2026-07-31,7,VOICE,QUEUED,90,2026-07-31,2026-07,False,False
TGT0000091,ACC0017916,CMP0000017,2026-05-21,1,WHATSAPP,SKIPPED,91,2026-05-21,2026-05,False,False
TGT0000092,ACC0024142,CMP0000120,2026-07-27,10,FIELD,QUEUED,92,2026-07-27,2026-07,False,False
TGT0000093,ACC0029370,CMP0000095,2026-03-06,7,WHATSAPP,QUEUED,93,2026-03-06,2026-03,False,False
TGT0000094,ACC0027087,CMP0000114,2026-01-04,10,SMS,CONTACTED,94,2026-01-04,2026-01,False,False
TGT0000095,ACC0009149,CMP0000058,2026-02-02,3,WHATSAPP,SKIPPED,95,2026-02-02,2026-02,False,False
TGT0000096,ACC0002860,CMP0000042,2026-03-26,2,FIELD,CONTACTED,96,2026-03-26,2026-03,False,False
TGT0000097,ACC0019966,CMP0000105,2026-04-08,6,SMS,QUEUED,97,2026-04-08,2026-04,False,False
TGT0000098,ACC0021939,CMP0000029,2026-03-09,10,SMS,CONTACTED,98,2026-03-09,2026-03,False,False
TGT0000099,ACC0019711,CMP0000118,2026-02-02,10,SMS,CONTACTED,99,2026-02-02,2026-02,False,False
TGT0000100,ACC0029195,CMP0000117,2026-03-10,7,VOICE,SKIPPED,100,2026-03-10,2026-03,False,False
TGT0000101,ACC0019843,CMP0000103,2026-05-30,9,VOICE,EXPIRED,101,2026-05-30,2026-05,False,False
TGT0000102,ACC0004039,CMP0000069,2026-07-11,1,FIELD,SKIPPED,102,2026-07-11,2026-07,False,False
TGT0000103,ACC0018301,CMP0000110,2026-05-13,10,SMS,CONTACTED,103,2026-05-13,2026-05,False,False
TGT0000104,ACC0006431,CMP0000013,2026-03-28,8,SMS,SKIPPED,104,2026-03-28,2026-03,False,False
TGT0000105,ACC0010672,CMP0000036,2026-02-17,6,VOICE,CONTACTED,105,2026-02-17,2026-02,False,False
TGT0000106,ACC0028544,CMP0000074,2026-04-14,6,WHATSAPP,QUEUED,106,2026-04-14,2026-04,False,False
TGT0000107,ACC0002049,CMP0000083,2026-01-11,8,FIELD,EXPIRED,107,2026-01-11,2026-01,False,False
TGT0000108,ACC0016539,CMP0000110,2026-04-17,2,SMS,QUEUED,108,2026-04-17,2026-04,False,False
TGT0000109,ACC0020603,CMP0000022,2026-05-19,4,FIELD,EXPIRED,109,2026-05-19,2026-05,False,False
TGT0000110,ACC0005167,CMP0000103,2026-05-17,9,FIELD,EXPIRED,110,2026-05-17,2026-05,False,False
TGT0000111,ACC0003051,CMP0000067,2026-03-11,10,FIELD,EXPIRED,111,2026-03-11,2026-03,False,False
TGT0000112,ACC0001458,CMP0000103,2026-05-12,2,SMS,EXPIRED,112,2026-05-12,2026-05,False,False
TGT0000113,ACC0028734,CMP0000013,2026-05-01,10,WHATSAPP,QUEUED,113,2026-05-01,2026-05,False,False
TGT0000114,ACC0020235,CMP0000071,2026-03-29,2,VOICE,SKIPPED,114,2026-03-29,2026-03,False,False
TGT0000115,ACC0011649,CMP0000095,2026-07-22,9,WHATSAPP,QUEUED,115,2026-07-22,2026-07,False,False
TGT0000116,ACC0019165,CMP0000079,2026-05-07,5,FIELD,CONTACTED,116,2026-05-07,2026-05,False,False
TGT0000117,ACC0026476,CMP0000038,2026-04-15,5,SMS,QUEUED,117,2026-04-15,2026-04,False,False
TGT0000118,ACC0018931,CMP0000066,2026-04-10,5,VOICE,EXPIRED,118,2026-04-10,2026-04,False,False
TGT0000119,ACC0009950,CMP0000113,2026-06-20,1,WHATSAPP,QUEUED,119,2026-06-20,2026-06,False,False
TGT0000120,ACC0020188,CMP0000113,2026-07-25,7,WHATSAPP,SKIPPED,120,2026-07-25,2026-07,False,False
TGT0000121,ACC0016427,CMP0000054,2026-07-25,3,FIELD,QUEUED,121,2026-07-25,2026-07,False,False
TGT0000122,ACC0017013,CMP0000001,2026-04-03,7,VOICE,QUEUED,122,2026-04-03,2026-04,False,False
TGT0000123,ACC0025527,CMP0000068,2026-01-17,7,SMS,CONTACTED,123,2026-01-17,2026-01,False,False
TGT0000124,ACC0017206,CMP0000007,2026-02-13,7,SMS,SKIPPED,124,2026-02-13,2026-02,False,False
TGT0000125,ACC0029784,CMP0000077,2026-05-26,9,SMS,CONTACTED,125,2026-05-26,2026-05,False,False
TGT0000126,ACC0020371,CMP0000055,2026-07-26,1,FIELD,CONTACTED,126,2026-07-26,2026-07,False,False
TGT0000127,ACC0010389,CMP0000072,2026-03-17,4,SMS,CONTACTED,127,2026-03-17,2026-03,False,False
TGT0000128,ACC0010092,CMP0000100,2026-01-31,2,FIELD,SKIPPED,128,2026-01-31,2026-01,False,False
TGT0000129,ACC0029257,CMP0000016,2026-05-05,1,WHATSAPP,QUEUED,129,2026-05-05,2026-05,False,False
TGT0000130,ACC0015002,CMP0000019,2026-04-07,5,FIELD,CONTACTED,130,2026-04-07,2026-04,False,False
TGT0000131,ACC0005945,CMP0000075,2026-07-02,5,WHATSAPP,CONTACTED,131,2026-07-02,2026-07,False,False
TGT0000132,ACC0028124,CMP0000049,2026-04-27,8,WHATSAPP,SKIPPED,132,2026-04-27,2026-04,False,False
TGT0000133,ACC0003470,CMP0000057,2026-04-26,6,FIELD,CONTACTED,133,2026-04-26,2026-04,False,False
TGT0000134,ACC0001805,CMP0000088,2026-07-09,5,WHATSAPP,QUEUED,134,2026-07-09,2026-07,False,False
TGT0000135,ACC0014232,CMP0000058,2026-08-07,7,SMS,EXPIRED,135,2026-08-07,2026-08,False,False
TGT0000136,ACC0009745,CMP0000063,2026-06-21,4,SMS,SKIPPED,136,2026-06-21,2026-06,False,False
TGT0000137,ACC0028678,CMP0000033,2026-07-14,9,VOICE,SKIPPED,137,2026-07-14,2026-07,False,False
TGT0000138,ACC0018023,CMP0000018,2026-04-11,2,FIELD,CONTACTED,138,2026-04-11,2026-04,False,False
TGT0000139,ACC0008606,CMP0000059,2026-05-24,8,WHATSAPP,CONTACTED,139,2026-05-24,2026-05,False,False
TGT0000140,ACC0020763,CMP0000099,2026-06-15,5,WHATSAPP,CONTACTED,140,2026-06-15,2026-06,False,False
TGT0000141,ACC0013465,CMP0000109,2026-04-13,3,WHATSAPP,QUEUED,141,2026-04-13,2026-04,False,False
TGT0000142,ACC0028202,CMP0000062,2026-02-10,4,SMS,EXPIRED,142,2026-02-10,2026-02,False,False
TGT0000143,ACC0007835,CMP0000070,2026-02-12,9,FIELD,SKIPPED,143,2026-02-12,2026-02,False,False
TGT0000144,ACC0004306,CMP0000047,2026-04-27,3,FIELD,CONTACTED,144,2026-04-27,2026-04,False,False
TGT0000145,ACC0000843,CMP0000026,2026-03-12,1,FIELD,QUEUED,145,2026-03-12,2026-03,False,False
TGT0000146,ACC0019504,CMP0000067,2026-04-08,3,FIELD,CONTACTED,146,2026-04-08,2026-04,False,False
TGT0000147,ACC0022150,CMP0000096,2026-01-13,4,SMS,CONTACTED,147,2026-01-13,2026-01,False,False
TGT0000148,ACC0016316,CMP0000023,2026-02-05,10,WHATSAPP,CONTACTED,148,2026-02-05,2026-02,False,False
TGT0000149,ACC0006487,CMP0000070,2026-05-14,6,WHATSAPP,QUEUED,149,2026-05-14,2026-05,False,False
TGT0000150,ACC0024003,CMP0000098,2026-06-15,9,WHATSAPP,SKIPPED,150,2026-06-15,2026-06,False,False
TGT0000151,ACC0014545,CMP0000032,2026-06-03,1,WHATSAPP,EXPIRED,151,2026-06-03,2026-06,False,False
TGT0000152,ACC0021803,CMP0000048,2026-07-31,6,FIELD,QUEUED,152,2026-07-31,2026-07,False,False
TGT0000153,ACC0001293,CMP0000001,2026-01-13,8,WHATSAPP,QUEUED,153,2026-01-13,2026-01,False,False
TGT0000154,ACC0029972,CMP0000074,2026-04-11,10,WHATSAPP,EXPIRED,154,2026-04-11,2026-04,False,False
TGT0000155,ACC0016777,CMP0000088,2026-05-16,10,SMS,QUEUED,155,2026-05-16,2026-05,False,False
TGT0000156,ACC0028917,CMP0000026,2026-02-23,9,WHATSAPP,CONTACTED,156,2026-02-23,2026-02,False,False
TGT0000157,ACC0012945,CMP0000016,2026-03-08,1,FIELD,CONTACTED,157,2026-03-08,2026-03,False,False
TGT0000158,ACC0012987,CMP0000022,2026-02-15,5,VOICE,SKIPPED,158,2026-02-15,2026-02,False,False
TGT0000159,ACC0011024,CMP0000050,2026-05-08,6,VOICE,QUEUED,159,2026-05-08,2026-05,False,False
TGT0000160,ACC0021733,CMP0000020,2026-01-01,2,VOICE,CONTACTED,160,2026-01-01,2026-01,False,False
TGT0000161,ACC0028042,CMP0000046,2026-07-27,3,WHATSAPP,CONTACTED,161,2026-07-27,2026-07,False,False
TGT0000162,ACC0018197,CMP0000105,2026-06-23,3,WHATSAPP,CONTACTED,162,2026-06-23,2026-06,False,False
TGT0000163,ACC0010326,CMP0000060,2026-04-04,4,FIELD,SKIPPED,163,2026-04-04,2026-04,False,False
TGT0000164,ACC0005962,CMP0000034,2026-04-19,7,VOICE,EXPIRED,164,2026-04-19,2026-04,False,False
TGT0000165,ACC0010230,CMP0000016,2026-01-21,7,WHATSAPP,EXPIRED,165,2026-01-21,2026-01,False,False
TGT0000166,ACC0029072,CMP0000018,2026-01-01,7,FIELD,EXPIRED,166,2026-01-01,2026-01,False,False
TGT0000167,ACC0000471,CMP0000030,2026-07-31,9,WHATSAPP,CONTACTED,167,2026-07-31,2026-07,False,False
TGT0000168,ACC0018191,CMP0000016,2026-03-09,5,FIELD,SKIPPED,168,2026-03-09,2026-03,False,False
TGT0000169,ACC0004946,CMP0000112,2026-05-16,7,FIELD,EXPIRED,169,2026-05-16,2026-05,False,False
TGT0000170,ACC0017995,CMP0000049,2026-02-24,1,FIELD,EXPIRED,170,2026-02-24,2026-02,False,False
TGT0000171,ACC0011187,CMP0000062,2026-07-31,6,VOICE,CONTACTED,171,2026-07-31,2026-07,False,False
TGT0000172,ACC0000437,CMP0000081,2026-03-09,1,FIELD,EXPIRED,172,2026-03-09,2026-03,False,False
TGT0000173,ACC0016384,CMP0000043,2026-01-04,4,WHATSAPP,QUEUED,173,2026-01-04,2026-01,False,False
TGT0000174,ACC0005935,CMP0000111,2026-03-29,3,SMS,EXPIRED,174,2026-03-29,2026-03,False,False
TGT0000175,ACC0006839,CMP0000048,2026-02-03,4,SMS,CONTACTED,175,2026-02-03,2026-02,False,False
TGT0000176,ACC0020879,CMP0000014,2026-05-20,6,VOICE,CONTACTED,176,2026-05-20,2026-05,False,False
TGT0000177,ACC0008133,CMP0000101,2026-06-22,8,SMS,CONTACTED,177,2026-06-22,2026-06,False,False
TGT0000178,ACC0029793,CMP0000097,2026-06-06,6,WHATSAPP,QUEUED,178,2026-06-06,2026-06,False,False
TGT0000179,ACC0028109,CMP0000057,2026-07-03,2,WHATSAPP,SKIPPED,179,2026-07-03,2026-07,False,False
TGT0000180,ACC0008368,CMP0000019,2026-03-04,9,VOICE,QUEUED,180,2026-03-04,2026-03,False,False
TGT0000181,ACC0007604,CMP0000059,2026-07-14,4,SMS,QUEUED,181,2026-07-14,2026-07,False,False
TGT0000182,ACC0011219,CMP0000057,2026-06-15,4,VOICE,SKIPPED,182,2026-06-15,2026-06,False,False
TGT0000183,ACC0023174,CMP0000031,2026-02-26,10,WHATSAPP,CONTACTED,183,2026-02-26,2026-02,False,False
TGT0000184,ACC0013469,CMP0000019,2026-06-01,4,VOICE,QUEUED,184,2026-06-01,2026-06,False,False
TGT0000185,ACC0018505,CMP0000035,2026-01-15,9,VOICE,CONTACTED,185,2026-01-15,2026-01,False,False
TGT0000186,ACC0012473,CMP0000098,2026-07-26,3,SMS,SKIPPED,186,2026-07-26,2026-07,False,False
TGT0000187,ACC0008411,CMP0000032,2026-03-26,6,FIELD,QUEUED,187,2026-03-26,2026-03,False,False
TGT0000188,ACC0022623,CMP0000052,2026-03-21,5,FIELD,SKIPPED,188,2026-03-21,2026-03,False,False
TGT0000189,ACC0002547,CMP0000043,2026-06-07,8,WHATSAPP,QUEUED,189,2026-06-07,2026-06,False,False
TGT0000190,ACC0018064,CMP0000072,2026-01-29,3,SMS,EXPIRED,190,2026-01-29,2026-01,False,False
TGT0000191,ACC0022455,CMP0000053,2026-02-08,4,FIELD,CONTACTED,191,2026-02-08,2026-02,False,False
TGT0000192,ACC0004936,CMP0000101,2026-06-12,4,FIELD,QUEUED,192,2026-06-12,2026-06,False,False
TGT0000193,ACC0023932,CMP0000078,2026-06-11,2,WHATSAPP,CONTACTED,193,2026-06-11,2026-06,False,False
TGT0000194,ACC0021040,CMP0000079,2026-07-31,4,VOICE,EXPIRED,194,2026-07-31,2026-07,False,False
TGT0000195,ACC0018761,CMP0000027,2026-06-08,2,VOICE,SKIPPED,195,2026-06-08,2026-06,False,False
TGT0000196,ACC0027639,CMP0000019,2026-02-11,5,VOICE,CONTACTED,196,2026-02-11,2026-02,False,False
TGT0000197,ACC0009064,CMP0000090,2026-03-08,9,VOICE,CONTACTED,197,2026-03-08,2026-03,False,False
TGT0000198,ACC0003244,CMP0000072,2026-04-15,4,VOICE,CONTACTED,198,2026-04-15,2026-04,False,False
TGT0000199,ACC0015409,CMP0000096,2026-07-07,9,VOICE,QUEUED,199,2026-07-07,2026-07,False,False
TGT0000200,ACC0009490,CMP0000052,2026-08-08,8,WHATSAPP,EXPIRED,200,2026-08-08,2026-08,False,False
TGT0000201,ACC0025123,CMP0000056,2026-01-15,3,WHATSAPP,SKIPPED,201,2026-01-15,2026-01,False,False
TGT0000202,ACC0026754,CMP0000075,2026-03-05,8,SMS,QUEUED,202,2026-03-05,2026-03,False,False
TGT0000203,ACC0014651,CMP0000094,2026-08-03,8,SMS,CONTACTED,203,2026-08-03,2026-08,False,False
TGT0000204,ACC0005444,CMP0000051,2026-06-26,7,SMS,CONTACTED,204,2026-06-26,2026-06,False,False
TGT0000205,ACC0027342,CMP0000070,2026-04-22,1,SMS,QUEUED,205,2026-04-22,2026-04,False,False
TGT0000206,ACC0001821,CMP0000106,2026-01-15,10,VOICE,EXPIRED,206,2026-01-15,2026-01,False,False
TGT0000207,ACC0020365,CMP0000045,2026-05-20,3,WHATSAPP,EXPIRED,207,2026-05-20,2026-05,False,False
TGT0000208,ACC0023596,CMP0000109,2026-04-02,3,WHATSAPP,EXPIRED,208,2026-04-02,2026-04,False,False
TGT0000209,ACC0005489,CMP0000051,2026-02-14,7,FIELD,EXPIRED,209,2026-02-14,2026-02,False,False
TGT0000210,ACC0024414,CMP0000065,2026-01-20,8,SMS,CONTACTED,210,2026-01-20,2026-01,False,False
TGT0000211,ACC0021243,CMP0000005,2026-03-20,3,VOICE,EXPIRED,211,2026-03-20,2026-03,False,False
TGT0000212,ACC0000342,CMP0000100,2026-02-16,8,WHATSAPP,SKIPPED,212,2026-02-16,2026-02,False,False
TGT0000213,ACC0012816,CMP0000111,2026-04-12,4,WHATSAPP,EXPIRED,213,2026-04-12,2026-04,False,False
TGT0000214,ACC0025107,CMP0000090,2026-07-05,9,SMS,QUEUED,214,2026-07-05,2026-07,False,False
TGT0000215,ACC0020444,CMP0000062,2026-03-30,7,VOICE,CONTACTED,215,2026-03-30,2026-03,False,False
TGT0000216,ACC0017698,CMP0000074,2026-04-23,5,VOICE,EXPIRED,216,2026-04-23,2026-04,False,False
TGT0000217,ACC0015939,CMP0000071,2026-05-10,4,WHATSAPP,QUEUED,217,2026-05-10,2026-05,False,False
TGT0000218,ACC0029381,CMP0000091,2026-04-25,3,SMS,QUEUED,218,2026-04-25,2026-04,False,False
TGT0000219,ACC0015994,CMP0000108,2026-05-03,3,WHATSAPP,CONTACTED,219,2026-05-03,2026-05,False,False
TGT0000220,ACC0020161,CMP0000006,2026-01-22,2,VOICE,EXPIRED,220,2026-01-22,2026-01,False,False
TGT0000221,ACC0008016,CMP0000092,2026-07-01,7,VOICE,QUEUED,221,2026-07-01,2026-07,False,False
TGT0000222,ACC0010625,CMP0000042,2026-04-21,6,SMS,CONTACTED,222,2026-04-21,2026-04,False,False
TGT0000223,ACC0008491,CMP0000100,2026-06-20,5,FIELD,EXPIRED,223,2026-06-20,2026-06,False,False
TGT0000224,ACC0002884,CMP0000065,2026-04-28,2,WHATSAPP,SKIPPED,224,2026-04-28,2026-04,False,False
TGT0000225,ACC0026261,CMP0000120,2026-02-13,4,WHATSAPP,CONTACTED,225,2026-02-13,2026-02,False,False
TGT0000226,ACC0008561,CMP0000107,2026-03-19,9,FIELD,QUEUED,226,2026-03-19,2026-03,False,False
TGT0000227,ACC0022932,CMP0000093,2026-01-01,1,VOICE,EXPIRED,227,2026-01-01,2026-01,False,False
TGT0000228,ACC0005471,CMP0000056,2026-02-28,3,WHATSAPP,EXPIRED,228,2026-02-28,2026-02,False,False
TGT0000229,ACC0008384,CMP0000099,2026-04-03,1,WHATSAPP,SKIPPED,229,2026-04-03,2026-04,False,False
