account_id,borrower_id,loan_type,principal_amount,outstanding_amount,dpd,risk_segment,status,payment_count,total_payment_amount,recovered_account,total_calls,total_call_duration_sec,total_attempts,disposition_events,call_campaign_count,vendor_count,agent_count,targeting_events,targeting_campaigns,call_exposed,attempt_exposed,targeted_account
ACC0000055,BRW0000196,AUTO,164530.91,612365.44,45,LOW,ACTIVE,0,0.0,0,2,1060,6,0,2,2,2,1,1,1,1,1
ACC0000056,BRW0008514,CONSUMER,630047.3,374086.74,75,NPA,ACTIVE,1,81814.0,1,5,2218,6,1,5,3,5,1,1,1,1,1
ACC0000057,BRW0003852,PERSONAL,259186.37,318116.64,180,HIGH,PAID,0,0.0,0,6,3349,5,1,6,4,6,2,2,1,1,1
ACC0000058,BRW0003122,PERSONAL,678999.75,341297.86,30,MEDIUM,CLOSED,1,36374.19,0,2,711,4,1,2,2,2,2,2,1,1,1
ACC0000059,BRW0000845,PERSONAL,788593.05,320475.94,120,LOW,WRITEOFF,0,0.0,0,1,560,7,2,1,1,1,0,0,1,1,0
ACC0000060,BRW0003417,CONSUMER,11853.31,55517.34,90,MEDIUM,WRITEOFF,0,0.0,0,3,1535,6,1,3,2,3,0,0,1,1,0
ACC0000061,BRW0005792,CREDIT_CARD,175653.23,212611.44,60,HIGH,CLOSED,1,100529.08,1,0,0,2,0,0,0,0,2,2,0,1,1
ACC0000062,BRW0006847,CREDIT_CARD,753040.12,374609.37,1,LOW,WRITEOFF,0,0.0,0,5,2663,2,3,5,5,5,1,1,1,1,1
ACC0000063,BRW0003401,AUTO,78189.36,681318.89,45,LOW,CLOSED,0,0.0,0,3,1264,3,2,3,3,3,2,2,1,1,1
ACC0000064,BRW0010395,CREDIT_CARD,523632.76,422050.66,90,MEDIUM,CLOSED,0,0.0,0,2,321,0,1,2,2,2,2,2,1,0,1
ACC0000065,BRW0001389,AUTO,158634.0,586399.27,75,MEDIUM,CLOSED,1,13911.32,0,3,1779,2,1,3,2,3,1,1,1,1,1
ACC0000066,BRW0002073,CONSUMER,305292.05,192035.08,0,HIGH,WRITEOFF,0,0.0,0,5,2782,0,1,5,4,5,1,1,1,0,1
ACC0000067,BRW0010480,CONSUMER,61609.85,659407.78,1,MEDIUM,WRITEOFF,2,125857.57,1,6,2612,2,1,6,4,5,1,1,1,1,1
ACC0000068,BRW0011116,CONSUMER,573340.01,646783.15,0,LOW,WRITEOFF,2,280607.95,1,2,836,2,0,2,1,2,2,2,1,1,1
ACC0000069,BRW0001302,PERSONAL,175340.78,37141.89,120,NPA,WRITEOFF,1,2701.59,1,4,1522,5,2,4,3,4,1,1,1,1,1
ACC0000070,BRW0001504,BNPL,317555.4,516746.28,5,LOW,CLOSED,3,232401.47999999998,1,2,185,1,0,2,2,2,2,2,1,1,1
ACC0000071,BRW0007455,CONSUMER,550060.49,75313.13,60,HIGH,WRITEOFF,1,82726.09,1,4,2140,3,2,4,4,4,0,0,1,1,0
ACC0000072,BRW0008777,CONSUMER,190260.07,561396.89,30,HIGH,WRITEOFF,0,0.0,0,4,1858,4,2,4,2,4,0,0,1,1,0
ACC0000073,BRW0008257,CREDIT_CARD,572555.92,187828.0,180,NPA,WRITEOFF,0,0.0,0,2,769,2,1,2,2,1,1,1,1,1,1
ACC0000074,BRW0009482,AUTO,665891.54,61324.97,0,MEDIUM,WRITEOFF,1,112086.4,1,3,1240,4,1,3,3,3,0,0,1,1,0
ACC0000075,BRW0004666,PERSONAL,677059.1,484217.05,60,LOW,WRITEOFF,0,0.0,0,2,1624,3,1,2,2,2,1,1,1,1,1
ACC0000076,BRW0011961,PERSONAL,439167.1,299260.83,30,MEDIUM,WRITEOFF,1,35486.82,0,4,1690,3,2,4,4,4,1,1,1,1,1
ACC0000077,BRW0001854,BNPL,43888.46,394798.52,30,MEDIUM,ACTIVE,0,0.0,0,5,2946,6,4,5,5,5,2,2,1,1,1
ACC0000078,BRW0002632,CREDIT_CARD,443498.5,388156.65,45,NPA,CLOSED,0,0.0,0,3,1288,1,0,3,3,3,1,1,1,1,1
ACC0000079,BRW0000891,CONSUMER,315782.22,696932.24,60,NPA,WRITEOFF,0,0.0,0,3,1631,7,3,3,3,3,2,2,1,1,1
ACC0000080,BRW0000553,BNPL,296150.23,468149.27,0,NPA,PAID,0,0.0,0,4,2838,1,1,4,4,4,3,3,1,1,1
ACC0000081,BRW0004659,PERSONAL,617670.19,156190.22,5,MEDIUM,CLOSED,1,94618.59,0,3,792,5,0,3,3,3,2,2,1,1,1
ACC0000082,BRW0001983,CONSUMER,455087.25,175812.11,5,NPA,ACTIVE,0,0.0,0,5,2715,4,2,5,4,5,1,1,1,1,1
ACC0000083,BRW0001404,BNPL,431739.57,95368.32,30,MEDIUM,ACTIVE,0,0.0,0,3,1383,2,1,3,3,3,3,3,1,1,1
ACC0000084,BRW0001684,BNPL,576787.66,662717.34,120,HIGH,CLOSED,2,96098.86,1,3,890,5,0,3,3,3,2,2,1,1,1
ACC0000085,BRW0010901,PERSONAL,331682.31,132875.13,5,NPA,CLOSED,0,0.0,0,3,781,4,1,3,3,3,0,0,1,1,0
ACC0000086,BRW0006116,CREDIT_CARD,278951.75,124807.97,15,LOW,ACTIVE,1,18292.25,1,4,1057,5,1,4,3,4,1,1,1,1,1
ACC0000087,BRW0003223,CONSUMER,24941.8,419043.04,90,MEDIUM,PAID,0,0.0,0,1,416,3,2,1,1,1,3,3,1,1,1
ACC0000088,BRW0008804,CONSUMER,82445.71,620729.25,15,MEDIUM,WRITEOFF,0,0.0,0,2,1131,4,1,2,2,2,1,1,1,1,1
ACC0000089,BRW0004758,CONSUMER,367061.39,352923.59,60,MEDIUM,CLOSED,2,239649.69,0,4,430,1,0,4,3,4,0,0,1,1,0
ACC0000090,BRW0010872,AUTO,607321.62,122162.41,30,LOW,PAID,1,51352.77,1,5,2209,4,3,5,5,5,2,2,1,1,1
ACC0000091,BRW0009073,PERSONAL,259568.07,175038.94,180,NPA,PAID,0,0.0,0,4,3128,6,0,4,3,4,0,0,1,1,0
ACC0000092,BRW0011413,CREDIT_CARD,314848.72,400731.17,120,MEDIUM,CLOSED,0,0.0,0,1,174,5,1,1,1,1,0,0,1,1,0
ACC0000093,BRW0006243,PERSONAL,401659.14,540876.53,15,HIGH,WRITEOFF,1,76806.42,1,4,1297,8,1,4,4,4,1,1,1,1,1
ACC0000094,BRW0004414,CREDIT_CARD,228023.21,639876.61,60,HIGH,ACTIVE,1,138499.52,0,2,1042,2,1,2,2,2,2,2,1,1,1
ACC0000095,BRW0008338,BNPL,13365.46,357400.09,75,HIGH,ACTIVE,0,0.0,0,1,305,2,0,1,1,1,2,2,1,1,1
ACC0000096,BRW0001576,PERSONAL,377277.35,567991.39,15,MEDIUM,WRITEOFF,1,104405.69,0,1,254,3,0,1,1,1,5,5,1,1,1
ACC0000097,BRW0007710,CONSUMER,350418.61,687977.06,1,NPA,ACTIVE,0,0.0,0,5,3508,4,1,5,4,5,5,5,1,1,1
ACC0000098,BRW0008480,AUTO,286032.66,653277.61,75,HIGH,PAID,0,0.0,0,6,1742,4,0,6,5,6,0,0,1,1,0
ACC0000099,BRW0006683,CREDIT_CARD,607352.93,237164.9,45,LOW,ACTIVE,1,73020.06,1,6,3233,3,1,6,5,6,2,2,1,1,1
ACC0000100,BRW0000847,CREDIT_CARD,23333.97,123723.83,1,LOW,WRITEOFF,0,0.0,0,3,1278,4,2,3,2,3,0,0,1,1,0
ACC0000101,BRW0009941,BNPL,105469.01,388304.18,15,LOW,ACTIVE,1,40706.49,0,2,284,1,1,2,2,2,1,1,1,1,1
ACC0000102,BRW0007850,AUTO,526293.53,5147.4,5,MEDIUM,CLOSED,4,398618.11,1,1,628,8,1,1,1,1,0,0,1,1,0
ACC0000103,BRW0004562,AUTO,388167.38,355473.4,180,HIGH,CLOSED,0,0.0,0,3,1469,4,0,3,3,3,1,1,1,1,1
ACC0000104,BRW0006523,CONSUMER,555130.3,178643.43,0,HIGH,CLOSED,0,0.0,0,8,3312,5,0,7,5,8,1,1,1,1,1
ACC0000105,BRW0000846,AUTO,99175.67,545375.05,90,NPA,CLOSED,1,4402.07,0,2,1466,0,1,2,2,2,2,2,1,0,1
ACC0000106,BRW0002319,BNPL,584099.99,504662.53,90,NPA,PAID,0,0.0,0,4,1673,4,0,4,4,4,1,1,1,1,1
ACC0000107,BRW0000800,AUTO,159480.73,20538.52,0,LOW,ACTIVE,1,92102.15,1,4,2692,3,1,4,4,4,1,1,1,1,1
ACC0000108,BRW0008648,BNPL,332144.01,359193.16,1,NPA,WRITEOFF,1,35942.76,0,3,592,5,1,3,3,3,0,0,1,1,0
ACC0000109,BRW0001180,PERSONAL,92174.93,357553.08,0,HIGH,ACTIVE,1,106402.6,1,2,500,9,2,2,2,2,1,1,1,1,1
ACC0000110,BRW0008335,CREDIT_CARD,211531.9,121513.53,90,HIGH,ACTIVE,1,93702.67,0,3,1084,3,0,3,3,3,0,0,1,1,0
ACC0000111,,AUTO,573347.79,512264.37,5,MEDIUM,PAID,2,203051.84,1,6,3324,5,2,6,5,6,1,1,1,1,1
ACC0000112,BRW0000325,AUTO,219453.71,298252.93,90,NPA,ACTIVE,1,89158.45,1,5,2139,3,1,5,5,5,1,1,1,1,1
ACC0000113,BRW0004594,BNPL,693271.61,322797.99,30,HIGH,WRITEOFF,1,17339.29,1,3,725,6,1,3,3,3,0,0,1,1,0
ACC0000114,BRW0010023,CREDIT_CARD,435378.17,57859.1,75,MEDIUM,WRITEOFF,0,0.0,0,3,1245,6,1,3,3,3,2,2,1,1,1
ACC0000115,BRW0002791,BNPL,412306.24,447187.05,60,HIGH,PAID,1,86309.24,1,3,2138,4,1,3,3,3,2,2,1,1,1
ACC0000116,BRW0010064,BNPL,310166.21,394440.34,75,HIGH,CLOSED,1,141328.63,0,7,4001,3,1,7,4,7,2,2,1,1,1
ACC0000117,,AUTO,597384.76,677879.66,0,NPA,ACTIVE,1,96930.42,0,3,603,4,2,3,3,3,3,3,1,1,1
ACC0000118,BRW0002884,PERSONAL,369788.07,431931.92,30,HIGH,PAID,0,0.0,0,4,1764,3,1,4,4,4,1,1,1,1,1
ACC0000119,BRW0001383,CONSUMER,15521.41,553590.62,120,NPA,CLOSED,3,236421.53,1,3,803,5,0,3,2,3,0,0,1,1,0
ACC0000120,BRW0004055,BNPL,340350.94,38663.97,45,NPA,WRITEOFF,1,149993.55,1,4,2529,5,0,4,3,4,4,4,1,1,1
ACC0000121,BRW0003842,CREDIT_CARD,56121.91,436831.36,0,MEDIUM,WRITEOFF,1,31643.02,1,1,445,2,0,1,1,1,0,0,1,1,0
ACC0000122,BRW0011680,CONSUMER,418168.82,195292.63,5,HIGH,CLOSED,0,0.0,0,7,2875,4,1,7,5,7,1,1,1,1,1
ACC0000123,BRW0006398,CREDIT_CARD,689539.78,404964.78,1,MEDIUM,WRITEOFF,0,0.0,0,2,439,8,2,2,2,2,0,0,1,1,0
ACC0000124,BRW0009705,CREDIT_CARD,199431.78,630551.89,45,HIGH,ACTIVE,3,392956.56,1,0,0,5,2,0,0,0,0,0,0,1,0
ACC0000125,BRW0009579,AUTO,59784.0,97193.92,30,HIGH,ACTIVE,0,0.0,0,1,430,5,1,1,1,1,1,1,1,1,1
ACC0000126,BRW0003421,AUTO,441723.45,403375.06,180,HIGH,ACTIVE,1,138805.01,1,4,2751,4,1,4,3,4,2,2,1,1,1
ACC0000127,BRW0003733,AUTO,633627.59,292417.3,15,NPA,CLOSED,1,44254.11,1,3,177,1,0,3,2,3,3,3,1,1,1
ACC0000128,BRW0007007,BNPL,598038.07,96417.33,120,MEDIUM,WRITEOFF,0,0.0,0,1,158,5,0,1,1,1,1,1,1,1,1
ACC0000129,BRW0004875,CREDIT_CARD,453421.31,189568.17,60,MEDIUM,CLOSED,2,139928.62,1,10,4816,5,1,10,9,10,2,2,1,1,1
ACC0000130,,CREDIT_CARD,249051.33,290814.12,30,MEDIUM,CLOSED,1,53877.98,0,3,1614,3,0,3,3,3,2,2,1,1,1
ACC0000131,BRW0011408,AUTO,127471.21,51256.86,45,LOW,WRITEOFF,0,0.0,0,4,2391,6,1,4,3,4,4,4,1,1,1
ACC0000132,BRW0000115,BNPL,114032.1,402131.29,120,NPA,ACTIVE,1,135683.49,1,2,899,7,1,2,2,1,1,1,1,1,1
ACC0000133,BRW0011191,AUTO,279682.32,456590.0,30,LOW,WRITEOFF,0,0.0,0,2,1451,3,1,2,2,2,3,3,1,1,1
ACC0000134,BRW0004663,BNPL,451975.95,109040.47,45,MEDIUM,ACTIVE,0,0.0,0,5,1783,0,0,5,4,5,1,1,1,0,1
ACC0000135,BRW0004352,PERSONAL,572734.13,552102.62,75,HIGH,PAID,1,130215.07,1,5,3228,4,1,5,4,5,1,1,1,1,1
ACC0000136,BRW0011633,CONSUMER,721165.1,307912.15,45,MEDIUM,WRITEOFF,0,0.0,0,2,985,3,1,2,2,2,2,2,1,1,1
ACC0000137,BRW0009454,PERSONAL,695023.01,679487.48,60,MEDIUM,ACTIVE,0,0.0,0,2,406,5,0,2,2,2,2,2,1,1,1
ACC0000138,BRW0005081,CREDIT_CARD,216478.59,183146.23,15,NPA,ACTIVE,0,0.0,0,5,1534,3,0,5,5,5,0,0,1,1,0
ACC0000139,BRW0011088,CREDIT_CARD,249094.75,151194.34,15,MEDIUM,PAID,0,0.0,0,3,1275,0,1,3,3,3,1,1,1,0,1
ACC0000140,BRW0003489,CREDIT_CARD,421520.63,693625.33,180,MEDIUM,ACTIVE,2,266529.84,1,1,225,4,1,1,1,1,2,2,1,1,1
ACC0000141,BRW0009040,BNPL,248984.35,493675.37,60,LOW,PAID,0,0.0,0,2,483,5,1,2,2,2,2,2,1,1,1
ACC0000142,BRW0000989,CREDIT_CARD,323807.5,398591.12,90,NPA,ACTIVE,0,0.0,0,4,1149,1,2,4,4,4,0,0,1,1,0
ACC0000143,BRW0004347,PERSONAL,246630.89,165704.16,180,LOW,CLOSED,1,51254.98,1,3,1296,1,0,3,3,3,1,1,1,1,1
ACC0000144,BRW0006207,PERSONAL,738356.63,259713.4,30,MEDIUM,ACTIVE,0,0.0,0,5,1862,5,2,5,3,5,4,4,1,1,1
ACC0000145,BRW0009514,BNPL,452448.1,259430.17,0,HIGH,ACTIVE,0,0.0,0,0,0,5,1,0,0,0,3,3,0,1,1
ACC0000146,BRW0004521,BNPL,307245.3,126898.89,1,NPA,WRITEOFF,1,10725.98,0,5,1842,6,0,5,3,5,1,1,1,1,1
ACC0000147,BRW0008846,BNPL,43583.7,307154.06,45,LOW,WRITEOFF,1,148218.16,1,1,719,4,0,1,1,1,0,0,1,1,0
ACC0000148,BRW0009859,BNPL,426855.14,49292.28,180,MEDIUM,ACTIVE,0,0.0,0,2,349,5,0,2,2,2,4,4,1,1,1
ACC0000149,BRW0003268,BNPL,622567.55,101445.68,90,MEDIUM,PAID,0,0.0,0,3,1683,5,0,3,3,3,2,2,1,1,1
ACC0000150,BRW0005929,CONSUMER,419376.61,608494.59,60,NPA,CLOSED,1,65891.55,0,3,348,3,3,3,3,3,2,2,1,1,1
ACC0000151,BRW0006424,CREDIT_CARD,220346.65,321080.25,120,HIGH,CLOSED,1,23606.23,1,0,0,3,2,0,0,0,0,0,0,1,0
ACC0000152,BRW0011494,PERSONAL,269041.57,309747.09,15,LOW,PAID,0,0.0,0,4,2392,3,1,4,4,4,1,1,1,1,1
ACC0000153,BRW0000957,CREDIT_CARD,742279.36,570032.8,75,MEDIUM,CLOSED,1,114256.75,1,1,494,3,3,1,1,1,2,2,1,1,1
ACC0000154,BRW0006088,PERSONAL,417931.67,418448.72,120,NPA,CLOSED,1,123943.53,1,1,233,6,1,1,1,1,0,0,1,1,0
ACC0000155,BRW0002403,CREDIT_CARD,58554.77,308465.65,180,LOW,ACTIVE,3,357786.74,1,5,2301,4,0,5,5,5,0,0,1,1,0
ACC0000156,BRW0010817,CREDIT_CARD,344880.85,319516.86,0,NPA,PAID,0,0.0,0,5,1596,5,2,5,4,5,0,0,1,1,0
ACC0000157,BRW0010036,PERSONAL,297531.87,386751.58,45,LOW,CLOSED,0,0.0,0,0,0,3,0,0,0,0,0,0,0,1,0
ACC0000158,BRW0002535,BNPL,89381.43,120713.33,15,HIGH,WRITEOFF,3,126320.79000000001,1,6,1847,3,0,6,6,6,2,2,1,1,1
ACC0000159,BRW0000981,CREDIT_CARD,652148.1,405052.27,1,MEDIUM,ACTIVE,2,221824.82,1,2,477,4,3,2,2,2,2,2,1,1,1
ACC0000160,BRW0006098,PERSONAL,318581.51,92726.83,60,LOW,WRITEOFF,2,129839.26000000001,1,5,1781,2,1,5,5,5,0,0,1,1,0
ACC0000161,BRW0000079,BNPL,239801.58,572297.22,90,NPA,WRITEOFF,3,356471.38,1,5,2098,4,0,5,5,5,2,2,1,1,1
ACC0000162,BRW0001791,CREDIT_CARD,533470.65,221882.86,1,HIGH,CLOSED,0,0.0,0,4,1613,4,0,4,4,4,1,1,1,1,1
ACC0000163,BRW0011529,CREDIT_CARD,241664.09,363387.88,45,MEDIUM,WRITEOFF,3,304822.1,1,6,2324,4,2,6,5,6,3,3,1,1,1
ACC0000164,BRW0001287,PERSONAL,29021.15,646106.64,75,MEDIUM,PAID,0,0.0,0,3,1318,3,1,3,3,3,1,1,1,1,1
ACC0000165,BRW0004278,BNPL,754910.61,299052.95,60,LOW,CLOSED,1,34067.78,1,2,407,5,0,2,2,2,0,0,1,1,0
ACC0000166,BRW0000424,PERSONAL,122720.99,339556.17,180,MEDIUM,PAID,2,138840.21,1,1,25,1,1,1,1,1,2,2,1,1,1
ACC0000167,BRW0007157,CONSUMER,153565.14,696386.93,5,LOW,ACTIVE,1,29814.17,1,3,521,3,2,3,3,3,3,3,1,1,1
ACC0000168,BRW0004150,PERSONAL,467202.59,291566.66,60,HIGH,WRITEOFF,2,213801.19,1,6,2542,4,0,6,6,6,0,0,1,1,0
ACC0000169,BRW0011889,BNPL,551035.1,233686.78,90,LOW,WRITEOFF,2,220210.59,1,4,1088,3,3,3,3,4,3,3,1,1,1
ACC0000170,BRW0010374,CONSUMER,150604.65,453695.49,15,HIGH,PAID,1,128514.05,0,4,1176,2,1,4,2,4,1,1,1,1,1
ACC0000171,BRW0010694,PERSONAL,392857.09,238741.49,30,NPA,WRITEOFF,2,144676.44,1,2,1406,3,1,2,2,2,0,0,1,1,0
ACC0000172,BRW0004685,BNPL,713754.98,320032.12,15,NPA,WRITEOFF,2,144060.98,1,4,1554,2,1,4,4,4,1,1,1,1,1
ACC0000173,BRW0011352,CONSUMER,699827.45,204270.1,180,NPA,PAID,2,216863.08000000002,1,1,721,2,1,1,1,1,0,0,1,1,0
ACC0000174,BRW0003750,PERSONAL,188094.2,26526.62,30,HIGH,ACTIVE,0,0.0,0,3,2249,6,0,3,3,3,3,3,1,1,1
ACC0000175,BRW0003783,AUTO,203333.75,199517.46,45,HIGH,PAID,0,0.0,0,4,1777,6,1,4,4,4,1,1,1,1,1
ACC0000176,BRW0005865,CONSUMER,236647.77,634833.58,30,HIGH,ACTIVE,0,0.0,0,4,1662,5,0,4,4,4,2,2,1,1,1
